0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,38,31,67,61,115,91,336,121,229,151,90,181,55,211,106,241,24,271,287
2,86,32,152,62,133,92,-5,122,184,152,102,182,414,212,30,242,85,272,33
3,116,33,98,63,576,93,115,123,81,153,61,183,116,213,98,243,194,273,57
4,205,34,140,64,327,94,169,124,101,154,30,184,136,214,37,244,65,274,129
5,617,35,86,65,91,95,478,125,127,155,30,185,365,215,290,245,112,275,20
6,52,36,70,66,15,96,85,126,241,156,448,186,114,216,71,246,46,276,191
7,18,37,60,67,55,97,185,127,185,157,42,187,166,217,92,247,39,277,51
8,62,38,15,68,23,98,18,128,214,158,38,188,68,218,121,248,33,278,60
9,70,39,43,69,371,99,64,129,49,159,84,189,171,219,31,249,92,279,212
10,72,40,43,70,196,100,386,130,302,160,120,190,62,220,-10,250,102,280,63
11,51,41,126,71,110,101,41,131,275,161,120,191,39,221,33,251,61,281,25
12,162,42,61,72,119,102,104,132,38,162,47,192,311,222,90,252,246,282,141
13,25,43,-15,73,111,103,46,133,35,163,328,193,65,223,86,253,304,283,83
14,299,44,158,74,135,104,87,134,71,164,175,194,61,224,330,254,90,284,404
15,30,45,159,75,106,105,45,135,70,165,108,195,75,225,578,255,57,285,55
16,460,46,111,76,65,106,171,136,166,166,98,196,97,226,256,256,609,286,93
17,247,47,130,77,54,107,70,137,55,167,82,197,211,227,115,257,137,287,142
18,78,48,75,78,20,108,62,138,30,168,75,198,95,228,24,258,550,288,63
19,28,49,122,79,110,109,85,139,138,169,147,199,67,229,75,259,290,289,102
20,353,50,39,80,-10,110,60,140,260,170,50,200,7,230,122,260,83,290,71
21,67,51,63,81,95,111,30,141,75,171,123,201,107,231,307,261,3,291,83
22,60,52,101,82,68,112,123,142,133,172,62,202,38,232,175,262,45,292,60
23,19,53,20,83,125,113,129,143,42,173,186,203,51,233,37,263,75,293,80
24,150,54,56,84,65,114,116,144,152,174,131,204,56,234,138,264,124,294,113
25,38,55,49,85,88,115,114,145,242,175,50,205,322,235,8,265,124,295,46
26,45,56,29,86,41,116,73,146,135,176,80,206,388,236,17,266,78,296,26
27,82,57,50,87,23,117,389,147,-9,177,41,207,514,237,48,267,241,297,205
28,100,58,73,88,413,118,435,148,45,178,60,208,177,238,33,268,238,298,571
29,42,59,90,89,116,119,147,149,103,179,39,209,85,239,36,269,190,299,67
30,234,60,20,90,83,120,251,150,43,180,92,210,105,240,84,270,58,300,140
Centre:,443404,PMSHRI,K,V,OEF,"HAZRATPUR,",ORDINANCE,"FACTORY,NH-2","HAZRATPUR,FIROZABAD,","FIROZABAD,",UTTAR,PRADESH,NEET,(UG),2024,Page,No.,2,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,,,,,,,
301,31,331,95,361,135,,,,,,,,,,,,,,
302,89,332,-4,362,56,,,,,,,,,,,,,,
303,131,333,218,,,,,,,,,,,,,,,,
304,104,334,150,,,,,,,,,,,,,,,,
305,282,335,115,,,,,,,,,,,,,,,,
306,2,336,38,,,,,,,,,,,,,,,,
307,232,337,337,,,,,,,,,,,,,,,,
308,196,338,1,,,,,,,,,,,,,,,,
309,40,339,52,,,,,,,,,,,,,,,,
310,338,340,57,,,,,,,,,,,,,,,,
311,84,341,37,,,,,,,,,,,,,,,,
312,102,342,191,,,,,,,,,,,,,,,,
313,47,343,153,,,,,,,,,,,,,,,,
314,107,344,19,,,,,,,,,,,,,,,,
315,133,345,178,,,,,,,,,,,,,,,,
316,54,346,58,,,,,,,,,,,,,,,,
317,51,347,445,,,,,,,,,,,,,,,,
318,17,348,37,,,,,,,,,,,,,,,,
319,135,349,55,,,,,,,,,,,,,,,,
320,224,350,61,,,,,,,,,,,,,,,,
321,225,351,298,,,,,,,,,,,,,,,,
322,391,352,35,,,,,,,,,,,,,,,,
323,136,353,55,,,,,,,,,,,,,,,,
324,65,354,52,,,,,,,,,,,,,,,,
325,76,355,335,,,,,,,,,,,,,,,,
326,105,356,69,,,,,,,,,,,,,,,,
327,108,357,298,,,,,,,,,,,,,,,,
328,5,358,101,,,,,,,,,,,,,,,,
329,618,359,78,,,,,,,,,,,,,,,,
330,36,360,270,,,,,,,,,,,,,,,,
