0,1,2,3,4,5,6,7
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,149,31,80,61,514,91,180
2,150,32,120,62,162,92,76
3,219,33,678,63,53,93,72
4,163,34,293,64,603,94,562
5,70,35,540,65,138,95,319
6,170,36,549,66,113,96,309
7,50,37,388,67,37,97,603
8,21,38,99,68,224,98,582
9,177,39,550,69,172,99,139
10,64,40,5,70,45,100,371
11,458,41,154,71,70,101,364
12,281,42,158,72,56,102,159
13,4,43,35,73,48,103,623
14,46,44,366,74,542,104,172
15,318,45,56,75,148,105,149
16,50,46,186,76,506,106,248
17,575,47,8,77,35,107,75
18,246,48,655,78,80,108,64
19,426,49,77,79,223,109,46
20,283,50,201,80,102,110,566
21,154,51,73,81,611,111,394
22,24,52,-6,82,84,112,114
23,33,53,176,83,120,113,356
24,629,54,359,84,110,114,619
25,84,55,2,85,126,115,354
26,444,56,364,86,80,,
27,660,57,167,87,430,,
28,558,58,327,88,106,,
29,686,59,456,89,125,,
30,444,60,333,90,592,,
