0,1,2,3,4,5,6,7,8,9,10,11
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,109,31,34,61,570,91,328,121,47,151,86
2,130,32,320,62,85,92,95,122,166,152,90
3,255,33,294,63,48,93,76,123,155,153,73
4,85,34,186,64,160,94,126,124,284,154,171
5,613,35,193,65,64,95,263,125,101,155,127
6,148,36,269,66,306,96,210,126,189,156,223
7,484,37,137,67,347,97,171,127,168,157,562
8,318,38,305,68,83,98,65,128,106,158,89
9,165,39,116,69,310,99,125,129,227,159,295
10,92,40,154,70,374,100,70,130,154,160,469
11,395,41,274,71,392,101,118,131,55,161,65
12,177,42,110,72,125,102,84,132,618,,
13,144,43,167,73,70,103,109,133,140,,
14,215,44,176,74,314,104,98,134,130,,
15,131,45,72,75,93,105,135,135,160,,
16,84,46,141,76,277,106,175,136,174,,
17,150,47,24,77,373,107,134,137,103,,
18,89,48,107,78,415,108,85,138,175,,
19,271,49,275,79,164,109,107,139,359,,
20,101,50,101,80,122,110,239,140,72,,
21,64,51,200,81,675,111,128,141,471,,
22,160,52,301,82,67,112,69,142,333,,
23,245,53,71,83,120,113,118,143,295,,
24,150,54,92,84,50,114,80,144,173,,
25,332,55,107,85,75,115,550,145,74,,
26,109,56,210,86,88,116,153,146,140,,
27,18,57,144,87,243,117,93,147,70,,
28,192,58,81,88,212,118,88,148,351,,
29,166,59,134,89,81,119,270,149,58,,
30,285,60,216,90,316,120,60,150,115,,
