0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,
1,186,31,91,61,179,91,328,121,96,151,277,181,433,211,288,241,21,271,472,,,
2,217,32,164,62,310,92,373,122,152,152,205,182,74,212,115,242,101,272,123,,,
3,48,33,83,63,334,93,281,123,349,153,254,183,71,213,278,243,87,273,226,,,
4,34,34,277,64,107,94,101,124,106,154,49,184,100,214,88,244,291,274,5,,,
5,109,35,141,65,149,95,304,125,352,155,467,185,105,215,167,245,478,275,104,,,
6,342,36,521,66,450,96,202,126,97,156,105,186,80,216,95,246,132,276,156,,,
7,184,37,496,67,102,97,192,127,349,157,94,187,191,217,112,247,211,277,127,,,
8,136,38,495,68,1,98,429,128,339,158,121,188,191,218,210,248,142,278,531,,,
9,535,39,65,69,383,99,528,129,40,159,358,189,705,219,299,249,144,279,542,,,
10,84,40,659,70,93,100,307,130,135,160,225,190,227,220,124,250,25,280,89,,,
11,398,41,611,71,99,101,72,131,137,161,185,191,96,221,234,251,304,281,170,,,
12,63,42,602,72,562,102,414,132,85,162,36,192,351,222,53,252,396,282,517,,,
13,405,43,115,73,434,103,363,133,164,163,152,193,57,223,155,253,105,283,159,,,
14,73,44,108,74,103,104,258,134,142,164,212,194,39,224,116,254,155,284,89,,,
15,593,45,51,75,159,105,196,135,271,165,575,195,102,225,99,255,101,285,394,,,
16,326,46,203,76,46,106,168,136,447,166,207,196,525,226,133,256,68,286,373,,,
17,202,47,49,77,247,107,82,137,116,167,419,197,446,227,120,257,44,287,76,,,
18,400,48,225,78,50,108,431,138,85,168,126,198,86,228,290,258,93,288,165,,,
19,450,49,168,79,222,109,126,139,137,169,123,199,301,229,40,259,416,289,56,,,
20,84,50,152,80,35,110,72,140,228,170,105,200,195,230,68,260,168,290,132,,,
21,514,51,157,81,58,111,133,141,33,171,160,201,289,231,164,261,166,291,363,,,
22,128,52,456,82,67,112,328,142,35,172,168,202,47,232,137,262,219,292,292,,,
23,58,53,156,83,159,113,395,143,201,173,306,203,186,233,-24,263,159,293,180,,,
24,10,54,257,84,270,114,127,144,300,174,406,204,84,234,417,264,411,294,250,,,
25,574,55,78,85,145,115,114,145,37,175,214,205,264,235,634,265,384,295,116,,,
26,140,56,612,86,133,116,67,146,314,176,227,206,104,236,92,266,322,296,56,,,
27,46,57,633,87,336,117,601,147,337,177,140,207,120,237,115,267,201,297,105,,,
28,11,58,139,88,72,118,93,148,44,178,103,208,638,238,62,268,135,298,33,,,
29,114,59,226,89,86,119,211,149,577,179,186,209,152,239,627,269,319,299,162,,,
30,377,60,279,90,572,120,70,150,141,180,0,210,337,240,552,270,121,300,189,,,
Centre:,250202,GREEN,VALLEY,EDUCATIONAL,"INSTITUTE,",ELLAHIBAGH,BUCHPORA,",","SRINAGAR,",SRINAGAR,(J,&,"K),",JAMMU,&,KASHMIR,NEET,(UG),2024,Page,No.,2
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,
301,168,331,362,361,257,391,272,421,18,451,159,481,566,511,212,541,376,571,443,,,
302,325,332,123,362,122,392,70,422,290,452,373,482,471,512,112,542,81,572,522,,,
303,162,333,154,363,208,393,62,423,260,453,16,483,341,513,199,543,51,573,478,,,
304,517,334,108,364,206,394,57,424,306,454,46,484,67,514,22,544,244,574,479,,,
305,155,335,180,365,224,395,87,425,112,455,463,485,25,515,473,545,40,575,207,,,
306,11,336,245,366,286,396,89,426,255,456,479,486,71,516,21,546,660,576,105,,,
307,123,337,142,367,150,397,206,427,176,457,149,487,172,517,192,547,294,577,516,,,
308,70,338,265,368,222,398,141,428,45,458,278,488,159,518,77,548,95,578,95,,,
309,358,339,87,369,85,399,401,429,197,459,146,489,268,519,318,549,243,579,368,,,
310,331,340,282,370,614,400,124,430,294,460,305,490,100,520,433,550,69,580,30,,,
311,75,341,131,371,73,401,17,431,399,461,212,491,354,521,182,551,82,581,95,,,
312,53,342,25,372,628,402,255,432,571,462,107,492,55,522,180,552,141,582,476,,,
313,284,343,261,373,172,403,69,433,510,463,147,493,595,523,509,553,157,583,437,,,
314,152,344,357,374,398,404,197,434,119,464,275,494,594,524,23,554,459,584,615,,,
315,131,345,204,375,171,405,668,435,113,465,568,495,115,525,299,555,197,585,375,,,
316,95,346,38,376,31,406,87,436,131,466,507,496,98,526,258,556,126,586,116,,,
317,196,347,266,377,275,407,75,437,181,467,73,497,358,527,208,557,224,587,170,,,
318,109,348,140,378,80,408,111,438,312,468,91,498,306,528,152,558,114,588,105,,,
319,91,349,139,379,269,409,319,439,467,469,373,499,349,529,648,559,281,589,194,,,
320,125,350,242,380,181,410,70,440,469,470,75,500,44,530,325,560,360,590,100,,,
321,250,351,331,381,175,411,394,441,101,471,60,501,571,531,114,561,635,591,605,,,
322,72,352,102,382,102,412,163,442,450,472,344,502,46,532,675,562,110,592,178,,,
323,124,353,124,383,160,413,70,443,474,473,220,503,80,533,156,563,151,593,534,,,
324,280,354,414,384,22,414,322,444,63,474,48,504,270,534,218,564,56,594,352,,,
325,284,355,631,385,228,415,-5,445,301,475,288,505,168,535,524,565,85,595,125,,,
326,28,356,303,386,51,416,254,446,49,476,89,506,29,536,376,566,174,596,50,,,
327,397,357,130,387,288,417,409,447,200,477,181,507,50,537,54,567,100,597,269,,,
328,52,358,121,388,275,418,240,448,143,478,335,508,121,538,74,568,105,598,329,,,
329,324,359,101,389,437,419,65,449,433,479,319,509,46,539,48,569,249,599,565,,,
330,85,360,231,390,334,420,153,450,245,480,566,510,139,540,144,570,387,600,360,,,
Centre:,250202,GREEN,VALLEY,EDUCATIONAL,"INSTITUTE,",ELLAHIBAGH,BUCHPORA,",","SRINAGAR,",SRINAGAR,(J,&,"K),",JAMMU,&,KASHMIR,NEET,(UG),2024,Page,No.,3
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,,
601,108,631,34,661,216,691,181,721,42,751,52,781,280,,,,,,,,,
602,568,632,307,662,201,692,574,722,158,752,460,782,54,,,,,,,,,
603,432,633,241,663,132,693,335,723,249,753,83,783,611,,,,,,,,,
604,348,634,85,664,351,694,137,724,340,754,230,784,204,,,,,,,,,
605,143,635,498,665,111,695,94,725,137,755,605,785,131,,,,,,,,,
606,357,636,51,666,384,696,223,726,300,756,104,786,145,,,,,,,,,
607,466,637,154,667,118,697,95,727,140,757,1,787,76,,,,,,,,,
608,348,638,575,668,169,698,87,728,206,758,494,788,144,,,,,,,,,
609,231,639,283,669,173,699,233,729,47,759,136,789,109,,,,,,,,,
610,30,640,47,670,404,700,63,730,316,760,162,790,320,,,,,,,,,
611,211,641,39,671,99,701,589,731,137,761,63,791,481,,,,,,,,,
612,101,642,337,672,483,702,100,732,75,762,86,792,161,,,,,,,,,
613,411,643,280,673,77,703,503,733,341,763,60,793,535,,,,,,,,,
614,94,644,79,674,80,704,253,734,134,764,-51,794,153,,,,,,,,,
615,314,645,517,675,215,705,243,735,500,765,578,,,,,,,,,,,
616,117,646,112,676,117,706,342,736,69,766,552,,,,,,,,,,,
617,636,647,56,677,57,707,216,737,58,767,28,,,,,,,,,,,
618,257,648,136,678,356,708,521,738,188,768,642,,,,,,,,,,,
619,105,649,220,679,164,709,313,739,234,769,462,,,,,,,,,,,
620,430,650,278,680,144,710,-14,740,87,770,62,,,,,,,,,,,
621,98,651,80,681,246,711,88,741,70,771,45,,,,,,,,,,,
622,68,652,178,682,170,712,63,742,60,772,55,,,,,,,,,,,
623,118,653,176,683,131,713,109,743,541,773,509,,,,,,,,,,,
624,333,654,380,684,186,714,63,744,97,774,161,,,,,,,,,,,
625,254,655,351,685,292,715,262,745,58,775,130,,,,,,,,,,,
626,82,656,147,686,30,716,226,746,245,776,209,,,,,,,,,,,
627,304,657,228,687,104,717,167,747,39,777,419,,,,,,,,,,,
628,220,658,685,688,202,718,636,748,7,778,444,,,,,,,,,,,
629,52,659,272,689,229,719,89,749,61,779,539,,,,,,,,,,,
630,198,660,109,690,256,720,102,750,512,780,48,,,,,,,,,,,
