0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"UP,","AZAMGARH,",UTTAR,PRADESH,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,
1,47,31,50,61,59,91,55,121,25,151,165,181,258,211,490,241,95,271,121,,,,
2,4,32,41,62,153,92,542,122,107,152,18,182,57,212,594,242,524,272,20,,,,
3,20,33,80,63,5,93,76,123,296,153,63,183,45,213,40,243,32,273,37,,,,
4,85,34,34,64,294,94,139,124,136,154,51,184,28,214,60,244,75,274,109,,,,
5,15,35,61,65,59,95,377,125,-13,155,163,185,64,215,72,245,78,275,634,,,,
6,49,36,49,66,99,96,71,126,95,156,144,186,41,216,170,246,127,276,287,,,,
7,504,37,90,67,170,97,76,127,105,157,191,187,68,217,90,247,72,277,62,,,,
8,268,38,179,68,60,98,67,128,175,158,39,188,169,218,42,248,3,278,141,,,,
9,86,39,17,69,53,99,137,129,51,159,22,189,75,219,70,249,107,279,307,,,,
10,106,40,135,70,659,100,42,130,54,160,40,190,215,220,30,250,76,280,145,,,,
11,87,41,272,71,30,101,137,131,128,161,46,191,120,221,384,251,84,281,60,,,,
12,199,42,107,72,115,102,224,132,30,162,147,192,105,222,13,252,117,282,77,,,,
13,80,43,65,73,41,103,490,133,115,163,80,193,145,223,105,253,37,283,523,,,,
14,170,44,30,74,41,104,131,134,98,164,68,194,93,224,65,254,25,284,146,,,,
15,94,45,59,75,40,105,80,135,655,165,33,195,75,225,178,255,30,285,164,,,,
16,217,46,66,76,181,106,88,136,180,166,158,196,14,226,50,256,89,286,58,,,,
17,65,47,70,77,66,107,253,137,35,167,80,197,406,227,60,257,-20,287,67,,,,
18,637,48,22,78,52,108,25,138,72,168,2,198,106,228,36,258,67,288,425,,,,
19,62,49,24,79,116,109,370,139,77,169,47,199,55,229,142,259,42,289,11,,,,
20,160,50,108,80,10,110,23,140,38,170,213,200,92,230,303,260,10,290,140,,,,
21,75,51,98,81,94,111,19,141,148,171,73,201,28,231,11,261,184,291,76,,,,
22,12,52,149,82,700,112,100,142,76,172,143,202,65,232,165,262,32,292,66,,,,
23,44,53,65,83,543,113,103,143,38,173,291,203,70,233,72,263,99,293,111,,,,
24,153,54,343,84,61,114,115,144,332,174,86,204,306,234,7,264,79,294,70,,,,
25,78,55,39,85,72,115,67,145,118,175,88,205,235,235,28,265,101,295,75,,,,
26,60,56,58,86,82,116,33,146,232,176,55,206,40,236,50,266,397,296,114,,,,
27,514,57,189,87,145,117,172,147,463,177,65,207,100,237,55,267,40,297,51,,,,
28,43,58,362,88,28,118,391,148,66,178,51,208,141,238,55,268,496,298,94,,,,
29,60,59,91,89,126,119,45,149,492,179,82,209,12,239,388,269,158,299,81,,,,
30,132,60,45,90,75,120,100,150,167,180,83,210,77,240,129,270,130,300,269,,,,
Centre:,441907,SUNBEAM,SCHOOL,SARAI,"JAGARNATH,",SARAI,JAGARNATH,NEAR,MAHINDRA,SHOWROOM,DEEP,AUTOMOBILES,RANI,KI,SARAI,VARANASI,ROAD,AZAMGARHNEET,(UG),2024,Page,No.,2
"UP,","AZAMGARH,",UTTAR,PRADESH,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,,,,,
301,100,331,123,361,46,391,50,421,117,451,81,,,,,,,,,,,,
302,193,332,45,362,512,392,63,422,77,452,78,,,,,,,,,,,,
303,309,333,39,363,276,393,15,423,20,453,10,,,,,,,,,,,,
304,69,334,136,364,90,394,40,424,352,454,114,,,,,,,,,,,,
305,128,335,2,365,16,395,-22,425,85,455,60,,,,,,,,,,,,
306,3,336,65,366,50,396,320,426,74,456,98,,,,,,,,,,,,
307,30,337,120,367,21,397,62,427,134,457,1,,,,,,,,,,,,
308,7,338,60,368,406,398,115,428,69,458,65,,,,,,,,,,,,
309,110,339,384,369,51,399,262,429,31,459,50,,,,,,,,,,,,
310,244,340,42,370,175,400,54,430,115,460,21,,,,,,,,,,,,
311,25,341,70,371,60,401,139,431,74,461,79,,,,,,,,,,,,
312,73,342,206,372,157,402,135,432,45,,,,,,,,,,,,,,
313,32,343,293,373,249,403,161,433,11,,,,,,,,,,,,,,
314,117,344,15,374,109,404,634,434,221,,,,,,,,,,,,,,
315,313,345,57,375,20,405,81,435,267,,,,,,,,,,,,,,
316,34,346,31,376,266,406,65,436,340,,,,,,,,,,,,,,
317,175,347,356,377,295,407,59,437,47,,,,,,,,,,,,,,
318,79,348,1,378,34,408,126,438,57,,,,,,,,,,,,,,
319,175,349,62,379,81,409,145,439,199,,,,,,,,,,,,,,
320,55,350,271,380,61,410,2,440,372,,,,,,,,,,,,,,
321,109,351,60,381,29,411,63,441,119,,,,,,,,,,,,,,
322,-3,352,130,382,240,412,20,442,108,,,,,,,,,,,,,,
323,34,353,331,383,40,413,85,443,386,,,,,,,,,,,,,,
324,64,354,5,384,46,414,117,444,206,,,,,,,,,,,,,,
325,179,355,15,385,35,415,140,445,68,,,,,,,,,,,,,,
326,195,356,169,386,82,416,49,446,101,,,,,,,,,,,,,,
327,40,357,68,387,87,417,0,447,170,,,,,,,,,,,,,,
328,25,358,63,388,90,418,161,448,157,,,,,,,,,,,,,,
329,52,359,-5,389,96,419,116,449,110,,,,,,,,,,,,,,
330,32,360,160,390,26,420,231,450,122,,,,,,,,,,,,,,
