0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
MAHARASHTRA,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,88,31,357,61,99,91,51,121,348,151,134,181,25,211,55
2,46,32,521,62,30,92,145,122,102,152,388,182,90,212,173
3,186,33,402,63,216,93,211,123,58,153,65,183,206,213,30
4,299,34,27,64,195,94,75,124,29,154,159,184,56,214,301
5,156,35,35,65,260,95,312,125,75,155,333,185,30,215,51
6,15,36,92,66,237,96,25,126,216,156,97,186,537,216,258
7,65,37,108,67,31,97,85,127,223,157,52,187,25,217,175
8,73,38,170,68,249,98,542,128,225,158,135,188,179,218,23
9,171,39,205,69,134,99,254,129,92,159,327,189,303,,
10,410,40,193,70,44,100,298,130,269,160,485,190,76,,
11,266,41,70,71,616,101,25,131,637,161,301,191,60,,
12,50,42,443,72,174,102,341,132,60,162,184,192,115,,
13,300,43,35,73,117,103,55,133,103,163,61,193,26,,
14,72,44,120,74,60,104,652,134,96,164,277,194,111,,
15,79,45,91,75,20,105,11,135,288,165,413,195,75,,
16,90,46,55,76,324,106,631,136,29,166,133,196,22,,
17,49,47,214,77,265,107,581,137,87,167,525,197,143,,
18,219,48,163,78,274,108,40,138,59,168,258,198,230,,
19,318,49,85,79,84,109,19,139,175,169,173,199,45,,
20,586,50,61,80,70,110,90,140,210,170,102,200,135,,
21,180,51,105,81,70,111,50,141,40,171,81,201,145,,
22,59,52,242,82,142,112,148,142,240,172,62,202,126,,
23,241,53,647,83,604,113,222,143,334,173,71,203,175,,
24,407,54,135,84,509,114,58,144,55,174,203,204,300,,
25,55,55,155,85,312,115,199,145,167,175,62,205,235,,
26,105,56,80,86,20,116,224,146,603,176,314,206,654,,
27,374,57,136,87,190,117,0,147,62,177,408,207,465,,
28,139,58,30,88,35,118,189,148,56,178,32,208,331,,
29,85,59,124,89,56,119,106,149,104,179,544,209,191,,
30,393,60,20,90,403,120,46,150,50,180,199,210,136,,
