0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,188,31,177,61,95,91,318,121,69,151,176,181,94,211,319,241,437,271,385
2,312,32,164,62,233,92,220,122,413,152,596,182,18,212,297,242,228,272,202
3,396,33,261,63,500,93,644,123,145,153,76,183,578,213,166,243,39,273,40
4,126,34,405,64,441,94,35,124,256,154,86,184,90,214,149,244,157,274,132
5,127,35,169,65,154,95,231,125,338,155,65,185,124,215,278,245,99,275,55
6,585,36,162,66,278,96,669,126,563,156,195,186,69,216,541,246,295,276,205
7,61,37,349,67,287,97,113,127,144,157,117,187,71,217,492,247,121,277,71
8,205,38,112,68,95,98,193,128,163,158,73,188,193,218,39,248,352,278,538
9,555,39,85,69,402,99,349,129,228,159,183,189,131,219,120,249,195,279,598
10,39,40,315,70,154,100,70,130,100,160,142,190,94,220,600,250,239,280,78
11,211,41,284,71,311,101,99,131,57,161,273,191,80,221,403,251,5,281,103
12,89,42,403,72,76,102,29,132,122,162,481,192,325,222,196,252,394,282,219
13,150,43,449,73,115,103,438,133,141,163,136,193,249,223,310,253,220,283,107
14,80,44,140,74,80,104,184,134,130,164,6,194,95,224,277,254,20,284,158
15,149,45,143,75,102,105,336,135,181,165,240,195,154,225,118,255,675,285,147
16,35,46,373,76,167,106,265,136,367,166,320,196,197,226,259,256,273,286,69
17,142,47,135,77,519,107,155,137,175,167,290,197,60,227,429,257,115,287,202
18,286,48,93,78,361,108,155,138,178,168,356,198,55,228,400,258,98,288,438
19,389,49,163,79,601,109,551,139,153,169,86,199,203,229,177,259,71,289,176
20,493,50,365,80,480,110,85,140,217,170,280,200,206,230,84,260,173,290,521
21,108,51,276,81,125,111,151,141,71,171,342,201,106,231,419,261,236,291,456
22,87,52,156,82,264,112,675,142,244,172,402,202,275,232,33,262,25,292,461
23,146,53,340,83,75,113,550,143,239,173,194,203,404,233,126,263,174,293,118
24,259,54,605,84,244,114,149,144,220,174,187,204,90,234,171,264,49,294,433
25,120,55,310,85,206,115,203,145,146,175,279,205,256,235,171,265,139,295,90
26,316,56,132,86,365,116,99,146,392,176,105,206,50,236,618,266,166,296,178
27,37,57,185,87,193,117,28,147,15,177,83,207,90,237,665,267,155,297,275
28,189,58,281,88,437,118,231,148,43,178,425,208,188,238,418,268,65,298,118
29,567,59,142,89,65,119,225,149,263,179,345,209,210,239,138,269,250,299,497
30,142,60,300,90,202,120,45,150,261,180,276,210,132,240,351,270,82,300,336
Centre:,220118,ST.,ANN''S,"SCHOOL,",BLOCK,"NO.185,STERLING","CITY,BOPAL,","AHMEDABAD,",GUJARAT,NEET,(UG),2024,Page,No.,2,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,
301,274,331,222,361,76,391,312,421,476,451,199,,,,,,,,
302,191,332,220,362,131,392,277,422,390,452,649,,,,,,,,
303,70,333,200,363,105,393,260,423,536,453,28,,,,,,,,
304,125,334,101,364,92,394,73,424,163,454,72,,,,,,,,
305,373,335,286,365,174,395,210,425,343,455,585,,,,,,,,
306,89,336,140,366,70,396,108,426,254,456,132,,,,,,,,
307,155,337,160,367,192,397,103,427,118,457,550,,,,,,,,
308,150,338,278,368,22,398,212,428,267,458,145,,,,,,,,
309,115,339,398,369,700,399,76,429,98,459,143,,,,,,,,
310,66,340,259,370,276,400,134,430,275,460,250,,,,,,,,
311,270,341,279,371,124,401,177,431,62,461,457,,,,,,,,
312,166,342,402,372,336,402,56,432,504,462,211,,,,,,,,
313,75,343,584,373,182,403,372,433,156,463,65,,,,,,,,
314,323,344,172,374,446,404,255,434,90,464,296,,,,,,,,
315,178,345,11,375,65,405,529,435,128,465,44,,,,,,,,
316,209,346,167,376,126,406,202,436,150,466,108,,,,,,,,
317,276,347,177,377,214,407,38,437,225,467,311,,,,,,,,
318,145,348,566,378,206,408,108,438,261,468,339,,,,,,,,
319,185,349,239,379,329,409,244,439,179,469,164,,,,,,,,
320,135,350,172,380,359,410,74,440,183,470,42,,,,,,,,
321,250,351,249,381,66,411,95,441,260,471,440,,,,,,,,
322,183,352,135,382,598,412,596,442,108,,,,,,,,,,
323,89,353,294,383,253,413,120,443,102,,,,,,,,,,
324,242,354,441,384,149,414,53,444,180,,,,,,,,,,
325,249,355,126,385,106,415,430,445,241,,,,,,,,,,
326,196,356,89,386,62,416,115,446,407,,,,,,,,,,
327,123,357,140,387,94,417,603,447,182,,,,,,,,,,
328,548,358,535,388,258,418,371,448,25,,,,,,,,,,
329,633,359,309,389,182,419,269,449,47,,,,,,,,,,
330,206,360,145,390,87,420,223,450,230,,,,,,,,,,
