0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,61,31,499,61,654,91,143,121,283,151,61,181,61,211,256
2,566,32,182,62,54,92,101,122,548,152,83,182,270,212,583
3,103,33,479,63,522,93,166,123,495,153,378,183,527,213,474
4,200,34,396,64,326,94,186,124,317,154,95,184,214,214,216
5,201,35,172,65,548,95,255,125,73,155,174,185,473,215,67
6,592,36,222,66,75,96,380,126,554,156,61,186,435,216,372
7,660,37,518,67,364,97,639,127,324,157,261,187,46,217,487
8,458,38,121,68,108,98,559,128,476,158,54,188,129,218,206
9,521,39,456,69,545,99,386,129,110,159,272,189,405,219,402
10,76,40,678,70,130,100,50,130,346,160,293,190,56,220,271
11,643,41,218,71,40,101,74,131,90,161,176,191,126,221,161
12,260,42,79,72,235,102,89,132,675,162,25,192,476,222,31
13,49,43,186,73,60,103,260,133,68,163,601,193,229,223,78
14,126,44,485,74,293,104,258,134,146,164,306,194,242,224,161
15,255,45,99,75,586,105,59,135,74,165,160,195,325,225,93
16,379,46,27,76,5,106,589,136,201,166,275,196,75,226,41
17,205,47,204,77,550,107,84,137,139,167,265,197,516,227,80
18,64,48,228,78,40,108,120,138,603,168,244,198,148,228,251
19,436,49,158,79,90,109,177,139,75,169,339,199,46,229,528
20,75,50,620,80,67,110,70,140,265,170,458,200,354,230,470
21,221,51,177,81,153,111,108,141,591,171,202,201,403,231,201
22,282,52,359,82,118,112,66,142,390,172,544,202,215,232,156
23,36,53,103,83,72,113,96,143,176,173,317,203,533,233,376
24,264,54,69,84,303,114,555,144,41,174,74,204,174,234,390
25,123,55,208,85,52,115,193,145,303,175,292,205,211,235,108
26,146,56,57,86,56,116,383,146,493,176,521,206,452,236,505
27,336,57,455,87,558,117,461,147,200,177,133,207,169,237,173
28,35,58,155,88,594,118,508,148,316,178,198,208,602,238,612
29,20,59,493,89,326,119,467,149,251,179,88,209,67,239,402
30,56,60,24,90,128,120,259,150,270,180,47,210,104,,
