0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
"431530,","BEED,",MAHARASHTRA,,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,
1,59,31,42,61,475,91,80,121,81,151,138,181,31,211,25,241,266,271,316,,,,,,
2,360,32,118,62,159,92,260,122,423,152,119,182,550,212,121,242,179,272,184,,,,,,
3,0,33,94,63,71,93,70,123,77,153,93,183,28,213,31,243,48,273,24,,,,,,
4,27,34,35,64,367,94,260,124,-14,154,56,184,98,214,69,244,412,274,263,,,,,,
5,337,35,37,65,48,95,57,125,171,155,43,185,-7,215,218,245,196,275,43,,,,,,
6,206,36,86,66,37,96,167,126,65,156,39,186,111,216,222,246,394,276,172,,,,,,
7,15,37,58,67,420,97,87,127,181,157,94,187,151,217,22,247,36,277,216,,,,,,
8,55,38,36,68,64,98,470,128,193,158,304,188,286,218,102,248,177,278,504,,,,,,
9,39,39,171,69,69,99,129,129,21,159,621,189,163,219,43,249,141,279,40,,,,,,
10,161,40,84,70,322,100,189,130,127,160,66,190,90,220,97,250,46,280,365,,,,,,
11,64,41,132,71,38,101,97,131,107,161,52,191,115,221,28,251,59,281,180,,,,,,
12,45,42,259,72,130,102,315,132,95,162,47,192,105,222,126,252,295,282,214,,,,,,
13,209,43,46,73,65,103,234,133,188,163,239,193,149,223,134,253,161,283,207,,,,,,
14,299,44,54,74,229,104,203,134,252,164,98,194,675,224,298,254,59,284,214,,,,,,
15,106,45,199,75,61,105,83,135,406,165,221,195,467,225,186,255,240,285,88,,,,,,
16,95,46,299,76,46,106,88,136,110,166,80,196,95,226,386,256,187,286,360,,,,,,
17,35,47,370,77,132,107,82,137,39,167,42,197,399,227,-4,257,306,287,368,,,,,,
18,36,48,144,78,84,108,170,138,109,168,337,198,416,228,188,258,88,288,186,,,,,,
19,271,49,351,79,166,109,21,139,51,169,500,199,189,229,392,259,20,289,53,,,,,,
20,117,50,577,80,47,110,315,140,44,170,75,200,449,230,101,260,475,290,75,,,,,,
21,77,51,68,81,332,111,42,141,201,171,57,201,104,231,17,261,125,291,17,,,,,,
22,405,52,135,82,494,112,140,142,135,172,61,202,30,232,339,262,125,292,115,,,,,,
23,149,53,241,83,98,113,621,143,670,173,152,203,468,233,50,263,20,293,80,,,,,,
24,302,54,400,84,18,114,12,144,389,174,366,204,87,234,45,264,281,294,150,,,,,,
25,41,55,25,85,61,115,341,145,26,175,443,205,48,235,75,265,231,295,8,,,,,,
26,216,56,202,86,145,116,57,146,656,176,181,206,253,236,174,266,58,296,108,,,,,,
27,395,57,93,87,109,117,103,147,75,177,43,207,259,237,78,267,63,297,59,,,,,,
28,252,58,8,88,454,118,71,148,225,178,25,208,399,238,65,268,40,298,56,,,,,,
29,70,59,265,89,75,119,-2,149,194,179,100,209,45,239,26,269,92,299,122,,,,,,
30,9,60,523,90,30,120,96,150,318,180,153,210,129,240,25,270,73,300,152,,,,,,
Centre:,310510,DELHI,WORLD,PUBLIC,"SCHOOL,",DELHI,WORLD,PUBLIC,SCHOOL,PARLI-BEED,HIGHWAY,TALEGOAN,TQ.,PARLI,VAIJANTH,DIST.:,BEED,MAHARASHTRA.,PIN:,NEET,(UG),2024,Page,No.,2
"431530,","BEED,",MAHARASHTRA,,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,,,,,,,,,,,,,,,,,,,,,,
301,134,331,205,,,,,,,,,,,,,,,,,,,,,,
302,31,332,199,,,,,,,,,,,,,,,,,,,,,,
303,24,333,87,,,,,,,,,,,,,,,,,,,,,,
304,50,334,35,,,,,,,,,,,,,,,,,,,,,,
305,37,335,409,,,,,,,,,,,,,,,,,,,,,,
306,4,336,77,,,,,,,,,,,,,,,,,,,,,,
307,174,337,85,,,,,,,,,,,,,,,,,,,,,,
308,110,338,399,,,,,,,,,,,,,,,,,,,,,,
309,487,339,187,,,,,,,,,,,,,,,,,,,,,,
310,52,340,225,,,,,,,,,,,,,,,,,,,,,,
311,77,341,658,,,,,,,,,,,,,,,,,,,,,,
312,128,342,57,,,,,,,,,,,,,,,,,,,,,,
313,50,343,116,,,,,,,,,,,,,,,,,,,,,,
314,130,344,68,,,,,,,,,,,,,,,,,,,,,,
315,472,345,277,,,,,,,,,,,,,,,,,,,,,,
316,325,346,182,,,,,,,,,,,,,,,,,,,,,,
317,100,347,96,,,,,,,,,,,,,,,,,,,,,,
318,35,348,117,,,,,,,,,,,,,,,,,,,,,,
319,123,349,50,,,,,,,,,,,,,,,,,,,,,,
320,272,350,95,,,,,,,,,,,,,,,,,,,,,,
321,99,351,202,,,,,,,,,,,,,,,,,,,,,,
322,292,352,32,,,,,,,,,,,,,,,,,,,,,,
323,77,,,,,,,,,,,,,,,,,,,,,,,,
324,607,,,,,,,,,,,,,,,,,,,,,,,,
325,52,,,,,,,,,,,,,,,,,,,,,,,,
326,99,,,,,,,,,,,,,,,,,,,,,,,,
327,240,,,,,,,,,,,,,,,,,,,,,,,,
328,409,,,,,,,,,,,,,,,,,,,,,,,,
329,136,,,,,,,,,,,,,,,,,,,,,,,,
330,372,,,,,,,,,,,,,,,,,,,,,,,,
