0,1,2,3,4,5,6,7,8,9
"MALKANGIRI,",ODISHA,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,20,31,45,61,55,91,130,121,20
2,69,32,186,62,117,92,30,122,362
3,355,33,45,63,204,93,53,123,24
4,86,34,40,64,105,94,100,124,646
5,311,35,266,65,130,95,302,125,41
6,178,36,81,66,213,96,106,126,172
7,31,37,468,67,90,97,74,127,100
8,75,38,495,68,209,98,38,128,183
9,235,39,37,69,35,99,228,129,219
10,139,40,375,70,135,100,85,130,71
11,341,41,78,71,143,101,158,131,462
12,75,42,199,72,122,102,283,132,534
13,138,43,128,73,33,103,65,133,148
14,70,44,25,74,72,104,45,134,60
15,60,45,250,75,154,105,150,135,100
16,80,46,161,76,52,106,131,136,75
17,214,47,-5,77,219,107,94,137,179
18,411,48,21,78,313,108,87,138,549
19,63,49,95,79,281,109,182,139,37
20,130,50,162,80,-10,110,324,140,97
21,10,51,99,81,52,111,52,,
22,218,52,255,82,116,112,85,,
23,89,53,172,83,71,113,170,,
24,237,54,95,84,235,114,165,,
25,521,55,226,85,55,115,106,,
26,70,56,54,86,35,116,151,,
27,265,57,144,87,206,117,55,,
28,152,58,190,88,129,118,259,,
29,239,59,98,89,249,119,22,,
30,115,60,92,90,329,120,76,,
