0,1,2,3,4,5,6,7
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,35,31,102,61,163,91,94
2,272,32,90,62,70,92,127
3,224,33,96,63,362,93,92
4,183,34,95,64,82,94,126
5,137,35,80,65,52,95,422
6,279,36,57,66,123,96,539
7,51,37,232,67,285,97,211
8,520,38,117,68,13,98,49
9,148,39,29,69,293,99,141
10,210,40,167,70,111,100,105
11,280,41,25,71,297,101,10
12,454,42,181,72,47,102,79
13,399,43,255,73,325,103,537
14,31,44,19,74,80,104,222
15,65,45,105,75,89,105,47
16,232,46,301,76,64,106,243
17,192,47,394,77,272,107,196
18,108,48,34,78,322,108,125
19,138,49,87,79,140,109,73
20,168,50,74,80,248,110,95
21,272,51,70,81,377,111,55
22,212,52,111,82,600,112,35
23,129,53,544,83,75,113,271
24,170,54,40,84,219,114,224
25,55,55,604,85,194,115,373
26,40,56,83,86,93,116,398
27,52,57,48,87,363,117,89
28,129,58,183,88,133,118,75
29,43,59,283,89,255,,
30,67,60,145,90,96,,
