0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
ADJ.,ADANI,VIDYA,"MANDIR,","MAKARBA,","AHMEDABAD,","AHMEDABAD,",GUJARAT,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,
1,195,31,70,61,121,91,79,121,131,151,25,181,408,211,131,241,362,271,255,,,,,,,,
2,175,32,116,62,232,92,22,122,105,152,451,182,264,212,125,242,135,272,220,,,,,,,,
3,53,33,66,63,364,93,174,123,317,153,636,183,50,213,60,243,105,273,340,,,,,,,,
4,457,34,298,64,336,94,533,124,460,154,129,184,160,214,72,244,553,274,204,,,,,,,,
5,389,35,132,65,247,95,164,125,60,155,494,185,135,215,166,245,667,275,36,,,,,,,,
6,180,36,130,66,97,96,277,126,101,156,207,186,110,216,60,246,52,276,223,,,,,,,,
7,103,37,332,67,141,97,120,127,603,157,87,187,246,217,425,247,58,277,36,,,,,,,,
8,36,38,160,68,656,98,143,128,229,158,592,188,224,218,356,248,161,278,30,,,,,,,,
9,170,39,504,69,145,99,220,129,284,159,60,189,638,219,68,249,557,279,36,,,,,,,,
10,50,40,99,70,114,100,89,130,237,160,75,190,83,220,171,250,152,280,449,,,,,,,,
11,219,41,550,71,213,101,251,131,536,161,99,191,179,221,142,251,72,281,98,,,,,,,,
12,543,42,163,72,296,102,65,132,299,162,190,192,31,222,11,252,403,282,171,,,,,,,,
13,402,43,210,73,290,103,518,133,160,163,425,193,54,223,565,253,91,283,620,,,,,,,,
14,170,44,47,74,114,104,127,134,657,164,302,194,236,224,403,254,100,284,637,,,,,,,,
15,122,45,293,75,127,105,126,135,125,165,124,195,339,225,581,255,462,285,116,,,,,,,,
16,324,46,246,76,94,106,337,136,171,166,231,196,121,226,111,256,198,286,102,,,,,,,,
17,614,47,119,77,22,107,395,137,407,167,360,197,94,227,110,257,423,287,271,,,,,,,,
18,126,48,218,78,73,108,177,138,303,168,200,198,454,228,166,258,215,288,106,,,,,,,,
19,208,49,381,79,168,109,60,139,154,169,69,199,8,229,395,259,128,289,125,,,,,,,,
20,136,50,229,80,315,110,205,140,133,170,180,200,604,230,467,260,349,290,392,,,,,,,,
21,204,51,269,81,17,111,507,141,141,171,487,201,257,231,390,261,117,291,168,,,,,,,,
22,140,52,145,82,364,112,89,142,112,172,314,202,343,232,217,262,336,292,436,,,,,,,,
23,274,53,265,83,91,113,153,143,92,173,101,203,382,233,69,263,168,293,168,,,,,,,,
24,267,54,270,84,398,114,96,144,158,174,124,204,122,234,121,264,166,294,150,,,,,,,,
25,352,55,157,85,264,115,174,145,519,175,413,205,209,235,183,265,178,295,335,,,,,,,,
26,154,56,165,86,218,116,375,146,230,176,175,206,530,236,384,266,179,296,206,,,,,,,,
27,35,57,199,87,476,117,163,147,129,177,314,207,80,237,331,267,412,297,258,,,,,,,,
28,172,58,144,88,139,118,75,148,412,178,125,208,222,238,297,268,235,298,179,,,,,,,,
29,56,59,191,89,41,119,105,149,122,179,160,209,146,239,169,269,44,299,240,,,,,,,,
30,485,60,235,90,110,120,448,150,151,180,451,210,343,240,265,270,155,300,431,,,,,,,,
Centre:,220113,DAV,INTERNATIONAL,"SCHOOL,",PLOT,NO.F.P.,3,&,6.,T.P.S.,NO:,"84B,",OFF,PRAHLADNAGAR,CORPORATE,"ROAD,",AHEAD,OF,VODAFONE,CORPORATE,"HOUSE,",NEET,(UG),2024,Page,No.,2
ADJ.,ADANI,VIDYA,"MANDIR,","MAKARBA,","AHMEDABAD,","AHMEDABAD,",GUJARAT,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,,,,,,,,,
301,185,331,229,361,325,391,165,421,104,451,442,,,,,,,,,,,,,,,,
302,204,332,135,362,65,392,465,422,157,452,333,,,,,,,,,,,,,,,,
303,476,333,188,363,456,393,175,423,17,453,71,,,,,,,,,,,,,,,,
304,170,334,44,364,292,394,163,424,365,454,112,,,,,,,,,,,,,,,,
305,280,335,193,365,442,395,47,425,249,455,47,,,,,,,,,,,,,,,,
306,125,336,303,366,31,396,597,426,161,456,89,,,,,,,,,,,,,,,,
307,342,337,227,367,111,397,90,427,100,457,350,,,,,,,,,,,,,,,,
308,87,338,433,368,143,398,191,428,580,458,294,,,,,,,,,,,,,,,,
309,115,339,237,369,160,399,184,429,346,459,88,,,,,,,,,,,,,,,,
310,217,340,100,370,174,400,455,430,112,460,145,,,,,,,,,,,,,,,,
311,203,341,290,371,113,401,293,431,236,461,169,,,,,,,,,,,,,,,,
312,357,342,60,372,114,402,134,432,95,462,168,,,,,,,,,,,,,,,,
313,112,343,30,373,125,403,138,433,105,463,20,,,,,,,,,,,,,,,,
314,338,344,120,374,48,404,151,434,110,464,69,,,,,,,,,,,,,,,,
315,116,345,55,375,99,405,181,435,249,465,114,,,,,,,,,,,,,,,,
316,350,346,49,376,234,406,279,436,116,466,210,,,,,,,,,,,,,,,,
317,86,347,322,377,120,407,262,437,338,467,106,,,,,,,,,,,,,,,,
318,88,348,58,378,362,408,104,438,337,468,304,,,,,,,,,,,,,,,,
319,141,349,112,379,274,409,220,439,269,,,,,,,,,,,,,,,,,,
320,206,350,488,380,517,410,271,440,263,,,,,,,,,,,,,,,,,,
321,105,351,84,381,45,411,280,441,41,,,,,,,,,,,,,,,,,,
322,137,352,198,382,171,412,331,442,283,,,,,,,,,,,,,,,,,,
323,121,353,290,383,282,413,326,443,89,,,,,,,,,,,,,,,,,,
324,358,354,184,384,474,414,153,444,512,,,,,,,,,,,,,,,,,,
325,108,355,207,385,205,415,112,445,349,,,,,,,,,,,,,,,,,,
326,84,356,75,386,190,416,61,446,361,,,,,,,,,,,,,,,,,,
327,260,357,347,387,247,417,415,447,97,,,,,,,,,,,,,,,,,,
328,98,358,124,388,166,418,656,448,35,,,,,,,,,,,,,,,,,,
329,202,359,231,389,331,419,109,449,188,,,,,,,,,,,,,,,,,,
