0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
"JAUNPUR,",UTTAR,PRADESH,,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,
1,143,31,315,61,113,91,39,121,101,151,196,181,72,211,348,241,604,271,145,,,,,,
2,27,32,75,62,195,92,413,122,115,152,388,182,31,212,595,242,170,272,298,,,,,,
3,52,33,325,63,597,93,358,123,160,153,392,183,28,213,110,243,244,273,177,,,,,,
4,240,34,80,64,96,94,139,124,55,154,21,184,434,214,10,244,137,274,444,,,,,,
5,550,35,385,65,145,95,120,125,644,155,229,185,60,215,118,245,95,275,65,,,,,,
6,13,36,460,66,102,96,259,126,329,156,440,186,121,216,86,246,180,276,550,,,,,,
7,134,37,99,67,164,97,624,127,99,157,161,187,130,217,95,247,160,277,85,,,,,,
8,102,38,602,68,374,98,130,128,313,158,95,188,60,218,548,248,542,278,224,,,,,,
9,72,39,318,69,150,99,208,129,115,159,51,189,57,219,391,249,172,279,120,,,,,,
10,75,40,400,70,74,100,211,130,152,160,246,190,433,220,161,250,504,280,291,,,,,,
11,92,41,336,71,116,101,68,131,106,161,198,191,101,221,94,251,96,281,555,,,,,,
12,55,42,392,72,105,102,128,132,97,162,246,192,174,222,80,252,120,282,243,,,,,,
13,132,43,220,73,45,103,23,133,54,163,25,193,188,223,581,253,681,283,98,,,,,,
14,362,44,190,74,63,104,122,134,-20,164,188,194,111,224,86,254,42,284,195,,,,,,
15,84,45,116,75,79,105,234,135,-9,165,517,195,176,225,314,255,317,285,167,,,,,,
16,516,46,25,76,65,106,160,136,71,166,504,196,59,226,62,256,135,286,29,,,,,,
17,189,47,328,77,647,107,554,137,81,167,135,197,246,227,343,257,289,287,129,,,,,,
18,371,48,354,78,251,108,101,138,261,168,54,198,598,228,225,258,276,288,69,,,,,,
19,127,49,120,79,85,109,152,139,99,169,155,199,157,229,49,259,31,289,150,,,,,,
20,273,50,133,80,659,110,61,140,206,170,209,200,319,230,40,260,46,290,60,,,,,,
21,113,51,48,81,21,111,88,141,293,171,75,201,134,231,73,261,102,291,571,,,,,,
22,146,52,640,82,76,112,97,142,196,172,32,202,318,232,135,262,303,292,460,,,,,,
23,653,53,218,83,514,113,64,143,216,173,178,203,384,233,320,263,13,293,127,,,,,,
24,55,54,56,84,130,114,42,144,80,174,425,204,24,234,46,264,180,294,155,,,,,,
25,541,55,100,85,303,115,250,145,282,175,343,205,104,235,577,265,213,295,490,,,,,,
26,265,56,-24,86,122,116,267,146,331,176,265,206,120,236,43,266,334,296,482,,,,,,
27,563,57,463,87,55,117,412,147,171,177,183,207,142,237,49,267,39,297,121,,,,,,
28,178,58,116,88,147,118,310,148,156,178,316,208,456,238,580,268,116,298,79,,,,,,
29,169,59,147,89,477,119,515,149,95,179,190,209,281,239,260,269,300,299,13,,,,,,
30,292,60,76,90,514,120,31,150,115,180,130,210,127,240,327,270,38,300,54,,,,,,
Centre:,444102,MAA,DURGA,JI,SENIOR,SECONDARY,VIDYALAYA,SIDDIQUEPUR,JAUNPUR,"UP,",MAA,DURGA,JI,SENIOR,SECONDARY,VIDYALAYA,SIDDIQUEPUR,JAUNPUR,"UP,",NEET,(UG),2024,Page,No.,2
"JAUNPUR,",UTTAR,PRADESH,,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,
301,237,331,81,361,210,391,15,421,450,451,46,481,42,511,199,541,78,571,176,,,,,,
302,118,332,72,362,507,392,227,422,319,452,135,482,135,512,131,542,77,572,53,,,,,,
303,63,333,275,363,503,393,286,423,99,453,373,483,185,513,80,543,54,573,103,,,,,,
304,304,334,82,364,54,394,78,424,427,454,534,484,180,514,135,544,401,574,82,,,,,,
305,146,335,51,365,134,395,105,425,117,455,179,485,290,515,472,545,131,575,80,,,,,,
306,31,336,245,366,218,396,60,426,286,456,256,486,388,516,374,546,479,576,182,,,,,,
307,168,337,91,367,196,397,495,427,110,457,415,487,214,517,190,547,251,577,164,,,,,,
308,251,338,424,368,319,398,188,428,289,458,42,488,218,518,50,548,255,578,56,,,,,,
