0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
"KOLLAM,",KERALA,,,,,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,
1,448,31,420,61,247,91,75,121,517,151,431,181,70,211,-14,241,327,271,167,,,,,,,,
2,86,32,235,62,170,92,311,122,367,152,161,182,98,212,176,242,95,272,35,,,,,,,,
3,96,33,112,63,35,93,163,123,335,153,539,183,15,213,325,243,136,273,226,,,,,,,,
4,27,34,552,64,332,94,88,124,148,154,274,184,162,214,200,244,190,274,122,,,,,,,,
5,145,35,400,65,115,95,641,125,399,155,287,185,292,215,117,245,311,275,127,,,,,,,,
6,163,36,70,66,334,96,198,126,80,156,55,186,91,216,240,246,459,276,701,,,,,,,,
7,257,37,72,67,50,97,115,127,366,157,193,187,189,217,56,247,145,277,196,,,,,,,,
8,149,38,106,68,522,98,464,128,132,158,60,188,153,218,201,248,527,278,212,,,,,,,,
9,137,39,93,69,101,99,173,129,125,159,391,189,205,219,46,249,398,279,583,,,,,,,,
10,245,40,642,70,434,100,140,130,228,160,178,190,179,220,222,250,175,280,330,,,,,,,,
11,99,41,121,71,303,101,145,131,335,161,107,191,57,221,154,251,47,281,602,,,,,,,,
12,80,42,205,72,192,102,662,132,28,162,417,192,187,222,83,252,372,282,176,,,,,,,,
13,178,43,203,73,191,103,52,133,90,163,166,193,44,223,330,253,155,283,485,,,,,,,,
14,145,44,153,74,186,104,566,134,90,164,172,194,150,224,164,254,129,284,322,,,,,,,,
15,255,45,80,75,36,105,294,135,201,165,352,195,217,225,170,255,96,285,136,,,,,,,,
16,106,46,519,76,172,106,172,136,519,166,242,196,106,226,193,256,168,286,186,,,,,,,,
17,16,47,547,77,227,107,57,137,250,167,83,197,165,227,70,257,244,287,50,,,,,,,,
18,90,48,84,78,107,108,211,138,551,168,153,198,128,228,78,258,19,288,173,,,,,,,,
19,215,49,62,79,84,109,513,139,96,169,259,199,437,229,159,259,150,289,181,,,,,,,,
20,83,50,180,80,50,110,153,140,85,170,452,200,91,230,71,260,230,290,210,,,,,,,,
21,128,51,479,81,333,111,52,141,103,171,160,201,67,231,212,261,39,291,110,,,,,,,,
22,238,52,116,82,50,112,31,142,336,172,170,202,181,232,51,262,383,292,62,,,,,,,,
23,544,53,198,83,93,113,173,143,214,173,171,203,30,233,432,263,41,293,67,,,,,,,,
24,87,54,246,84,89,114,30,144,35,174,311,204,124,234,101,264,67,294,47,,,,,,,,
25,265,55,151,85,55,115,258,145,63,175,157,205,52,235,105,265,95,295,460,,,,,,,,
26,130,56,261,86,330,116,297,146,690,176,53,206,149,236,447,266,182,296,147,,,,,,,,
27,61,57,126,87,594,117,185,147,244,177,181,207,65,237,315,267,60,297,507,,,,,,,,
28,159,58,310,88,548,118,272,148,90,178,394,208,493,238,135,268,140,298,204,,,,,,,,
29,168,59,77,89,324,119,144,149,80,179,454,209,15,239,80,269,133,299,185,,,,,,,,
30,373,60,232,90,109,120,261,150,256,180,212,210,138,240,645,270,509,300,137,,,,,,,,
Centre:,280615,S,N,TRUSTS,CENTRAL,"SCHOOL,",SREE,NARAYANA,TRUSTS,CENTRAL,SCHOOL,S,N,WOMENS,COLLEGE,ROAD,NEAR,KARBALA,JUNCTION,KOLLAM,"KERALA,",NEET,(UG),2024,Page,No.,2
"KOLLAM,",KERALA,,,,,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,,,,,,,,,,,,,,,,,,,,,,,,
301,157,331,88,,,,,,,,,,,,,,,,,,,,,,,,
302,348,332,95,,,,,,,,,,,,,,,,,,,,,,,,
303,104,333,145,,,,,,,,,,,,,,,,,,,,,,,,
304,223,334,121,,,,,,,,,,,,,,,,,,,,,,,,
305,137,335,339,,,,,,,,,,,,,,,,,,,,,,,,
306,71,336,289,,,,,,,,,,,,,,,,,,,,,,,,
307,295,337,97,,,,,,,,,,,,,,,,,,,,,,,,
308,188,338,106,,,,,,,,,,,,,,,,,,,,,,,,
309,51,339,33,,,,,,,,,,,,,,,,,,,,,,,,
310,145,340,336,,,,,,,,,,,,,,,,,,,,,,,,
311,155,341,88,,,,,,,,,,,,,,,,,,,,,,,,
312,168,342,116,,,,,,,,,,,,,,,,,,,,,,,,
313,671,343,240,,,,,,,,,,,,,,,,,,,,,,,,
314,107,344,640,,,,,,,,,,,,,,,,,,,,,,,,
315,392,345,23,,,,,,,,,,,,,,,,,,,,,,,,
316,509,,,,,,,,,,,,,,,,,,,,,,,,,,
317,86,,,,,,,,,,,,,,,,,,,,,,,,,,
318,129,,,,,,,,,,,,,,,,,,,,,,,,,,
319,180,,,,,,,,,,,,,,,,,,,,,,,,,,
320,272,,,,,,,,,,,,,,,,,,,,,,,,,,
321,263,,,,,,,,,,,,,,,,,,,,,,,,,,
322,36,,,,,,,,,,,,,,,,,,,,,,,,,,
323,403,,,,,,,,,,,,,,,,,,,,,,,,,,
324,118,,,,,,,,,,,,,,,,,,,,,,,,,,
325,-2,,,,,,,,,,,,,,,,,,,,,,,,,,
326,85,,,,,,,,,,,,,,,,,,,,,,,,,,
327,36,,,,,,,,,,,,,,,,,,,,,,,,,,
328,299,,,,,,,,,,,,,,,,,,,,,,,,,,
329,130,,,,,,,,,,,,,,,,,,,,,,,,,,
330,124,,,,,,,,,,,,,,,,,,,,,,,,,,
