0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,59,31,269,61,14,91,90,121,76,151,265,181,66,211,112
2,122,32,97,62,216,92,153,122,230,152,95,182,76,212,29
3,226,33,372,63,120,93,15,123,45,153,101,183,369,213,202
4,25,34,45,64,135,94,20,124,86,154,52,184,115,214,184
5,176,35,32,65,18,95,107,125,55,155,41,185,373,215,79
6,58,36,72,66,202,96,64,126,119,156,30,186,49,216,45
7,61,37,85,67,67,97,78,127,148,157,142,187,42,217,14
8,196,38,133,68,101,98,135,128,36,158,388,188,120,218,89
9,113,39,19,69,415,99,90,129,196,159,147,189,36,219,188
10,33,40,206,70,115,100,151,130,50,160,521,190,56,220,115
11,70,41,39,71,109,101,457,131,35,161,164,191,507,221,51
12,62,42,115,72,116,102,62,132,60,162,90,192,102,222,49
13,54,43,136,73,5,103,69,133,309,163,2,193,76,223,45
14,119,44,-5,74,631,104,102,134,100,164,55,194,37,224,66
15,78,45,9,75,88,105,343,135,70,165,130,195,98,225,175
16,61,46,85,76,20,106,52,136,294,166,75,196,205,226,90
17,75,47,41,77,79,107,31,137,52,167,87,197,57,,
18,165,48,-1,78,203,108,161,138,104,168,68,198,64,,
19,89,49,488,79,102,109,-36,139,324,169,66,199,122,,
20,122,50,403,80,60,110,294,140,183,170,91,200,89,,
21,104,51,70,81,95,111,240,141,115,171,90,201,155,,
22,108,52,72,82,100,112,83,142,65,172,35,202,340,,
23,112,53,133,83,306,113,117,143,98,173,84,203,58,,
24,75,54,111,84,34,114,146,144,181,174,128,204,347,,
25,95,55,57,85,94,115,130,145,185,175,90,205,19,,
26,84,56,265,86,101,116,195,146,65,176,60,206,53,,
27,101,57,34,87,68,117,316,147,111,177,164,207,81,,
28,42,58,126,88,302,118,51,148,10,178,80,208,140,,
29,90,59,107,89,228,119,105,149,201,179,140,209,417,,
30,25,60,57,90,305,120,100,150,80,180,55,210,90,,
