0,1,2,3,4,5,6,7
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,301,31,204,61,216,91,20
2,141,32,28,62,29,92,60
3,92,33,353,63,73,93,140
4,20,34,57,64,160,94,123
5,297,35,37,65,89,95,48
6,40,36,58,66,103,96,145
7,101,37,59,67,42,97,70
8,395,38,100,68,25,98,80
9,115,39,40,69,11,99,194
10,125,40,352,70,1,100,80
11,96,41,99,71,78,101,107
12,159,42,18,72,230,102,139
13,169,43,195,73,30,103,84
14,176,44,105,74,221,104,105
15,100,45,75,75,70,105,55
16,74,46,453,76,71,106,8
17,69,47,71,77,126,107,385
18,89,48,40,78,-4,108,115
19,144,49,117,79,68,,
20,87,50,114,80,338,,
21,540,51,594,81,143,,
22,31,52,165,82,31,,
23,83,53,60,83,80,,
24,136,54,60,84,83,,
25,-14,55,30,85,105,,
26,35,56,237,86,55,,
27,251,57,78,87,90,,
28,260,58,20,88,15,,
29,59,59,57,89,322,,
30,160,60,111,90,95,,
