0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,
1,120,31,631,61,170,91,100,121,246,151,332,181,50,211,358,241,165,271,399,,,
2,138,32,610,62,130,92,150,122,471,152,627,182,60,212,360,242,201,272,695,,,
3,109,33,586,63,552,93,70,123,234,153,158,183,282,213,165,243,586,273,262,,,
4,315,34,532,64,80,94,290,124,601,154,55,184,420,214,309,244,93,274,348,,,
5,572,35,184,65,91,95,503,125,291,155,106,185,136,215,95,245,194,275,489,,,
6,467,36,348,66,487,96,497,126,593,156,591,186,51,216,183,246,450,276,49,,,
7,618,37,139,67,234,97,204,127,627,157,339,187,154,217,133,247,413,277,653,,,
8,118,38,537,68,105,98,78,128,655,158,439,188,138,218,465,248,325,278,149,,,
9,556,39,111,69,428,99,360,129,182,159,101,189,623,219,214,249,131,279,69,,,
10,423,40,79,70,308,100,118,130,548,160,8,190,360,220,70,250,534,280,152,,,
11,227,41,443,71,106,101,319,131,565,161,439,191,272,221,664,251,218,281,414,,,
12,59,42,482,72,164,102,137,132,300,162,202,192,427,222,200,252,407,282,498,,,
13,141,43,251,73,260,103,286,133,175,163,25,193,363,223,176,253,239,283,430,,,
14,154,44,85,74,483,104,456,134,518,164,418,194,509,224,50,254,326,284,158,,,
15,636,45,200,75,591,105,79,135,139,165,84,195,90,225,346,255,245,285,218,,,
16,138,46,335,76,71,106,223,136,308,166,509,196,612,226,282,256,71,286,227,,,
17,370,47,134,77,196,107,114,137,302,167,309,197,245,227,236,257,296,287,155,,,
18,357,48,7,78,70,108,560,138,309,168,192,198,89,228,32,258,484,288,333,,,
19,550,49,176,79,40,109,61,139,324,169,118,199,127,229,166,259,555,289,197,,,
20,282,50,93,80,161,110,377,140,76,170,42,200,122,230,164,260,169,290,307,,,
21,42,51,359,81,128,111,473,141,98,171,255,201,552,231,641,261,326,291,128,,,
22,460,52,411,82,585,112,349,142,122,172,425,202,104,232,96,262,160,292,434,,,
23,21,53,25,83,147,113,402,143,270,173,311,203,167,233,316,263,208,293,148,,,
24,480,54,96,84,71,114,242,144,207,174,663,204,215,234,118,264,60,294,85,,,
25,685,55,327,85,217,115,628,145,365,175,60,205,420,235,120,265,455,295,551,,,
26,85,56,636,86,126,116,111,146,296,176,288,206,306,236,615,266,246,296,328,,,
27,65,57,110,87,54,117,586,147,127,177,84,207,600,237,256,267,660,297,591,,,
28,498,58,378,88,134,118,458,148,110,178,265,208,173,238,42,268,60,298,65,,,
29,513,59,274,89,304,119,37,149,100,179,320,209,512,239,540,269,244,299,595,,,
30,289,60,175,90,398,120,628,150,226,180,237,210,328,240,115,270,155,300,50,,,
Centre:,390341,OXFORD,INTERNATIONAL,"ACADEMY,",SHANKAR,"VIHAR,",MAHARANA,PRATAP,MARG,NEAR,KARANI,"PALACE,VAISHALI",NAGAR,"JAIPUR,","JAIPUR,",RAJASTHAN,NEET,(UG),2024,Page,No.,2
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,
301,175,331,219,361,213,391,195,421,557,451,340,481,250,511,18,541,410,571,145,,,
302,47,332,632,362,352,392,163,422,112,452,122,482,506,512,180,542,303,572,480,,,
303,282,333,410,363,41,393,670,423,314,453,376,483,85,513,162,543,612,573,154,,,
304,261,334,318,364,76,394,54,424,71,454,276,484,399,514,240,544,127,574,101,,,
305,216,335,224,365,233,395,362,425,220,455,75,485,61,515,96,545,93,575,492,,,
306,372,336,552,366,318,396,594,426,448,456,200,486,139,516,207,546,64,576,209,,,
307,325,337,280,367,162,397,518,427,105,457,56,487,138,517,277,547,135,577,153,,,
308,350,338,208,368,413,398,132,428,192,458,676,488,200,518,195,548,45,578,121,,,
309,306,339,163,369,680,399,246,429,165,459,432,489,50,519,229,549,491,579,102,,,
310,349,340,661,370,324,400,435,430,465,460,316,490,367,520,38,550,158,580,662,,,
311,350,341,367,371,118,401,313,431,95,461,318,491,91,521,197,551,174,581,176,,,
312,55,342,73,372,635,402,215,432,504,462,685,492,110,522,416,552,534,582,652,,,
313,204,343,152,373,92,403,130,433,145,463,234,493,656,523,103,553,197,583,444,,,
314,352,344,328,374,345,404,612,434,61,464,110,494,105,524,397,554,180,584,445,,,
315,149,345,12,375,213,405,95,435,402,465,332,495,308,525,309,555,312,585,402,,,
316,279,346,15,376,313,406,285,436,197,466,116,496,264,526,160,556,104,586,408,,,
317,36,347,260,377,234,407,304,437,190,467,35,497,205,527,573,557,73,587,423,,,
318,155,348,153,378,317,408,96,438,205,468,228,498,229,528,406,558,317,588,20,,,
319,166,349,122,379,98,409,235,439,310,469,569,499,132,529,83,559,20,589,474,,,
320,80,350,463,380,25,410,348,440,115,470,84,500,316,530,285,560,414,590,391,,,
321,121,351,30,381,568,411,151,441,317,471,597,501,105,531,182,561,383,591,351,,,
322,140,352,247,382,594,412,145,442,95,472,379,502,43,532,583,562,527,592,73,,,
323,79,353,292,383,338,413,612,443,472,473,199,503,77,533,273,563,528,593,382,,,
324,302,354,394,384,25,414,494,444,455,474,300,504,195,534,202,564,180,594,117,,,
325,340,355,73,385,208,415,155,445,63,475,215,505,320,535,218,565,175,595,66,,,
326,505,356,369,386,535,416,70,446,33,476,157,506,303,536,196,566,422,596,149,,,
327,123,357,48,387,310,417,312,447,329,477,536,507,125,537,107,567,518,597,402,,,
