0,1,2,3,4,5,6,7,8,9,10,11
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,150,31,563,61,89,91,84,121,36,151,649
2,282,32,156,62,87,92,490,122,108,152,70
3,603,33,56,63,21,93,436,123,412,153,607
4,233,34,50,64,286,94,199,124,235,154,516
5,170,35,168,65,230,95,114,125,116,155,345
6,383,36,55,66,388,96,104,126,26,156,442
7,107,37,239,67,575,97,145,127,72,157,217
8,227,38,297,68,137,98,81,128,519,158,528
9,31,39,303,69,24,99,89,129,405,159,30
10,410,40,10,70,423,100,140,130,662,160,362
11,120,41,159,71,550,101,190,131,130,161,131
12,81,42,296,72,118,102,152,132,30,162,222
13,234,43,152,73,529,103,318,133,246,163,354
14,214,44,617,74,190,104,96,134,45,,
15,166,45,292,75,128,105,562,135,151,,
16,94,46,431,76,149,106,493,136,55,,
17,152,47,668,77,48,107,76,137,101,,
18,163,48,145,78,219,108,80,138,315,,
19,502,49,31,79,452,109,536,139,114,,
20,51,50,145,80,173,110,675,140,88,,
21,466,51,615,81,132,111,239,141,56,,
22,135,52,55,82,83,112,579,142,87,,
23,46,53,89,83,166,113,136,143,229,,
24,78,54,65,84,94,114,62,144,458,,
25,121,55,84,85,390,115,355,145,265,,
26,315,56,206,86,562,116,217,146,524,,
27,454,57,89,87,219,117,190,147,315,,
28,650,58,215,88,95,118,137,148,185,,
29,300,59,156,89,132,119,493,149,24,,
30,71,60,229,90,120,120,130,150,110,,
