0,1,2,3,4,5
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,50,31,250,61,80
2,114,32,55,62,145
3,45,33,16,63,44
4,100,34,69,64,80
5,71,35,67,65,105
6,145,36,83,66,68
7,70,37,263,67,81
8,100,38,26,68,25
9,70,39,335,69,75
10,72,40,304,70,20
11,80,41,51,71,162
12,85,42,90,72,90
13,138,43,136,73,53
14,50,44,169,74,140
15,90,45,57,75,308
16,96,46,85,76,36
17,30,47,83,77,314
18,106,48,40,78,30
19,150,49,125,79,4
20,40,50,60,80,110
21,70,51,97,81,176
22,581,52,-10,82,100
23,93,53,175,83,35
24,255,54,50,84,174
25,25,55,235,85,200
26,157,56,141,86,60
27,629,57,202,87,40
28,45,58,45,88,35
29,283,59,72,89,171
30,95,60,25,90,150
