0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,59,31,548,61,394,91,262,121,209,151,18,181,30,211,233
2,346,32,45,62,414,92,21,122,85,152,201,182,20,212,86
3,250,33,60,63,201,93,62,123,167,153,70,183,265,213,38
4,53,34,217,64,282,94,209,124,205,154,85,184,162,214,176
5,135,35,119,65,484,95,31,125,189,155,131,185,417,215,136
6,71,36,14,66,319,96,79,126,24,156,619,186,99,216,97
7,68,37,127,67,45,97,48,127,148,157,291,187,77,217,92
8,65,38,164,68,155,98,257,128,91,158,125,188,328,218,285
9,23,39,49,69,77,99,135,129,135,159,18,189,113,219,4
10,45,40,239,70,155,100,173,130,547,160,28,190,35,220,60
11,100,41,78,71,236,101,317,131,525,161,219,191,80,221,426
12,53,42,60,72,157,102,61,132,99,162,467,192,15,222,215
13,124,43,25,73,54,103,362,133,275,163,359,193,62,223,172
14,225,44,87,74,299,104,16,134,357,164,67,194,49,224,619
15,526,45,125,75,414,105,416,135,205,165,15,195,246,225,100
16,520,46,-1,76,59,106,80,136,107,166,212,196,49,226,52
17,55,47,151,77,371,107,-2,137,85,167,473,197,421,227,20
18,53,48,461,78,259,108,51,138,54,168,143,198,236,228,139
19,73,49,174,79,306,109,0,139,82,169,42,199,122,229,100
20,66,50,11,80,300,110,77,140,-19,170,158,200,91,230,115
21,467,51,208,81,50,111,132,141,9,171,69,201,50,231,83
22,218,52,-5,82,42,112,93,142,62,172,50,202,45,232,342
23,26,53,117,83,98,113,147,143,59,173,180,203,164,233,337
24,157,54,60,84,113,114,318,144,173,174,2,204,130,234,31
25,224,55,15,85,222,115,191,145,320,175,46,205,607,,
26,307,56,127,86,135,116,171,146,116,176,190,206,479,,
27,20,57,45,87,367,117,242,147,16,177,297,207,152,,
28,65,58,200,88,436,118,94,148,51,178,55,208,61,,
29,92,59,68,89,148,119,255,149,44,179,-13,209,146,,
30,135,60,85,90,37,120,112,150,80,180,83,210,154,,
