0,1,2,3,4,5,6,7
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,396,31,110,61,549,91,201
2,642,32,293,62,284,92,211
3,234,33,160,63,548,93,114
4,40,34,583,64,168,94,35
5,453,35,59,65,168,95,451
6,75,36,236,66,46,96,500
7,265,37,197,67,705,97,85
8,160,38,119,68,125,98,112
9,171,39,160,69,145,99,86
10,476,40,368,70,627,100,323
11,93,41,163,71,85,101,272
12,259,42,670,72,510,102,261
13,85,43,295,73,114,,
14,56,44,67,74,47,,
15,216,45,362,75,488,,
16,342,46,170,76,562,,
17,82,47,320,77,298,,
18,515,48,545,78,111,,
19,194,49,334,79,403,,
20,108,50,65,80,85,,
21,532,51,171,81,285,,
22,405,52,430,82,76,,
23,552,53,588,83,349,,
24,317,54,76,84,619,,
25,28,55,553,85,377,,
26,234,56,66,86,268,,
27,9,57,101,87,603,,
28,86,58,85,88,60,,
29,71,59,256,89,504,,
30,98,60,235,90,273,,
