0,1,2,3,4,5,6,7,8,9,10,11
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,25,31,228,61,70,91,220,121,175,151,35
2,69,32,-2,62,140,92,195,122,60,152,54
3,151,33,331,63,176,93,329,123,30,153,112
4,143,34,133,64,113,94,137,124,312,154,299
5,57,35,511,65,97,95,73,125,117,155,91
6,173,36,128,66,143,96,149,126,67,156,80
7,39,37,59,67,403,97,98,127,173,157,115
8,14,38,147,68,4,98,128,128,477,158,100
9,90,39,102,69,582,99,251,129,125,159,112
10,50,40,71,70,94,100,184,130,257,160,190
11,93,41,117,71,115,101,116,131,179,161,299
12,131,42,83,72,283,102,74,132,62,162,102
13,337,43,520,73,153,103,105,133,28,163,73
14,171,44,105,74,8,104,133,134,55,164,30
15,226,45,228,75,26,105,71,135,114,165,100
16,41,46,82,76,274,106,120,136,87,166,80
17,115,47,217,77,198,107,287,137,362,167,130
18,581,48,146,78,324,108,332,138,220,168,192
19,22,49,155,79,154,109,66,139,89,169,40
20,607,50,156,80,633,110,225,140,69,170,158
21,44,51,140,81,113,111,246,141,222,171,75
22,95,52,230,82,102,112,303,142,38,172,12
23,70,53,35,83,83,113,40,143,258,173,76
24,108,54,91,84,131,114,457,144,89,174,301
25,397,55,158,85,64,115,620,145,65,175,107
26,61,56,254,86,16,116,40,146,5,176,154
27,106,57,57,87,106,117,190,147,94,177,174
28,56,58,102,88,156,118,27,148,113,178,58
29,55,59,191,89,287,119,67,149,158,179,81
30,98,60,171,90,25,120,115,150,367,180,45
