0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"JHARKHAND,","RANCHI,",JHARKHAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,,,,,
1,454,31,124,61,27,91,648,121,418,151,70,181,41,211,559,241,331,271,365,,,,,,,,,,,,
2,30,32,478,62,448,92,137,122,127,152,217,182,210,212,246,242,66,272,633,,,,,,,,,,,,
3,141,33,99,63,69,93,33,123,235,153,128,183,201,213,77,243,497,273,401,,,,,,,,,,,,
4,0,34,365,64,539,94,150,124,70,154,215,184,44,214,139,244,234,274,313,,,,,,,,,,,,
5,142,35,349,65,465,95,87,125,59,155,537,185,184,215,236,245,152,275,72,,,,,,,,,,,,
6,177,36,325,66,288,96,122,126,125,156,72,186,115,216,102,246,660,276,152,,,,,,,,,,,,
7,55,37,67,67,106,97,74,127,225,157,56,187,380,217,594,247,441,277,427,,,,,,,,,,,,
8,110,38,159,68,355,98,67,128,105,158,48,188,110,218,213,248,266,278,347,,,,,,,,,,,,
9,107,39,161,69,190,99,85,129,188,159,203,189,25,219,242,249,131,279,515,,,,,,,,,,,,
10,102,40,200,70,84,100,522,130,95,160,345,190,328,220,370,250,643,280,344,,,,,,,,,,,,
11,279,41,360,71,483,101,66,131,155,161,109,191,95,221,279,251,106,281,249,,,,,,,,,,,,
12,137,42,196,72,265,102,98,132,253,162,194,192,161,222,350,252,131,282,189,,,,,,,,,,,,
13,85,43,459,73,87,103,236,133,130,163,625,193,225,223,214,253,104,283,34,,,,,,,,,,,,
14,370,44,96,74,461,104,59,134,172,164,245,194,10,224,692,254,183,284,464,,,,,,,,,,,,
15,229,45,117,75,562,105,366,135,113,165,59,195,43,225,220,255,7,285,120,,,,,,,,,,,,
16,100,46,191,76,143,106,225,136,168,166,113,196,52,226,100,256,275,286,359,,,,,,,,,,,,
17,29,47,261,77,126,107,42,137,44,167,122,197,12,227,171,257,211,287,68,,,,,,,,,,,,
18,594,48,138,78,294,108,354,138,162,168,479,198,107,228,470,258,142,288,90,,,,,,,,,,,,
19,87,49,312,79,156,109,166,139,75,169,461,199,49,229,77,259,264,289,250,,,,,,,,,,,,
20,356,50,208,80,181,110,55,140,195,170,80,200,204,230,201,260,205,290,198,,,,,,,,,,,,
21,239,51,146,81,12,111,407,141,131,171,18,201,120,231,179,261,188,291,144,,,,,,,,,,,,
22,514,52,647,82,37,112,374,142,488,172,370,202,45,232,109,262,54,292,643,,,,,,,,,,,,
23,546,53,148,83,34,113,131,143,332,173,173,203,226,233,207,263,228,293,178,,,,,,,,,,,,
24,364,54,215,84,70,114,53,144,489,174,5,204,77,234,199,264,464,294,439,,,,,,,,,,,,
25,110,55,222,85,185,115,370,145,587,175,431,205,105,235,279,265,108,295,60,,,,,,,,,,,,
26,267,56,12,86,304,116,44,146,603,176,97,206,35,236,112,266,110,296,447,,,,,,,,,,,,
27,575,57,150,87,497,117,125,147,280,177,210,207,191,237,116,267,169,297,685,,,,,,,,,,,,
28,249,58,43,88,122,118,77,148,108,178,365,208,73,238,661,268,101,298,279,,,,,,,,,,,,
29,235,59,75,89,229,119,667,149,150,179,670,209,30,239,296,269,334,299,60,,,,,,,,,,,,
30,158,60,417,90,263,120,484,150,589,180,554,210,336,240,123,270,65,300,240,,,,,,,,,,,,
Centre:,260311,G,G,S,PUB,SCHL,KAMRE,RATU,ROAD,KANKE,RANCHI,"JH,",GURU,GOBIND,SINGH,PUBLIC,SCHOOL,KAMRE,RATU,ROAD,TEHSIL,-,KANKE,DISTT.-,RANCHI,NEET,(UG),2024,Page,No.,2
"JHARKHAND,","RANCHI,",JHARKHAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,,,,,,,,,,,,,
301,121,331,134,361,305,391,561,421,431,451,272,,,,,,,,,,,,,,,,,,,,
302,248,332,76,362,296,392,272,422,159,452,192,,,,,,,,,,,,,,,,,,,,
303,369,333,324,363,179,393,460,423,90,453,123,,,,,,,,,,,,,,,,,,,,
304,180,334,53,364,129,394,108,424,44,454,121,,,,,,,,,,,,,,,,,,,,
305,116,335,547,365,274,395,31,425,73,455,203,,,,,,,,,,,,,,,,,,,,
306,227,336,361,366,604,396,102,426,225,456,545,,,,,,,,,,,,,,,,,,,,
307,115,337,93,367,73,397,119,427,582,457,205,,,,,,,,,,,,,,,,,,,,
308,93,338,128,368,66,398,441,428,129,458,69,,,,,,,,,,,,,,,,,,,,
309,22,339,431,369,69,399,225,429,120,459,65,,,,,,,,,,,,,,,,,,,,
310,79,340,156,370,195,400,34,430,98,460,84,,,,,,,,,,,,,,,,,,,,
311,342,341,109,371,486,401,429,431,371,461,69,,,,,,,,,,,,,,,,,,,,
312,95,342,389,372,30,402,185,432,556,462,510,,,,,,,,,,,,,,,,,,,,
313,233,343,89,373,214,403,71,433,257,463,208,,,,,,,,,,,,,,,,,,,,
314,546,344,305,374,493,404,247,434,19,464,524,,,,,,,,,,,,,,,,,,,,
315,55,345,200,375,349,405,621,435,63,465,398,,,,,,,,,,,,,,,,,,,,
316,311,346,123,376,159,406,376,436,258,466,103,,,,,,,,,,,,,,,,,,,,
317,82,347,296,377,99,407,248,437,332,467,295,,,,,,,,,,,,,,,,,,,,
318,295,348,105,378,672,408,95,438,113,468,233,,,,,,,,,,,,,,,,,,,,
319,66,349,130,379,125,409,468,439,408,469,478,,,,,,,,,,,,,,,,,,,,
320,441,350,126,380,97,410,107,440,147,470,424,,,,,,,,,,,,,,,,,,,,
321,378,351,116,381,665,411,146,441,141,471,82,,,,,,,,,,,,,,,,,,,,
322,216,352,88,382,338,412,586,442,86,,,,,,,,,,,,,,,,,,,,,,
323,215,353,40,383,35,413,108,443,512,,,,,,,,,,,,,,,,,,,,,,
324,49,354,408,384,535,414,605,444,163,,,,,,,,,,,,,,,,,,,,,,
325,435,355,322,385,153,415,106,445,183,,,,,,,,,,,,,,,,,,,,,,
326,200,356,166,386,360,416,224,446,145,,,,,,,,,,,,,,,,,,,,,,
327,525,357,171,387,278,417,122,447,70,,,,,,,,,,,,,,,,,,,,,,
328,374,358,40,388,87,418,480,448,469,,,,,,,,,,,,,,,,,,,,,,
329,569,359,451,389,470,419,385,449,75,,,,,,,,,,,,,,,,,,,,,,
330,111,360,192,390,491,420,198,450,104,,,,,,,,,,,,,,,,,,,,,,
