0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,159,31,50,61,112,91,270,121,94,151,539,181,603,211,373
2,594,32,49,62,129,92,585,122,38,152,61,182,420,212,342
3,49,33,135,63,50,93,56,123,30,153,94,183,265,213,343
4,382,34,84,64,421,94,104,124,329,154,39,184,144,214,46
5,2,35,291,65,390,95,352,125,435,155,218,185,315,215,182
6,92,36,37,66,133,96,565,126,610,156,265,186,199,216,59
7,475,37,285,67,141,97,102,127,32,157,88,187,249,217,118
8,151,38,67,68,466,98,400,128,90,158,624,188,140,218,559
9,415,39,665,69,78,99,108,129,660,159,208,189,105,219,133
10,208,40,335,70,101,100,75,130,256,160,319,190,65,220,126
11,56,41,238,71,68,101,47,131,338,161,62,191,438,221,5
12,434,42,456,72,214,102,527,132,75,162,37,192,365,222,112
13,455,43,86,73,576,103,269,133,621,163,119,193,253,223,100
14,86,44,16,74,108,104,626,134,391,164,79,194,3,224,281
15,30,45,170,75,221,105,212,135,73,165,11,195,106,225,455
16,227,46,1,76,504,106,340,136,181,166,268,196,344,226,273
17,135,47,209,77,347,107,110,137,146,167,253,197,143,227,136
18,266,48,235,78,56,108,213,138,582,168,579,198,249,228,120
19,478,49,25,79,107,109,166,139,667,169,55,199,405,229,600
20,161,50,20,80,302,110,85,140,201,170,85,200,173,230,264
21,18,51,-31,81,24,111,49,141,74,171,126,201,399,231,399
22,231,52,17,82,367,112,373,142,44,172,400,202,520,232,335
23,152,53,202,83,147,113,116,143,63,173,269,203,206,233,319
24,193,54,132,84,436,114,195,144,110,174,181,204,319,234,32
25,327,55,166,85,11,115,190,145,671,175,190,205,543,235,58
26,209,56,163,86,98,116,188,146,554,176,385,206,254,236,208
27,538,57,395,87,286,117,145,147,453,177,101,207,253,237,44
28,178,58,153,88,592,118,313,148,167,178,71,208,66,238,91
29,660,59,280,89,110,119,77,149,287,179,148,209,94,,
30,80,60,177,90,247,120,18,150,51,180,347,210,34,,
