0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
"DAHOD,",GUJARAT,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,27,31,70,61,50,91,104,121,150,151,100,181,44,211,102
2,123,32,89,62,91,92,14,122,89,152,185,182,47,212,90
3,26,33,124,63,137,93,40,123,80,153,159,183,234,213,208
4,184,34,29,64,73,94,62,124,72,154,132,184,149,214,115
5,84,35,40,65,16,95,27,125,177,155,97,185,85,215,97
6,120,36,7,66,181,96,84,126,123,156,68,186,89,216,122
7,80,37,313,67,95,97,91,127,5,157,188,187,116,217,144
8,49,38,94,68,52,98,63,128,45,158,88,188,72,218,107
9,350,39,338,69,61,99,276,129,112,159,128,189,61,219,60
10,199,40,506,70,69,100,36,130,63,160,414,190,224,220,84
11,68,41,47,71,86,101,135,131,141,161,31,191,115,221,104
12,136,42,61,72,38,102,184,132,55,162,173,192,92,222,111
13,15,43,12,73,149,103,83,133,75,163,110,193,146,223,46
14,197,44,251,74,90,104,129,134,88,164,63,194,157,224,48
15,167,45,78,75,63,105,14,135,13,165,48,195,88,225,115
16,172,46,69,76,110,106,131,136,93,166,106,196,144,226,81
17,17,47,42,77,162,107,161,137,436,167,55,197,220,227,90
18,70,48,65,78,118,108,83,138,410,168,55,198,108,228,39
19,58,49,65,79,93,109,74,139,39,169,110,199,20,229,276
20,258,50,107,80,367,110,100,140,13,170,69,200,90,230,364
21,83,51,95,81,102,111,63,141,75,171,136,201,95,231,45
22,80,52,66,82,123,112,80,142,210,172,36,202,71,,
23,75,53,234,83,52,113,268,143,155,173,108,203,124,,
24,42,54,255,84,246,114,66,144,110,174,168,204,407,,
25,148,55,101,85,78,115,131,145,121,175,81,205,39,,
26,87,56,85,86,202,116,85,146,132,176,124,206,94,,
27,108,57,69,87,45,117,9,147,137,177,67,207,126,,
28,85,58,180,88,28,118,135,148,176,178,283,208,69,,
29,62,59,109,89,54,119,20,149,56,179,52,209,65,,
30,61,60,74,90,198,120,85,150,108,180,62,210,87,,
