0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,
1,651,31,74,61,57,91,690,121,105,151,90,181,208,211,695,241,640,271,35,,,,,,
2,125,32,91,62,62,92,125,122,200,152,107,182,345,212,70,242,45,272,346,,,,,,
3,170,33,10,63,279,93,50,123,178,153,364,183,409,213,85,243,183,273,337,,,,,,
4,50,34,238,64,451,94,696,124,75,154,188,184,93,214,50,244,184,274,153,,,,,,
5,28,35,229,65,140,95,233,125,241,155,471,185,137,215,83,245,64,275,98,,,,,,
6,278,36,629,66,240,96,131,126,90,156,57,186,481,216,170,246,229,276,501,,,,,,
7,53,37,75,67,64,97,185,127,74,157,146,187,65,217,165,247,182,277,22,,,,,,
8,121,38,257,68,55,98,426,128,168,158,594,188,705,218,65,248,314,278,69,,,,,,
9,64,39,143,69,341,99,62,129,170,159,373,189,287,219,422,249,91,279,297,,,,,,
10,170,40,256,70,514,100,30,130,25,160,147,190,175,220,452,250,250,280,630,,,,,,
11,91,41,45,71,278,101,115,131,60,161,95,191,151,221,185,251,123,281,170,,,,,,
12,103,42,281,72,643,102,462,132,169,162,685,192,177,222,156,252,248,282,180,,,,,,
13,159,43,140,73,80,103,355,133,371,163,537,193,135,223,142,253,102,283,419,,,,,,
14,610,44,489,74,64,104,73,134,223,164,177,194,173,224,421,254,205,284,443,,,,,,
15,427,45,121,75,170,105,75,135,246,165,10,195,139,225,272,255,525,285,578,,,,,,
16,77,46,21,76,170,106,71,136,60,166,49,196,77,226,605,256,554,286,435,,,,,,
17,201,47,111,77,85,107,155,137,301,167,192,197,85,227,112,257,100,287,687,,,,,,
18,198,48,238,78,118,108,71,138,232,168,552,198,195,228,66,258,39,288,234,,,,,,
19,90,49,451,79,125,109,155,139,379,169,75,199,35,229,645,259,128,289,50,,,,,,
20,183,50,171,80,161,110,123,140,537,170,147,200,171,230,431,260,203,290,384,,,,,,
21,78,51,75,81,70,111,545,141,87,171,260,201,685,231,572,261,133,291,324,,,,,,
22,180,52,367,82,339,112,284,142,145,172,115,202,74,232,343,262,240,292,325,,,,,,
23,463,53,120,83,128,113,159,143,433,173,438,203,125,233,670,263,41,293,89,,,,,,
24,65,54,130,84,236,114,250,144,153,174,526,204,109,234,170,264,664,294,42,,,,,,
25,696,55,375,85,120,115,522,145,284,175,130,205,452,235,85,265,194,295,240,,,,,,
26,245,56,380,86,415,116,378,146,630,176,68,206,88,236,127,266,120,296,248,,,,,,
27,131,57,304,87,111,117,172,147,64,177,10,207,158,237,197,267,60,297,370,,,,,,
28,166,58,412,88,80,118,57,148,406,178,615,208,380,238,569,268,60,298,216,,,,,,
29,45,59,149,89,559,119,257,149,45,179,345,209,216,239,124,269,185,299,80,,,,,,
30,189,60,697,90,169,120,65,150,101,180,349,210,30,240,136,270,43,300,630,,,,,,
Centre:,280713,LISIEUX,ENGLISH,SCHOOL,NADEL,VAIKOM,KOTTAYAM,"KL,",LISIEUX,ENGLISH,SCHOOL,NADEL,VAIKOM,PO,KOTTAYAM,DIST,"KERALA,","KOTTAYAM,",KERALA,NEET,(UG),2024,Page,No.,2
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,,,,,,,,,,,
301,574,331,136,361,286,391,137,,,,,,,,,,,,,,,,,,
302,74,332,446,362,86,392,140,,,,,,,,,,,,,,,,,,
303,103,333,84,363,105,393,155,,,,,,,,,,,,,,,,,,
304,108,334,103,364,37,394,501,,,,,,,,,,,,,,,,,,
305,55,335,65,365,75,395,30,,,,,,,,,,,,,,,,,,
306,597,336,-28,366,438,396,135,,,,,,,,,,,,,,,,,,
307,174,337,65,367,18,397,218,,,,,,,,,,,,,,,,,,
308,128,338,497,368,82,398,632,,,,,,,,,,,,,,,,,,
309,87,339,665,369,386,399,148,,,,,,,,,,,,,,,,,,
310,143,340,143,370,105,400,515,,,,,,,,,,,,,,,,,,
311,294,341,550,371,147,401,151,,,,,,,,,,,,,,,,,,
312,165,342,41,372,123,402,107,,,,,,,,,,,,,,,,,,
313,365,343,283,373,160,403,83,,,,,,,,,,,,,,,,,,
314,190,344,522,374,155,404,648,,,,,,,,,,,,,,,,,,
315,107,345,258,375,70,405,245,,,,,,,,,,,,,,,,,,
316,287,346,19,376,325,406,425,,,,,,,,,,,,,,,,,,
317,30,347,95,377,24,407,198,,,,,,,,,,,,,,,,,,
318,658,348,0,378,91,408,50,,,,,,,,,,,,,,,,,,
319,468,349,155,379,60,409,600,,,,,,,,,,,,,,,,,,
320,140,350,81,380,413,410,198,,,,,,,,,,,,,,,,,,
321,65,351,65,381,119,411,656,,,,,,,,,,,,,,,,,,
322,597,352,620,382,67,412,163,,,,,,,,,,,,,,,,,,
323,334,353,333,383,252,413,513,,,,,,,,,,,,,,,,,,
324,562,354,210,384,150,414,111,,,,,,,,,,,,,,,,,,
325,675,355,113,385,705,415,91,,,,,,,,,,,,,,,,,,
326,332,356,463,386,375,416,174,,,,,,,,,,,,,,,,,,
327,-13,357,78,387,421,417,199,,,,,,,,,,,,,,,,,,
328,16,358,150,388,12,418,91,,,,,,,,,,,,,,,,,,
329,287,359,90,389,359,,,,,,,,,,,,,,,,,,,,
330,132,360,79,390,246,,,,,,,,,,,,,,,,,,,,
