0,1,2,3,4,5,6,7,8,9,10,11,12,13
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,303,31,265,61,141,91,90,121,453,151,175,181,161
2,161,32,64,62,60,92,242,122,125,152,400,182,185
3,143,33,271,63,78,93,201,123,220,153,382,183,119
4,269,34,130,64,568,94,110,124,538,154,181,184,61
5,520,35,200,65,142,95,105,125,516,155,330,185,192
6,299,36,177,66,126,96,120,126,626,156,80,186,90
7,259,37,89,67,453,97,46,127,88,157,397,187,614
8,357,38,52,68,346,98,295,128,118,158,52,188,466
9,76,39,482,69,186,99,52,129,345,159,193,189,288
10,583,40,203,70,292,100,55,130,299,160,98,190,155
11,273,41,18,71,189,101,130,131,69,161,458,191,207
12,178,42,211,72,321,102,540,132,190,162,-29,192,197
13,295,43,280,73,464,103,41,133,393,163,282,193,140
14,579,44,111,74,101,104,179,134,546,164,63,194,140
15,174,45,102,75,246,105,374,135,143,165,82,,
16,95,46,235,76,73,106,138,136,261,166,192,,
17,180,47,493,77,98,107,139,137,418,167,93,,
18,508,48,98,78,232,108,550,138,115,168,558,,
19,20,49,63,79,41,109,151,139,335,169,170,,
20,605,50,140,80,275,110,17,140,253,170,350,,
21,298,51,388,81,74,111,532,141,258,171,99,,
22,31,52,55,82,85,112,86,142,48,172,198,,
23,151,53,158,83,156,113,307,143,231,173,103,,
24,168,54,233,84,634,114,61,144,93,174,654,,
25,92,55,87,85,416,115,447,145,120,175,134,,
26,205,56,100,86,244,116,145,146,73,176,403,,
27,338,57,182,87,240,117,95,147,44,177,196,,
28,236,58,71,88,230,118,46,148,241,178,331,,
29,364,59,120,89,526,119,130,149,104,179,63,,
30,166,60,346,90,228,120,457,150,335,180,158,,
