0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,,,,,,,
1,98,31,278,61,62,91,122,121,93,151,250,181,62,211,53,241,62,271,46,,,,,,,,,,,,,,
2,448,32,22,62,408,92,74,122,141,152,39,182,276,212,172,242,231,272,88,,,,,,,,,,,,,,
3,149,33,164,63,162,93,82,123,109,153,253,183,89,213,207,243,56,273,295,,,,,,,,,,,,,,
4,43,34,600,64,288,94,122,124,418,154,112,184,15,214,445,244,102,274,47,,,,,,,,,,,,,,
5,59,35,377,65,31,95,155,125,162,155,307,185,495,215,17,245,80,275,358,,,,,,,,,,,,,,
6,347,36,70,66,310,96,516,126,406,156,384,186,61,216,632,246,41,276,90,,,,,,,,,,,,,,
7,240,37,137,67,45,97,342,127,82,157,133,187,247,217,378,247,13,277,102,,,,,,,,,,,,,,
8,19,38,59,68,534,98,274,128,337,158,90,188,230,218,185,248,423,278,403,,,,,,,,,,,,,,
9,439,39,592,69,311,99,80,129,105,159,60,189,107,219,396,249,182,279,612,,,,,,,,,,,,,,
10,400,40,154,70,330,100,402,130,168,160,417,190,243,220,112,250,222,280,251,,,,,,,,,,,,,,
11,249,41,365,71,244,101,155,131,49,161,353,191,195,221,407,251,172,281,130,,,,,,,,,,,,,,
12,545,42,155,72,62,102,237,132,520,162,72,192,621,222,564,252,64,282,156,,,,,,,,,,,,,,
13,66,43,159,73,66,103,71,133,123,163,222,193,42,223,67,253,197,283,196,,,,,,,,,,,,,,
14,105,44,109,74,327,104,161,134,308,164,207,194,76,224,404,254,358,284,63,,,,,,,,,,,,,,
15,120,45,109,75,45,105,60,135,427,165,513,195,157,225,282,255,89,285,121,,,,,,,,,,,,,,
16,236,46,473,76,51,106,12,136,61,166,48,196,81,226,187,256,76,286,85,,,,,,,,,,,,,,
17,310,47,184,77,239,107,59,137,501,167,223,197,354,227,25,257,89,287,599,,,,,,,,,,,,,,
18,100,48,104,78,64,108,482,138,52,168,273,198,331,228,412,258,51,288,575,,,,,,,,,,,,,,
19,250,49,117,79,80,109,123,139,414,169,82,199,74,229,392,259,80,289,131,,,,,,,,,,,,,,
20,59,50,133,80,326,110,556,140,131,170,605,200,115,230,108,260,431,290,303,,,,,,,,,,,,,,
21,280,51,145,81,68,111,204,141,36,171,150,201,23,231,63,261,116,291,352,,,,,,,,,,,,,,
22,52,52,85,82,140,112,172,142,105,172,532,202,297,232,132,262,25,292,227,,,,,,,,,,,,,,
23,48,53,75,83,184,113,160,143,126,173,75,203,158,233,462,263,339,293,90,,,,,,,,,,,,,,
24,11,54,312,84,76,114,432,144,0,174,548,204,19,234,458,264,228,294,238,,,,,,,,,,,,,,
25,94,55,72,85,56,115,115,145,224,175,212,205,200,235,40,265,79,295,132,,,,,,,,,,,,,,
26,272,56,621,86,71,116,184,146,341,176,96,206,414,236,106,266,241,296,673,,,,,,,,,,,,,,
27,161,57,115,87,77,117,275,147,37,177,255,207,186,237,70,267,357,297,53,,,,,,,,,,,,,,
28,163,58,52,88,596,118,235,148,130,178,121,208,69,238,583,268,153,298,32,,,,,,,,,,,,,,
29,80,59,455,89,60,119,41,149,86,179,184,209,81,239,325,269,650,299,38,,,,,,,,,,,,,,
30,172,60,622,90,330,120,124,150,309,180,66,210,384,240,531,270,43,300,35,,,,,,,,,,,,,,
Centre:,300310,ILVA,HR,SEC,SCHOOL,SNEH,NAGAR,INDORE,"MP,",I,L,V,A,HR,SEC,SCHOOL,SNEH,NAGAR,SCHEME,NO,31,INDORE,M,"P,","INDORE,",MADHYA,PRADESH,NEET,(UG),2024,Page,No.,2
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,,,,,,,
301,278,331,598,361,25,391,132,421,223,451,172,481,142,511,171,541,229,571,242,,,,,,,,,,,,,,
302,30,332,277,362,85,392,572,422,639,452,299,482,431,512,352,542,200,572,71,,,,,,,,,,,,,,
303,351,333,332,363,70,393,138,423,292,453,157,483,438,513,610,543,42,573,468,,,,,,,,,,,,,,
304,64,334,314,364,129,394,69,424,148,454,657,484,80,514,55,544,233,574,253,,,,,,,,,,,,,,
305,228,335,310,365,474,395,128,425,101,455,27,485,176,515,154,545,269,575,36,,,,,,,,,,,,,,
306,383,336,95,366,76,396,256,426,216,456,85,486,667,516,500,546,45,576,341,,,,,,,,,,,,,,
307,210,337,365,367,112,397,372,427,264,457,16,487,279,517,100,547,83,577,393,,,,,,,,,,,,,,
308,551,338,382,368,164,398,335,428,304,458,131,488,227,518,258,548,106,578,313,,,,,,,,,,,,,,
309,619,339,194,369,505,399,335,429,309,459,18,489,81,519,261,549,357,579,221,,,,,,,,,,,,,,
310,349,340,530,370,53,400,113,430,474,460,193,490,379,520,210,550,649,580,324,,,,,,,,,,,,,,
311,196,341,116,371,169,401,156,431,26,461,74,491,320,521,140,551,436,581,599,,,,,,,,,,,,,,
312,68,342,642,372,93,402,88,432,76,462,425,492,176,522,486,552,123,582,265,,,,,,,,,,,,,,
313,22,343,318,373,350,403,133,433,87,463,164,493,120,523,213,553,202,583,389,,,,,,,,,,,,,,
314,175,344,385,374,201,404,272,434,209,464,376,494,626,524,482,554,111,584,32,,,,,,,,,,,,,,
315,431,345,569,375,95,405,8,435,153,465,38,495,87,525,368,555,456,585,245,,,,,,,,,,,,,,
316,48,346,204,376,113,406,69,436,65,466,544,496,313,526,400,556,90,586,120,,,,,,,,,,,,,,
317,70,347,432,377,76,407,141,437,660,467,409,497,136,527,244,557,176,587,41,,,,,,,,,,,,,,
318,290,348,102,378,54,408,366,438,32,468,375,498,406,528,47,558,292,588,299,,,,,,,,,,,,,,
319,436,349,442,379,38,409,286,439,167,469,46,499,47,529,282,559,234,589,198,,,,,,,,,,,,,,
320,201,350,614,380,305,410,99,440,351,470,53,500,145,530,154,560,247,590,181,,,,,,,,,,,,,,
321,9,351,335,381,51,411,299,441,498,471,425,501,126,531,46,561,125,591,635,,,,,,,,,,,,,,
322,104,352,369,382,284,412,398,442,483,472,342,502,503,532,396,562,13,592,91,,,,,,,,,,,,,,
323,86,353,97,383,552,413,112,443,100,473,368,503,274,533,148,563,313,593,26,,,,,,,,,,,,,,
324,18,354,136,384,404,414,303,444,195,474,279,504,96,534,316,564,57,594,83,,,,,,,,,,,,,,
325,99,355,168,385,261,415,124,445,29,475,556,505,379,535,199,565,153,595,232,,,,,,,,,,,,,,
326,22,356,265,386,151,416,79,446,351,476,185,506,353,536,32,566,305,596,585,,,,,,,,,,,,,,
327,30,357,30,387,101,417,240,447,63,477,412,507,174,537,204,567,71,597,77,,,,,,,,,,,,,,
328,149,358,248,388,67,418,107,448,35,478,685,508,75,538,411,568,214,598,116,,,,,,,,,,,,,,
329,121,359,180,389,261,419,124,449,225,479,335,509,505,539,271,569,99,599,145,,,,,,,,,,,,,,
330,90,360,54,390,32,420,383,450,171,480,38,510,75,540,408,570,92,600,81,,,,,,,,,,,,,,
Centre:,300310,ILVA,HR,SEC,SCHOOL,SNEH,NAGAR,INDORE,"MP,",I,L,V,A,HR,SEC,SCHOOL,SNEH,NAGAR,SCHEME,NO,31,INDORE,M,"P,","INDORE,",MADHYA,PRADESH,NEET,(UG),2024,Page,No.,3
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,,,,,,,,,,,,,,,,,,,
601,172,631,228,661,76,691,440,,,,,,,,,,,,,,,,,,,,,,,,,,
602,649,632,82,662,72,692,92,,,,,,,,,,,,,,,,,,,,,,,,,,
603,120,633,417,663,44,693,535,,,,,,,,,,,,,,,,,,,,,,,,,,
604,396,634,78,664,664,694,82,,,,,,,,,,,,,,,,,,,,,,,,,,
605,611,635,154,665,171,695,565,,,,,,,,,,,,,,,,,,,,,,,,,,
606,441,636,220,666,565,696,233,,,,,,,,,,,,,,,,,,,,,,,,,,
607,90,637,306,667,203,697,52,,,,,,,,,,,,,,,,,,,,,,,,,,
608,438,638,246,668,627,698,7,,,,,,,,,,,,,,,,,,,,,,,,,,
609,104,639,121,669,101,699,371,,,,,,,,,,,,,,,,,,,,,,,,,,
610,291,640,470,670,230,700,188,,,,,,,,,,,,,,,,,,,,,,,,,,
611,102,641,320,671,296,701,187,,,,,,,,,,,,,,,,,,,,,,,,,,
612,49,642,589,672,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613,34,643,251,673,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,120,644,22,674,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,184,645,332,675,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,52,646,585,676,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,202,647,73,677,477,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,224,648,103,678,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,330,649,162,679,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,492,650,650,680,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621,115,651,297,681,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622,139,652,161,682,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623,416,653,90,683,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624,85,654,154,684,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,164,655,169,685,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,
626,248,656,421,686,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,551,657,107,687,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628,213,658,296,688,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,55,659,549,689,430,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,314,660,53,690,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,
