0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
MADHYA,PRADESH,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,45,31,95,61,65,91,212,121,55,151,60,181,75,211,110,241,315,271,129
2,50,32,340,62,135,92,165,122,59,152,94,182,70,212,75,242,204,272,83
3,97,33,337,63,70,93,45,123,150,153,68,183,111,213,30,243,168,273,46
4,153,34,26,64,18,94,78,124,126,154,110,184,136,214,90,244,22,274,413
5,310,35,61,65,40,95,59,125,115,155,57,185,225,215,82,245,50,275,114
6,154,36,110,66,97,96,118,126,27,156,100,186,20,216,38,246,-4,276,36
7,183,37,54,67,33,97,50,127,125,157,116,187,439,217,88,247,75,277,287
8,64,38,147,68,109,98,60,128,82,158,0,188,73,218,97,248,43,278,123
9,168,39,111,69,100,99,107,129,34,159,52,189,60,219,113,249,165,279,38
10,76,40,130,70,174,100,108,130,85,160,273,190,60,220,120,250,70,280,45
11,4,41,130,71,143,101,40,131,154,161,55,191,72,221,86,251,62,281,126
12,45,42,123,72,45,102,82,132,55,162,85,192,40,222,117,252,31,,
13,74,43,63,73,83,103,85,133,110,163,55,193,144,223,6,253,51,,
14,114,44,153,74,114,104,92,134,55,164,10,194,98,224,111,254,44,,
15,40,45,32,75,233,105,48,135,59,165,22,195,85,225,13,255,60,,
16,65,46,86,76,56,106,119,136,41,166,105,196,62,226,85,256,60,,
17,100,47,93,77,37,107,189,137,130,167,72,197,110,227,227,257,15,,
18,86,48,75,78,90,108,108,138,22,168,111,198,97,228,130,258,49,,
19,65,49,191,79,80,109,95,139,50,169,93,199,134,229,34,259,145,,
20,87,50,371,80,83,110,80,140,272,170,46,200,249,230,53,260,88,,
21,122,51,70,81,78,111,516,141,40,171,121,201,188,231,656,261,95,,
22,72,52,122,82,40,112,559,142,50,172,60,202,83,232,30,262,11,,
23,11,53,45,83,82,113,161,143,90,173,69,203,57,233,51,263,83,,
24,35,54,7,84,61,114,158,144,75,174,171,204,61,234,71,264,37,,
25,91,55,194,85,122,115,80,145,101,175,71,205,384,235,2,265,40,,
26,228,56,121,86,363,116,32,146,82,176,85,206,65,236,103,266,74,,
27,85,57,46,87,45,117,174,147,154,177,35,207,87,237,38,267,58,,
28,35,58,207,88,50,118,46,148,60,178,42,208,168,238,80,268,158,,
29,25,59,48,89,16,119,181,149,91,179,53,209,36,239,254,269,78,,
30,360,60,68,90,75,120,170,150,93,180,34,210,62,240,84,270,132,,
