0,1,2,3,4,5,6,7,8,9
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,160,31,150,61,455,91,341,121,90
2,185,32,177,62,144,92,107,122,89
3,93,33,185,63,107,93,86,123,101
4,84,34,120,64,59,94,189,124,300
5,79,35,138,65,201,95,86,125,219
6,90,36,93,66,37,96,66,126,452
7,137,37,146,67,138,97,114,127,94
8,247,38,32,68,75,98,106,128,111
9,168,39,50,69,101,99,334,129,341
10,103,40,201,70,271,100,101,130,324
11,234,41,225,71,71,101,338,131,78
12,229,42,121,72,290,102,204,132,309
13,134,43,108,73,62,103,283,133,207
14,104,44,149,74,179,104,158,134,143
15,155,45,309,75,150,105,219,135,95
16,47,46,287,76,86,106,109,136,94
17,146,47,277,77,43,107,57,137,276
18,286,48,502,78,153,108,297,138,101
19,94,49,135,79,123,109,350,139,484
20,267,50,74,80,63,110,116,140,81
21,35,51,128,81,58,111,94,141,154
22,129,52,8,82,92,112,164,,
23,176,53,35,83,77,113,140,,
24,55,54,137,84,233,114,155,,
25,177,55,351,85,94,115,118,,
26,198,56,58,86,60,116,65,,
27,257,57,223,87,53,117,91,,
28,85,58,134,88,329,118,88,,
29,65,59,134,89,167,119,35,,
30,116,60,96,90,96,120,400,,
