0,1,2,3,4,5,6,7,8,9
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,129,31,286,61,12,91,604,121,546
2,70,32,396,62,286,92,371,122,26
3,58,33,146,63,345,93,147,123,94
4,62,34,531,64,79,94,25,124,139
5,531,35,6,65,340,95,56,125,149
6,173,36,576,66,358,96,455,126,100
7,351,37,129,67,377,97,94,127,155
8,551,38,88,68,132,98,169,128,70
9,115,39,378,69,121,99,342,129,89
10,211,40,340,70,260,100,117,130,45
11,570,41,196,71,521,101,411,131,72
12,131,42,261,72,76,102,330,132,446
13,42,43,139,73,85,103,242,133,82
14,326,44,65,74,306,104,346,134,154
15,281,45,519,75,38,105,102,135,499
16,540,46,230,76,480,106,153,136,478
17,150,47,73,77,131,107,113,137,132
18,69,48,175,78,83,108,310,138,175
19,200,49,215,79,379,109,27,139,65
20,69,50,62,80,312,110,82,140,509
21,295,51,498,81,124,111,425,,
22,176,52,612,82,40,112,157,,
23,188,53,216,83,575,113,117,,
24,260,54,256,84,47,114,460,,
25,34,55,184,85,126,115,256,,
26,266,56,369,86,102,116,219,,
27,357,57,129,87,32,117,411,,
28,168,58,28,88,123,118,408,,
29,38,59,87,89,162,119,322,,
30,119,60,297,90,65,120,95,,
