0,1,2,3,4,5,6,7,8,9
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,81,31,348,61,262,91,20,121,196
2,59,32,154,62,162,92,301,122,133
3,562,33,261,63,403,93,46,123,28
4,56,34,359,64,31,94,242,124,108
5,91,35,81,65,65,95,92,125,96
6,423,36,202,66,42,96,72,126,99
7,203,37,10,67,87,97,41,127,95
8,53,38,103,68,120,98,107,128,249
9,167,39,177,69,168,99,53,129,131
10,157,40,49,70,115,100,234,130,73
11,150,41,31,71,80,101,86,131,245
12,137,42,75,72,132,102,407,132,311
13,454,43,310,73,195,103,424,133,102
14,63,44,113,74,56,104,406,134,357
15,357,45,300,75,80,105,111,135,396
16,83,46,139,76,106,106,102,136,274
17,95,47,193,77,295,107,569,137,313
18,248,48,102,78,287,108,93,138,331
19,251,49,85,79,190,109,89,139,264
20,146,50,563,80,350,110,161,140,149
21,81,51,133,81,104,111,352,141,47
22,91,52,80,82,297,112,77,142,188
23,113,53,62,83,307,113,125,143,110
24,217,54,77,84,23,114,356,144,136
25,55,55,71,85,179,115,387,,
26,81,56,492,86,205,116,65,,
27,244,57,329,87,160,117,111,,
28,111,58,258,88,105,118,91,,
29,98,59,330,89,571,119,104,,
30,472,60,90,90,270,120,606,,
