0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,
1,77,31,137,61,591,91,489,121,373,151,30,181,65,211,29,241,25,271,25,,,
2,116,32,125,62,73,92,95,122,85,152,400,182,660,212,404,242,308,272,263,,,
3,319,33,79,63,421,93,27,123,550,153,248,183,437,213,140,243,205,273,632,,,
4,337,34,49,64,212,94,577,124,425,154,163,184,86,214,169,244,519,274,114,,,
5,96,35,521,65,85,95,33,125,154,155,272,185,514,215,100,245,418,275,138,,,
6,242,36,310,66,286,96,249,126,55,156,194,186,266,216,75,246,244,276,344,,,
7,153,37,273,67,482,97,384,127,139,157,293,187,188,217,78,247,307,277,118,,,
8,490,38,373,68,285,98,273,128,222,158,87,188,81,218,111,248,367,278,280,,,
9,5,39,306,69,41,99,61,129,595,159,613,189,192,219,290,249,145,279,60,,,
10,692,40,266,70,129,100,323,130,136,160,180,190,423,220,454,250,137,280,238,,,
11,124,41,219,71,379,101,64,131,378,161,97,191,318,221,114,251,86,281,455,,,
12,42,42,33,72,621,102,256,132,198,162,211,192,269,222,81,252,337,282,41,,,
13,372,43,144,73,129,103,123,133,147,163,272,193,138,223,113,253,317,283,263,,,
14,306,44,596,74,85,104,614,134,308,164,180,194,335,224,620,254,120,284,27,,,
15,53,45,171,75,289,105,248,135,315,165,171,195,187,225,226,255,141,285,124,,,
16,95,46,598,76,45,106,174,136,111,166,648,196,113,226,383,256,34,286,157,,,
17,91,47,65,77,263,107,485,137,57,167,150,197,82,227,297,257,614,287,65,,,
18,330,48,104,78,119,108,61,138,450,168,98,198,100,228,351,258,23,288,219,,,
19,62,49,210,79,625,109,180,139,221,169,144,199,187,229,38,259,169,289,161,,,
20,368,50,140,80,179,110,268,140,120,170,97,200,27,230,480,260,511,290,120,,,
21,48,51,45,81,409,111,114,141,-13,171,576,201,98,231,190,261,247,291,601,,,
22,242,52,265,82,607,112,419,142,530,172,129,202,474,232,183,262,564,292,34,,,
23,172,53,93,83,508,113,504,143,203,173,455,203,574,233,82,263,689,293,144,,,
24,211,54,362,84,26,114,66,144,51,174,363,204,301,234,228,264,336,294,627,,,
25,84,55,73,85,145,115,106,145,153,175,51,205,143,235,272,265,10,295,57,,,
26,315,56,124,86,306,116,77,146,189,176,383,206,140,236,115,266,540,296,236,,,
27,190,57,199,87,227,117,142,147,224,177,472,207,100,237,77,267,135,297,289,,,
28,548,58,609,88,75,118,72,148,208,178,192,208,368,238,140,268,269,298,45,,,
29,197,59,160,89,19,119,181,149,145,179,84,209,256,239,191,269,158,299,240,,,
30,116,60,525,90,403,120,199,150,199,180,682,210,671,240,22,270,256,300,594,,,
Centre:,360413,ST,XAVIER,HIGH,SCHOOL,KEDARGOURI,"KHURDHA,",231,KEDARGOURI,ROAD,OLD,TOWN,BHUBANESWAR,"751002,","BHUBANESWAR,",ODISHA,NEET,(UG),2024,Page,No.,2
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,
301,59,331,348,361,227,391,158,421,43,451,509,481,684,511,108,541,70,571,388,,,
302,592,332,225,362,33,392,151,422,110,452,100,482,250,512,297,542,70,572,451,,,
303,245,333,483,363,229,393,251,423,624,453,505,483,59,513,7,543,635,573,9,,,
304,140,334,185,364,179,394,218,424,29,454,695,484,142,514,67,544,370,574,8,,,
305,231,335,466,365,484,395,334,425,88,455,626,485,164,515,409,545,443,575,437,,,
306,112,336,253,366,540,396,35,426,345,456,250,486,63,516,15,546,70,576,285,,,
307,115,337,573,367,160,397,599,427,255,457,105,487,197,517,147,547,249,577,695,,,
308,201,338,471,368,70,398,526,428,339,458,45,488,70,518,73,548,487,578,463,,,
309,144,339,153,369,53,399,85,429,190,459,85,489,156,519,525,549,549,579,55,,,
310,187,340,201,370,302,400,543,430,656,460,176,490,526,520,180,550,385,580,460,,,
311,89,341,139,371,630,401,335,431,431,461,90,491,38,521,600,551,108,581,131,,,
312,328,342,47,372,269,402,120,432,608,462,291,492,467,522,131,552,132,582,340,,,
313,413,343,187,373,461,403,171,433,94,463,167,493,53,523,320,553,532,,,,,
314,94,344,121,374,111,404,81,434,318,464,-14,494,91,524,60,554,542,,,,,
315,329,345,372,375,98,405,474,435,68,465,38,495,162,525,123,555,130,,,,,
316,244,346,124,376,52,406,404,436,480,466,116,496,300,526,88,556,705,,,,,
317,240,347,16,377,656,407,190,437,126,467,110,497,39,527,389,557,307,,,,,
318,37,348,80,378,579,408,324,438,370,468,399,498,123,528,626,558,157,,,,,
319,106,349,440,379,268,409,84,439,239,469,649,499,100,529,220,559,680,,,,,
320,180,350,265,380,143,410,267,440,127,470,136,500,108,530,-5,560,220,,,,,
321,109,351,483,381,155,411,275,441,21,471,66,501,84,531,245,561,502,,,,,
322,214,352,117,382,539,412,83,442,627,472,354,502,335,532,307,562,115,,,,,
323,294,353,594,383,91,413,55,443,155,473,271,503,650,533,213,563,344,,,,,
324,20,354,88,384,170,414,156,444,169,474,590,504,45,534,445,564,216,,,,,
325,180,355,95,385,74,415,303,445,239,475,88,505,606,535,126,565,608,,,,,
326,179,356,283,386,136,416,191,446,197,476,90,506,56,536,697,566,149,,,,,
327,37,357,592,387,367,417,26,447,320,477,339,507,288,537,272,567,98,,,,,
328,123,358,110,388,575,418,410,448,235,478,207,508,584,538,54,568,74,,,,,
329,44,359,268,389,337,419,265,449,597,479,244,509,160,539,493,569,58,,,,,
330,391,360,619,390,254,420,291,450,531,480,349,510,110,540,154,570,174,,,,,
