0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
GAYA,CHANDAUPI,"BIHAR,","GAYA,",BIHAR,,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,
1,79,31,113,61,203,91,135,121,276,151,39,181,51,211,131,241,202,271,200,,,,,,,,
2,195,32,585,62,93,92,37,122,94,152,618,182,41,212,489,242,120,272,17,,,,,,,,
3,65,33,327,63,563,93,295,123,423,153,254,183,58,213,134,243,127,273,71,,,,,,,,
4,407,34,322,64,319,94,80,124,106,154,211,184,163,214,57,244,549,274,700,,,,,,,,
5,567,35,253,65,95,95,317,125,291,155,44,185,586,215,300,245,233,275,-11,,,,,,,,
6,203,36,96,66,23,96,68,126,75,156,83,186,140,216,123,246,381,276,156,,,,,,,,
7,60,37,15,67,375,97,92,127,236,157,188,187,5,217,415,247,244,277,76,,,,,,,,
8,103,38,170,68,303,98,84,128,208,158,129,188,55,218,272,248,127,278,60,,,,,,,,
9,65,39,454,69,89,99,65,129,283,159,82,189,142,219,321,249,563,279,320,,,,,,,,
10,587,40,424,70,284,100,77,130,15,160,687,190,677,220,93,250,416,280,200,,,,,,,,
11,38,41,57,71,147,101,234,131,119,161,136,191,377,221,32,251,105,281,418,,,,,,,,
12,323,42,502,72,45,102,135,132,70,162,324,192,566,222,99,252,20,282,241,,,,,,,,
13,35,43,415,73,40,103,130,133,21,163,46,193,87,223,195,253,160,283,178,,,,,,,,
14,66,44,350,74,188,104,230,134,53,164,291,194,369,224,376,254,198,284,20,,,,,,,,
15,265,45,143,75,384,105,105,135,190,165,116,195,104,225,81,255,167,285,255,,,,,,,,
16,95,46,186,76,544,106,90,136,115,166,59,196,56,226,210,256,152,286,283,,,,,,,,
17,246,47,267,77,47,107,46,137,173,167,191,197,105,227,67,257,339,287,159,,,,,,,,
18,51,48,56,78,64,108,553,138,200,168,454,198,413,228,45,258,284,288,145,,,,,,,,
19,273,49,96,79,68,109,50,139,465,169,545,199,75,229,172,259,41,289,77,,,,,,,,
20,363,50,285,80,70,110,279,140,348,170,570,200,115,230,260,260,199,290,14,,,,,,,,
21,646,51,78,81,54,111,202,141,431,171,141,201,574,231,303,261,442,291,163,,,,,,,,
22,68,52,326,82,99,112,167,142,363,172,170,202,318,232,490,262,144,292,136,,,,,,,,
23,253,53,260,83,475,113,163,143,54,173,84,203,299,233,473,263,164,293,463,,,,,,,,
24,138,54,437,84,162,114,206,144,439,174,109,204,479,234,55,264,447,294,600,,,,,,,,
25,74,55,197,85,218,115,160,145,90,175,240,205,202,235,44,265,517,295,107,,,,,,,,
26,84,56,280,86,349,116,75,146,97,176,56,206,177,236,154,266,63,296,85,,,,,,,,
27,210,57,219,87,225,117,45,147,164,177,23,207,69,237,149,267,127,297,85,,,,,,,,
28,35,58,61,88,65,118,118,148,48,178,274,208,88,238,247,268,43,298,77,,,,,,,,
29,23,59,311,89,256,119,524,149,229,179,23,209,496,239,140,269,226,299,221,,,,,,,,
30,56,60,613,90,151,120,157,150,33,180,47,210,183,240,635,270,618,300,182,,,,,,,,
Centre:,150104,D,P,SARASWATI,VIDYA,MANDIR,KESHAV,NAGAR,GAYA,"BR,",DAYA,PRAKASH,SARASWATI,VIDYA,MANDIR,KESHAV,NAGAR,SOUTH,OF,BRAHMAYONI,HILL,NEET,(UG),2024,Page,No.,2
GAYA,CHANDAUPI,"BIHAR,","GAYA,",BIHAR,,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,
301,33,331,92,361,407,391,30,421,73,451,41,481,104,511,103,541,180,571,419,,,,,,,,
302,78,332,366,362,63,392,108,422,149,452,30,482,108,512,49,542,71,572,265,,,,,,,,
303,81,333,53,363,163,393,115,423,433,453,180,483,61,513,169,543,214,573,154,,,,,,,,
304,53,334,255,364,61,394,620,424,101,454,306,484,172,514,72,544,281,574,61,,,,,,,,
305,268,335,410,365,72,395,201,425,65,455,236,485,278,515,580,545,70,575,120,,,,,,,,
306,6,336,450,366,129,396,430,426,211,456,131,486,73,516,162,546,87,576,213,,,,,,,,
307,80,337,458,367,205,397,500,427,609,457,230,487,19,517,212,547,21,577,105,,,,,,,,
308,126,338,110,368,207,398,100,428,571,458,438,488,146,518,11,548,69,578,235,,,,,,,,
309,29,339,137,369,98,399,46,429,94,459,268,489,56,519,13,549,620,579,150,,,,,,,,
310,143,340,53,370,94,400,195,430,567,460,457,490,113,520,61,550,281,580,53,,,,,,,,
311,174,341,129,371,410,401,44,431,51,461,80,491,121,521,122,551,67,581,197,,,,,,,,
312,335,342,59,372,190,402,133,432,164,462,233,492,20,522,578,552,229,582,174,,,,,,,,
313,91,343,44,373,81,403,133,433,45,463,334,493,85,523,81,553,96,583,72,,,,,,,,
314,79,344,129,374,362,404,73,434,151,464,540,494,94,524,210,554,121,584,345,,,,,,,,
315,102,345,93,375,117,405,52,435,150,465,44,495,199,525,65,555,180,585,456,,,,,,,,
316,354,346,172,376,412,406,145,436,237,466,503,496,259,526,77,556,321,586,87,,,,,,,,
317,59,347,487,377,262,407,82,437,161,467,177,497,142,527,120,557,73,587,419,,,,,,,,
318,49,348,92,378,562,408,231,438,85,468,671,498,288,528,124,558,343,588,127,,,,,,,,
319,164,349,162,379,369,409,70,439,88,469,89,499,491,529,54,559,115,589,113,,,,,,,,
320,94,350,601,380,75,410,543,440,274,470,51,500,132,530,215,560,508,590,313,,,,,,,,
321,50,351,240,381,337,411,81,441,376,471,100,501,604,531,214,561,81,591,194,,,,,,,,
322,76,352,105,382,63,412,279,442,262,472,61,502,522,532,79,562,450,592,126,,,,,,,,
323,91,353,107,383,97,413,77,443,67,473,460,503,16,533,87,563,32,593,150,,,,,,,,
324,144,354,88,384,176,414,275,444,183,474,375,504,297,534,40,564,450,594,151,,,,,,,,
325,188,355,63,385,559,415,116,445,561,475,157,505,74,535,106,565,135,595,41,,,,,,,,
