0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,
1,125,31,83,61,186,91,101,121,66,151,49,181,290,211,83,241,336,271,24,,,,
2,65,32,152,62,263,92,220,122,140,152,70,182,82,212,30,242,140,272,8,,,,
3,11,33,29,63,62,93,193,123,255,153,171,183,20,213,192,243,72,273,358,,,,
4,105,34,81,64,45,94,298,124,47,154,11,184,82,214,119,244,162,274,50,,,,
5,172,35,48,65,165,95,44,125,95,155,60,185,540,215,289,245,26,275,70,,,,
6,414,36,15,66,322,96,54,126,118,156,559,186,354,216,177,246,115,276,34,,,,
7,409,37,97,67,116,97,557,127,195,157,65,187,264,217,16,247,104,277,605,,,,
8,420,38,150,68,40,98,10,128,135,158,175,188,130,218,58,248,65,278,142,,,,
9,155,39,164,69,47,99,49,129,222,159,195,189,66,219,79,249,386,279,9,,,,
10,57,40,453,70,165,100,26,130,447,160,17,190,92,220,340,250,167,280,345,,,,
11,15,41,164,71,35,101,69,131,256,161,531,191,65,221,55,251,105,281,34,,,,
12,52,42,40,72,80,102,62,132,230,162,269,192,331,222,126,252,10,282,113,,,,
13,75,43,86,73,177,103,-20,133,109,163,416,193,147,223,31,253,61,283,58,,,,
14,37,44,195,74,57,104,83,134,404,164,520,194,15,224,69,254,41,284,53,,,,
15,125,45,36,75,-5,105,85,135,50,165,124,195,58,225,40,255,79,285,139,,,,
16,60,46,305,76,66,106,457,136,59,166,-19,196,388,226,134,256,667,286,264,,,,
17,163,47,55,77,439,107,204,137,378,167,258,197,48,227,44,257,366,287,83,,,,
18,130,48,377,78,195,108,55,138,257,168,0,198,256,228,17,258,426,288,84,,,,
19,68,49,256,79,14,109,60,139,438,169,60,199,40,229,93,259,55,289,137,,,,
20,165,50,136,80,130,110,6,140,63,170,5,200,187,230,97,260,76,290,179,,,,
21,25,51,79,81,27,111,72,141,115,171,45,201,57,231,34,261,171,291,50,,,,
22,447,52,294,82,67,112,198,142,268,172,503,202,99,232,117,262,80,292,110,,,,
23,108,53,20,83,55,113,129,143,62,173,393,203,149,233,155,263,212,293,196,,,,
24,587,54,343,84,5,114,68,144,66,174,411,204,375,234,281,264,42,294,42,,,,
25,189,55,81,85,70,115,102,145,645,175,40,205,31,235,34,265,485,295,106,,,,
26,210,56,92,86,69,116,-15,146,80,176,10,206,40,236,20,266,132,296,80,,,,
27,258,57,168,87,141,117,141,147,387,177,110,207,541,237,108,267,185,297,167,,,,
28,49,58,294,88,22,118,85,148,-4,178,95,208,637,238,50,268,321,298,75,,,,
29,311,59,11,89,6,119,75,149,11,179,102,209,55,239,188,269,186,299,19,,,,
30,83,60,102,90,333,120,352,150,76,180,118,210,30,240,176,270,-10,300,135,,,,
Centre:,231202,HINDU,VIDYA,"NIKETAN,",WARD,NO.,"12,",PANDIT,MOHALLA,NEAR,HINDU,HINGH,SCHOOL,NUH,"(MEWAT),","MEWAT,",HARYANA,NEET,(UG),2024,Page,No.,2
Srlno.,Marks,Srlno.,Marks,,,,,,,,,,,,,,,,,,,,
301,45,331,72,,,,,,,,,,,,,,,,,,,,
302,65,332,357,,,,,,,,,,,,,,,,,,,,
303,16,333,299,,,,,,,,,,,,,,,,,,,,
304,308,334,87,,,,,,,,,,,,,,,,,,,,
305,50,335,176,,,,,,,,,,,,,,,,,,,,
306,66,336,141,,,,,,,,,,,,,,,,,,,,
307,23,337,257,,,,,,,,,,,,,,,,,,,,
308,98,338,150,,,,,,,,,,,,,,,,,,,,
309,217,339,77,,,,,,,,,,,,,,,,,,,,
310,60,340,170,,,,,,,,,,,,,,,,,,,,
311,253,341,56,,,,,,,,,,,,,,,,,,,,
312,40,342,57,,,,,,,,,,,,,,,,,,,,
313,104,343,146,,,,,,,,,,,,,,,,,,,,
314,170,344,375,,,,,,,,,,,,,,,,,,,,
315,598,345,138,,,,,,,,,,,,,,,,,,,,
316,100,346,562,,,,,,,,,,,,,,,,,,,,
317,33,347,133,,,,,,,,,,,,,,,,,,,,
318,7,348,136,,,,,,,,,,,,,,,,,,,,
319,75,349,124,,,,,,,,,,,,,,,,,,,,
320,20,350,321,,,,,,,,,,,,,,,,,,,,
321,48,,,,,,,,,,,,,,,,,,,,,,
322,55,,,,,,,,,,,,,,,,,,,,,,
323,95,,,,,,,,,,,,,,,,,,,,,,
324,87,,,,,,,,,,,,,,,,,,,,,,
325,85,,,,,,,,,,,,,,,,,,,,,,
326,225,,,,,,,,,,,,,,,,,,,,,,
327,161,,,,,,,,,,,,,,,,,,,,,,
328,89,,,,,,,,,,,,,,,,,,,,,,
329,87,,,,,,,,,,,,,,,,,,,,,,
330,37,,,,,,,,,,,,,,,,,,,,,,
