0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
TELANGANA,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,358,31,138,61,104,91,495,121,283,151,250,181,76,211,323
2,310,32,29,62,66,92,113,122,123,152,549,182,187,212,93
3,429,33,127,63,220,93,184,123,223,153,638,183,112,213,65
4,40,34,89,64,208,94,331,124,350,154,235,184,75,214,420
5,164,35,189,65,129,95,461,125,105,155,103,185,225,215,64
6,21,36,484,66,-8,96,336,126,80,156,137,186,89,216,208
7,248,37,122,67,131,97,195,127,29,157,339,187,331,217,78
8,313,38,179,68,76,98,99,128,100,158,644,188,601,218,488
9,208,39,64,69,147,99,271,129,295,159,233,189,141,219,187
10,172,40,296,70,210,100,252,130,90,160,127,190,314,220,528
11,253,41,102,71,435,101,261,131,160,161,251,191,131,221,106
12,47,42,81,72,361,102,136,132,407,162,361,192,123,222,558
13,65,43,78,73,189,103,228,133,478,163,45,193,441,223,269
14,117,44,224,74,123,104,178,134,79,164,102,194,382,224,414
15,466,45,135,75,157,105,551,135,191,165,474,195,44,225,90
16,159,46,37,76,315,106,60,136,264,166,556,196,266,226,115
17,204,47,424,77,461,107,243,137,409,167,361,197,160,227,387
18,163,48,475,78,404,108,157,138,79,168,74,198,142,228,307
19,135,49,141,79,169,109,359,139,91,169,369,199,285,229,210
20,485,50,412,80,141,110,379,140,263,170,127,200,154,230,119
21,96,51,116,81,138,111,99,141,165,171,29,201,85,231,286
22,129,52,178,82,29,112,352,142,210,172,33,202,391,232,429
23,221,53,99,83,246,113,53,143,378,173,66,203,667,233,457
24,626,54,576,84,390,114,224,144,103,174,119,204,75,234,368
25,48,55,260,85,139,115,496,145,507,175,257,205,169,235,255
26,20,56,122,86,105,116,34,146,277,176,222,206,187,236,21
27,460,57,53,87,85,117,105,147,339,177,49,207,87,237,83
28,274,58,77,88,185,118,499,148,577,178,212,208,90,238,386
29,381,59,118,89,72,119,423,149,472,179,361,209,70,,
30,297,60,329,90,377,120,199,150,323,180,428,210,266,,
