0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,
1,155,31,264,61,91,91,491,121,95,151,84,181,37,211,109,241,292,271,86,,,,
2,97,32,138,62,265,92,71,122,123,152,78,182,86,212,66,242,100,272,200,,,,
3,144,33,153,63,127,93,179,123,191,153,493,183,163,213,80,243,226,273,485,,,,
4,66,34,170,64,123,94,133,124,105,154,194,184,80,214,89,244,196,274,58,,,,
5,601,35,95,65,397,95,166,125,92,155,150,185,345,215,146,245,131,275,319,,,,
6,55,36,224,66,337,96,284,126,22,156,25,186,150,216,82,246,329,276,112,,,,
7,147,37,209,67,412,97,37,127,70,157,153,187,41,217,118,247,320,277,131,,,,
8,446,38,257,68,91,98,149,128,373,158,130,188,379,218,427,248,127,278,262,,,,
9,559,39,119,69,99,99,491,129,142,159,40,189,91,219,125,249,48,279,197,,,,
10,129,40,145,70,105,100,85,130,222,160,71,190,232,220,151,250,97,280,391,,,,
11,52,41,85,71,101,101,356,131,92,161,115,191,107,221,177,251,56,281,63,,,,
12,81,42,297,72,70,102,264,132,139,162,71,192,177,222,102,252,78,282,308,,,,
13,110,43,80,73,140,103,120,133,170,163,249,193,130,223,53,253,214,283,75,,,,
14,58,44,128,74,131,104,151,134,224,164,436,194,104,224,199,254,370,284,150,,,,
15,172,45,290,75,18,105,289,135,197,165,58,195,61,225,93,255,95,285,103,,,,
16,110,46,109,76,318,106,185,136,40,166,219,196,209,226,164,256,473,286,91,,,,
17,487,47,195,77,45,107,314,137,86,167,60,197,63,227,205,257,35,287,58,,,,
18,42,48,172,78,481,108,62,138,115,168,82,198,493,228,253,258,79,288,169,,,,
19,150,49,191,79,145,109,40,139,106,169,177,199,90,229,34,259,122,289,362,,,,
20,105,50,115,80,98,110,135,140,98,170,651,200,198,230,60,260,455,290,149,,,,
21,69,51,50,81,85,111,110,141,84,171,180,201,264,231,104,261,124,291,195,,,,
22,88,52,402,82,131,112,76,142,76,172,268,202,114,232,76,262,73,292,101,,,,
23,202,53,372,83,374,113,437,143,94,173,123,203,148,233,165,263,22,293,320,,,,
24,83,54,91,84,257,114,140,144,527,174,76,204,127,234,78,264,137,294,281,,,,
25,168,55,101,85,262,115,225,145,145,175,120,205,398,235,71,265,56,295,45,,,,
26,100,56,415,86,120,116,186,146,125,176,341,206,385,236,137,266,48,296,314,,,,
27,147,57,46,87,110,117,286,147,69,177,550,207,86,237,170,267,131,297,151,,,,
28,112,58,39,88,65,118,155,148,75,178,135,208,125,238,148,268,74,298,156,,,,
29,403,59,33,89,35,119,89,149,146,179,238,209,161,239,103,269,274,299,128,,,,
30,36,60,105,90,492,120,250,150,85,180,231,210,70,240,328,270,88,300,131,,,,
Centre:,410212,KIKANI,VIDHYA,"MANDIR,",NO.9,RANGASWAMY,ROAD,R,S,PURAM,NEAR,BROOKE,FIELDS,"SIGNAL,","COIMBATORE,",TAMIL,NADU,NEET,(UG),2024,Page,No.,2
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,,,,,,,,,,,
301,268,331,32,361,193,,,,,,,,,,,,,,,,,,
302,91,332,705,362,181,,,,,,,,,,,,,,,,,,
303,85,333,126,363,315,,,,,,,,,,,,,,,,,,
304,111,334,550,364,88,,,,,,,,,,,,,,,,,,
305,62,335,121,365,271,,,,,,,,,,,,,,,,,,
306,129,336,90,366,191,,,,,,,,,,,,,,,,,,
307,299,337,95,367,319,,,,,,,,,,,,,,,,,,
308,56,338,72,368,87,,,,,,,,,,,,,,,,,,
309,95,339,105,369,141,,,,,,,,,,,,,,,,,,
310,65,340,128,370,358,,,,,,,,,,,,,,,,,,
311,98,341,127,371,102,,,,,,,,,,,,,,,,,,
312,40,342,332,372,125,,,,,,,,,,,,,,,,,,
313,105,343,116,373,171,,,,,,,,,,,,,,,,,,
314,374,344,166,374,429,,,,,,,,,,,,,,,,,,
315,218,345,327,375,162,,,,,,,,,,,,,,,,,,
316,224,346,125,376,133,,,,,,,,,,,,,,,,,,
317,90,347,278,377,150,,,,,,,,,,,,,,,,,,
318,85,348,137,378,143,,,,,,,,,,,,,,,,,,
319,73,349,470,379,61,,,,,,,,,,,,,,,,,,
320,246,350,118,380,40,,,,,,,,,,,,,,,,,,
321,105,351,77,381,56,,,,,,,,,,,,,,,,,,
322,90,352,543,382,44,,,,,,,,,,,,,,,,,,
323,173,353,124,383,71,,,,,,,,,,,,,,,,,,
324,143,354,155,384,59,,,,,,,,,,,,,,,,,,
325,133,355,287,385,110,,,,,,,,,,,,,,,,,,
326,40,356,160,,,,,,,,,,,,,,,,,,,,
327,283,357,140,,,,,,,,,,,,,,,,,,,,
328,111,358,73,,,,,,,,,,,,,,,,,,,,
329,62,359,50,,,,,,,,,,,,,,,,,,,,
330,85,360,172,,,,,,,,,,,,,,,,,,,,
