0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
HARYANA,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,135,31,39,61,112,91,34,121,605,151,616,181,30,211,395,241,95,271,605
2,625,32,70,62,487,92,43,122,106,152,156,182,133,212,73,242,85,272,53
3,126,33,585,63,87,93,411,123,50,153,632,183,314,213,247,243,447,273,76
4,426,34,97,64,14,94,309,124,5,154,90,184,105,214,625,244,88,274,335
5,430,35,7,65,36,95,649,125,626,155,165,185,176,215,177,245,375,275,16
6,63,36,217,66,20,96,56,126,98,156,31,186,116,216,64,246,159,276,182
7,71,37,102,67,97,97,68,127,100,157,25,187,114,217,0,247,94,277,277
8,249,38,167,68,27,98,29,128,366,158,69,188,78,218,49,248,66,278,625
9,517,39,19,69,204,99,308,129,158,159,197,189,42,219,70,249,62,279,527
10,223,40,524,70,85,100,156,130,234,160,34,190,75,220,45,250,85,280,30
11,426,41,54,71,534,101,95,131,80,161,705,191,23,221,65,251,117,281,90
12,395,42,213,72,90,102,64,132,66,162,233,192,442,222,277,252,234,282,606
13,153,43,671,73,35,103,577,133,30,163,657,193,560,223,3,253,254,283,121
14,77,44,72,74,215,104,68,134,74,164,52,194,227,224,101,254,27,284,66
15,200,45,88,75,55,105,53,135,385,165,340,195,310,225,66,255,125,285,243
16,75,46,50,76,101,106,676,136,518,166,461,196,195,226,55,256,112,286,16
17,60,47,140,77,50,107,151,137,12,167,290,197,76,227,229,257,85,287,74
18,190,48,116,78,415,108,60,138,123,168,89,198,83,228,255,258,128,288,165
19,44,49,46,79,284,109,85,139,113,169,55,199,188,229,135,259,71,289,55
20,600,50,154,80,35,110,51,140,165,170,316,200,154,230,11,260,176,290,34
21,62,51,269,81,450,111,345,141,101,171,93,201,395,231,65,261,75,291,349
22,18,52,665,82,115,112,147,142,156,172,100,202,427,232,3,262,15,292,367
23,131,53,185,83,303,113,276,143,208,173,83,203,92,233,163,263,37,293,290
24,60,54,91,84,76,114,553,144,90,174,87,204,278,234,210,264,60,294,327
25,21,55,50,85,64,115,135,145,26,175,111,205,134,235,241,265,484,295,57
26,167,56,394,86,597,116,145,146,333,176,299,206,130,236,99,266,50,296,81
27,80,57,20,87,420,117,371,147,265,177,105,207,146,237,528,267,92,297,64
28,-15,58,149,88,257,118,137,148,38,178,109,208,83,238,451,268,623,,
29,374,59,112,89,56,119,65,149,35,179,275,209,199,239,657,269,80,,
30,257,60,47,90,61,120,530,150,276,180,71,210,303,240,12,270,27,,
