0,1,2,3,4,5,6,7,8,9
"MUMBAI,",MAHARASHTRA,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,450,31,223,61,328,91,156,121,309
2,177,32,644,62,126,92,389,122,402
3,74,33,72,63,100,93,431,123,211
4,177,34,139,64,496,94,37,124,202
5,429,35,645,65,490,95,282,125,127
6,140,36,93,66,301,96,67,126,25
7,40,37,148,67,285,97,402,127,283
8,309,38,105,68,25,98,523,128,40
9,70,39,574,69,49,99,137,129,638
10,283,40,80,70,177,100,60,130,40
11,387,41,82,71,95,101,146,131,246
12,525,42,25,72,127,102,319,132,536
13,265,43,479,73,65,103,601,133,393
14,346,44,544,74,626,104,37,134,59
15,79,45,69,75,455,105,5,,
16,526,46,29,76,225,106,48,,
17,416,47,120,77,567,107,388,,
18,445,48,111,78,660,108,66,,
19,454,49,60,79,172,109,65,,
20,109,50,565,80,134,110,296,,
21,432,51,60,81,682,111,425,,
22,560,52,24,82,206,112,213,,
23,160,53,185,83,615,113,553,,
24,666,54,15,84,565,114,70,,
25,262,55,24,85,69,115,126,,
26,205,56,124,86,18,116,68,,
27,219,57,572,87,198,117,201,,
28,510,58,301,88,62,118,296,,
29,611,59,110,89,100,119,98,,
30,507,60,45,90,223,120,51,,
