0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,
1,154,31,571,61,89,91,558,121,200,151,121,181,149,211,101,241,75,271,114,,
2,213,32,82,62,329,92,221,122,166,152,117,182,107,212,365,242,527,272,203,,
3,194,33,231,63,80,93,113,123,181,153,434,183,67,213,260,243,80,273,390,,
4,541,34,146,64,257,94,376,124,567,154,507,184,105,214,346,244,103,274,398,,
5,130,35,155,65,96,95,183,125,252,155,145,185,140,215,155,245,-9,275,-2,,
6,345,36,139,66,214,96,117,126,279,156,139,186,170,216,637,246,108,276,62,,
7,185,37,77,67,341,97,291,127,142,157,470,187,348,217,65,247,139,277,373,,
8,81,38,192,68,93,98,11,128,373,158,47,188,494,218,569,248,369,278,375,,
9,583,39,209,69,113,99,50,129,64,159,227,189,504,219,261,249,433,279,336,,
10,157,40,251,70,27,100,467,130,133,160,243,190,394,220,516,250,198,280,262,,
11,19,41,92,71,207,101,444,131,103,161,259,191,58,221,164,251,93,281,360,,
12,61,42,30,72,84,102,144,132,45,162,61,192,277,222,291,252,502,282,155,,
13,448,43,171,73,137,103,2,133,71,163,356,193,102,223,57,253,45,283,223,,
14,75,44,390,74,165,104,196,134,104,164,376,194,67,224,87,254,623,284,22,,
15,607,45,457,75,381,105,437,135,556,165,43,195,28,225,352,255,597,285,277,,
16,35,46,70,76,276,106,74,136,104,166,102,196,111,226,9,256,106,286,178,,
17,243,47,61,77,185,107,91,137,56,167,35,197,120,227,251,257,198,287,39,,
18,162,48,93,78,160,108,141,138,393,168,115,198,297,228,124,258,57,288,549,,
19,282,49,123,79,127,109,23,139,121,169,187,199,241,229,232,259,598,289,237,,
20,99,50,21,80,167,110,249,140,465,170,68,200,134,230,8,260,262,290,89,,
21,291,51,280,81,126,111,18,141,267,171,140,201,62,231,107,261,51,291,76,,
22,76,52,92,82,69,112,179,142,49,172,225,202,259,232,115,262,85,292,137,,
23,367,53,154,83,85,113,197,143,192,173,224,203,614,233,60,263,89,293,76,,
24,362,54,58,84,361,114,405,144,113,174,281,204,547,234,287,264,467,294,165,,
25,55,55,95,85,533,115,410,145,55,175,257,205,220,235,255,265,80,295,50,,
26,95,56,59,86,66,116,43,146,563,176,96,206,45,236,567,266,125,296,158,,
27,50,57,223,87,148,117,404,147,224,177,112,207,393,237,295,267,193,297,31,,
28,1,58,150,88,171,118,597,148,104,178,29,208,27,238,301,268,123,298,98,,
29,547,59,67,89,329,119,56,149,240,179,163,209,667,239,112,269,54,299,36,,
30,88,60,220,90,313,120,538,150,297,180,85,210,70,240,62,270,108,300,118,,
Centre:,461407,HOLY,CHILD,B.ED.,"COLLEGE,",NOONBAHI,ROAD,UTTAR,RAMCHANDRAPUR,GHORAPIR,MALDA,"PIN-732101,","MALDA,",WEST,BENGAL,NEET,(UG),2024,Page,No.,2
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,
301,132,331,286,361,59,391,96,421,274,451,87,481,180,511,133,541,157,,,,
302,-41,332,280,362,25,392,598,422,165,452,366,482,525,512,107,542,578,,,,
303,255,333,313,363,257,393,90,423,47,453,90,483,536,513,150,543,363,,,,
304,553,334,165,364,118,394,114,424,86,454,281,484,68,514,84,544,192,,,,
305,60,335,229,365,33,395,26,425,167,455,248,485,45,515,215,545,175,,,,
306,283,336,283,366,505,396,130,426,217,456,356,486,146,516,21,,,,,,
307,163,337,486,367,308,397,299,427,538,457,553,487,163,517,29,,,,,,
308,190,338,160,368,38,398,601,428,272,458,146,488,600,518,82,,,,,,
309,101,339,151,369,92,399,40,429,96,459,105,489,55,519,390,,,,,,
310,105,340,176,370,335,400,67,430,31,460,479,490,540,520,290,,,,,,
311,595,341,178,371,59,401,503,431,277,461,35,491,275,521,291,,,,,,
312,363,342,171,372,90,402,278,432,261,462,308,492,57,522,128,,,,,,
313,71,343,225,373,225,403,178,433,88,463,548,493,386,523,359,,,,,,
314,535,344,81,374,270,404,235,434,58,464,98,494,74,524,305,,,,,,
315,62,345,496,375,103,405,145,435,635,465,130,495,75,525,147,,,,,,
316,223,346,557,376,62,406,105,436,52,466,160,496,78,526,399,,,,,,
317,424,347,249,377,540,407,604,437,248,467,77,497,75,527,495,,,,,,
318,62,348,46,378,57,408,26,438,144,468,441,498,408,528,65,,,,,,
319,402,349,165,379,343,409,263,439,165,469,47,499,496,529,121,,,,,,
320,62,350,470,380,488,410,571,440,61,470,236,500,41,530,477,,,,,,
321,680,351,378,381,649,411,153,441,239,471,85,501,408,531,105,,,,,,
322,179,352,155,382,22,412,86,442,319,472,45,502,74,532,550,,,,,,
323,493,353,500,383,24,413,152,443,119,473,40,503,459,533,545,,,,,,
324,67,354,501,384,167,414,60,444,83,474,86,504,190,534,533,,,,,,
325,275,355,61,385,103,415,78,445,35,475,257,505,204,535,335,,,,,,
326,80,356,270,386,56,416,128,446,46,476,142,506,96,536,153,,,,,,
327,191,357,318,387,174,417,275,447,54,477,162,507,91,537,452,,,,,,
328,51,358,100,388,83,418,104,448,272,478,46,508,103,538,559,,,,,,
329,429,359,110,389,347,419,145,449,37,479,153,509,488,539,177,,,,,,
330,92,360,375,390,55,420,135,450,73,480,254,510,116,540,161,,,,,,
