0,1,2,3,4,5,6,7,8,9,10,11
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,238,31,104,61,128,91,499,121,52,151,360
2,548,32,580,62,121,92,86,122,202,152,79
3,116,33,299,63,67,93,423,123,331,153,75
4,114,34,370,64,285,94,150,124,242,154,76
5,121,35,136,65,334,95,193,125,544,155,122
6,541,36,234,66,268,96,52,126,594,156,329
7,72,37,407,67,338,97,36,127,278,157,35
8,355,38,515,68,320,98,108,128,147,158,225
9,188,39,525,69,581,99,518,129,189,159,453
10,101,40,227,70,163,100,76,130,137,160,569
11,127,41,398,71,463,101,307,131,580,161,205
12,279,42,263,72,18,102,141,132,193,162,519
13,187,43,639,73,77,103,100,133,250,163,267
14,90,44,611,74,101,104,489,134,131,164,360
15,574,45,483,75,331,105,588,135,477,165,361
16,84,46,97,76,645,106,205,136,415,166,396
17,614,47,210,77,102,107,670,137,631,167,576
18,481,48,255,78,162,108,576,138,190,168,14
19,515,49,652,79,255,109,101,139,166,169,315
20,121,50,101,80,228,110,106,140,282,,
21,320,51,84,81,107,111,40,141,629,,
22,646,52,75,82,291,112,123,142,397,,
23,415,53,75,83,255,113,219,143,279,,
24,553,54,74,84,186,114,4,144,600,,
25,131,55,30,85,74,115,349,145,233,,
26,124,56,101,86,55,116,558,146,135,,
27,543,57,53,87,200,117,281,147,76,,
28,161,58,326,88,125,118,122,148,379,,
29,111,59,395,89,115,119,490,149,555,,
30,311,60,119,90,140,120,160,150,90,,
