0,1,2,3,4,5,6,7,8,9
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,163,31,32,61,98,91,63,121,410
2,46,32,76,62,107,92,284,122,26
3,411,33,42,63,20,93,44,123,485
4,416,34,241,64,291,94,99,124,110
5,111,35,131,65,92,95,301,125,153
6,20,36,107,66,192,96,111,126,76
7,-1,37,34,67,55,97,177,127,96
8,133,38,86,68,19,98,403,128,482
9,12,39,88,69,81,99,422,129,109
10,45,40,85,70,334,100,51,130,36
11,94,41,88,71,74,101,109,131,115
12,35,42,65,72,32,102,46,132,95
13,118,43,55,73,200,103,79,133,116
14,240,44,59,74,174,104,46,134,91
15,141,45,83,75,148,105,269,135,103
16,125,46,173,76,207,106,66,136,116
17,112,47,379,77,72,107,27,137,185
18,100,48,105,78,276,108,128,138,133
19,96,49,77,79,141,109,422,139,54
20,135,50,111,80,97,110,69,140,194
21,230,51,83,81,47,111,386,141,54
22,92,52,120,82,104,112,69,142,102
23,224,53,116,83,65,113,27,143,37
24,107,54,52,84,100,114,67,,
25,428,55,190,85,38,115,140,,
26,112,56,111,86,25,116,112,,
27,151,57,486,87,106,117,127,,
28,92,58,123,88,150,118,71,,
29,73,59,37,89,120,119,290,,
30,55,60,394,90,291,120,65,,
