0,1,2,3,4,5,6,7
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,40,31,85,61,42,91,36
2,40,32,45,62,96,92,38
3,16,33,35,63,52,93,23
4,58,34,60,64,25,94,424
5,112,35,37,65,133,95,50
6,60,36,37,66,10,96,27
7,14,37,76,67,102,97,57
8,254,38,26,68,73,98,131
9,123,39,91,69,55,99,30
10,25,40,58,70,55,100,70
11,38,41,65,71,105,101,18
12,91,42,214,72,95,102,92
13,21,43,178,73,66,103,63
14,75,44,24,74,55,,
15,623,45,95,75,554,,
16,61,46,60,76,-10,,
17,79,47,53,77,58,,
18,118,48,65,78,62,,
19,85,49,76,79,356,,
20,83,50,39,80,110,,
21,86,51,342,81,21,,
22,54,52,85,82,60,,
23,38,53,65,83,194,,
24,67,54,60,84,81,,
25,28,55,36,85,395,,
26,148,56,72,86,51,,
27,78,57,33,87,95,,
28,40,58,33,88,44,,
29,85,59,112,89,75,,
30,50,60,422,90,368,,
