0,1,2,3,4,5,6,7,8,9,10,11,12,13
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,36,31,80,61,57,91,76,121,63,151,214,181,134
2,137,32,30,62,25,92,108,122,82,152,85,182,35
3,76,33,289,63,21,93,140,123,395,153,281,183,132
4,47,34,61,64,126,94,69,124,61,154,55,184,260
5,8,35,52,65,57,95,75,125,48,155,70,185,73
6,55,36,245,66,121,96,41,126,59,156,22,186,253
7,13,37,26,67,540,97,60,127,439,157,58,187,60
8,117,38,90,68,65,98,235,128,96,158,110,188,16
9,353,39,139,69,79,99,10,129,35,159,158,189,195
10,40,40,85,70,10,100,80,130,0,160,97,190,33
11,20,41,43,71,100,101,175,131,98,161,110,191,161
12,65,42,49,72,189,102,86,132,276,162,174,192,272
13,142,43,393,73,96,103,378,133,60,163,72,193,100
14,188,44,52,74,57,104,96,134,48,164,40,194,195
15,51,45,180,75,21,105,79,135,65,165,293,195,45
16,149,46,171,76,127,106,100,136,61,166,59,196,79
17,9,47,75,77,111,107,45,137,35,167,60,197,75
18,299,48,21,78,90,108,105,138,37,168,205,198,80
19,67,49,65,79,83,109,45,139,143,169,121,199,124
20,60,50,66,80,209,110,60,140,85,170,75,200,139
21,50,51,482,81,103,111,92,141,40,171,70,201,90
22,243,52,53,82,59,112,65,142,243,172,61,,
23,70,53,139,83,27,113,60,143,17,173,32,,
24,125,54,20,84,433,114,262,144,56,174,137,,
25,62,55,35,85,118,115,166,145,115,175,60,,
26,137,56,24,86,5,116,85,146,42,176,120,,
27,32,57,95,87,105,117,90,147,42,177,98,,
28,50,58,64,88,124,118,60,148,105,178,85,,
29,74,59,148,89,64,119,287,149,281,179,97,,
30,34,60,69,90,42,120,215,150,34,180,195,,
