0,1,2,3,4,5,6,7,8,9
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,526,31,104,61,107,91,133,121,76
2,22,32,553,62,83,92,253,122,469
3,23,33,421,63,242,93,40,123,119
4,130,34,92,64,136,94,320,124,414
5,256,35,356,65,215,95,212,125,60
6,-14,36,619,66,99,96,379,126,121
7,85,37,215,67,107,97,446,127,276
8,93,38,110,68,61,98,217,128,116
9,680,39,106,69,515,99,226,129,179
10,401,40,71,70,62,100,290,130,113
11,386,41,214,71,269,101,139,131,78
12,245,42,412,72,587,102,160,132,87
13,408,43,166,73,72,103,609,133,117
14,412,44,261,74,125,104,191,134,53
15,107,45,77,75,72,105,56,135,110
16,587,46,647,76,57,106,272,136,102
17,51,47,182,77,190,107,152,137,102
18,259,48,233,78,220,108,126,138,175
19,113,49,166,79,472,109,58,,
20,95,50,445,80,47,110,152,,
21,60,51,464,81,382,111,309,,
22,98,52,379,82,66,112,382,,
23,364,53,138,83,215,113,602,,
24,72,54,58,84,122,114,170,,
25,154,55,250,85,94,115,156,,
26,145,56,165,86,40,116,131,,
27,206,57,227,87,141,117,44,,
28,67,58,462,88,322,118,95,,
29,302,59,289,89,136,119,81,,
30,76,60,274,90,108,120,336,,
