0,1,2,3,4,5,6,7
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,69,31,101,61,254,91,155
2,80,32,165,62,49,92,35
3,46,33,94,63,70,93,70
4,35,34,163,64,52,94,45
5,33,35,76,65,563,95,19
6,78,36,244,66,200,,
7,140,37,37,67,172,,
8,73,38,95,68,258,,
9,27,39,55,69,63,,
10,20,40,556,70,98,,
11,538,41,503,71,56,,
12,89,42,180,72,65,,
13,218,43,113,73,85,,
14,619,44,75,74,210,,
15,121,45,224,75,136,,
16,67,46,212,76,31,,
17,45,47,90,77,146,,
18,26,48,255,78,109,,
19,84,49,223,79,239,,
20,679,50,47,80,205,,
21,22,51,55,81,102,,
22,213,52,456,82,237,,
23,82,53,133,83,282,,
24,103,54,82,84,14,,
25,383,55,117,85,187,,
26,70,56,73,86,65,,
27,364,57,273,87,119,,
28,174,58,37,88,46,,
29,113,59,35,89,23,,
30,376,60,187,90,665,,
