0,1,2,3,4,5,6,7
"-571313,","CHAMARAJNAGAR,",KARNATAKA,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,154,31,78,61,355,91,102
2,416,32,100,62,101,92,111
3,91,33,98,63,386,93,517
4,238,34,174,64,70,94,163
5,127,35,182,65,73,95,245
6,136,36,-15,66,110,96,57
7,115,37,135,67,220,97,90
8,63,38,96,68,83,98,289
9,130,39,290,69,52,99,441
10,182,40,54,70,81,100,221
11,50,41,531,71,169,101,325
12,105,42,121,72,90,102,360
13,45,43,25,73,201,103,40
14,127,44,180,74,35,104,595
15,105,45,165,75,45,105,166
16,100,46,113,76,150,106,175
17,516,47,302,77,70,107,84
18,112,48,52,78,251,108,205
19,139,49,231,79,103,,
20,317,50,159,80,117,,
21,162,51,110,81,187,,
22,51,52,196,82,115,,
23,145,53,119,83,32,,
24,80,54,117,84,55,,
25,10,55,75,85,143,,
26,493,56,113,86,66,,
27,311,57,71,87,467,,
28,202,58,41,88,108,,
29,215,59,536,89,96,,
30,117,60,90,90,368,,
