0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
PRADESH,,,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,
1,257,31,-7,61,60,91,361,121,625,151,385,181,433,211,529,241,53,271,239,,,,,
2,96,32,274,62,322,92,0,122,123,152,289,182,77,212,42,242,143,272,207,,,,,
3,158,33,374,63,271,93,24,123,164,153,230,183,48,213,244,243,93,273,178,,,,,
4,112,34,381,64,250,94,622,124,52,154,132,184,60,214,64,244,192,274,487,,,,,
5,91,35,131,65,158,95,496,125,142,155,65,185,84,215,400,245,68,275,176,,,,,
6,208,36,151,66,286,96,147,126,446,156,70,186,437,216,52,246,444,276,179,,,,,
7,58,37,336,67,239,97,337,127,56,157,178,187,197,217,231,247,145,277,369,,,,,
8,368,38,643,68,497,98,84,128,177,158,50,188,285,218,366,248,504,278,628,,,,,
9,332,39,112,69,573,99,120,129,370,159,248,189,111,219,207,249,130,279,329,,,,,
10,289,40,67,70,303,100,97,130,57,160,253,190,201,220,126,250,311,280,111,,,,,
11,103,41,322,71,466,101,217,131,253,161,278,191,93,221,109,251,74,281,196,,,,,
12,133,42,636,72,146,102,41,132,178,162,212,192,136,222,204,252,642,282,213,,,,,
13,109,43,306,73,131,103,126,133,72,163,206,193,416,223,284,253,6,283,677,,,,,
14,48,44,112,74,208,104,398,134,38,164,71,194,117,224,576,254,321,284,73,,,,,
15,20,45,226,75,105,105,131,135,51,165,61,195,35,225,365,255,62,285,315,,,,,
16,166,46,190,76,125,106,493,136,111,166,634,196,77,226,294,256,68,286,171,,,,,
17,377,47,187,77,107,107,396,137,111,167,37,197,608,227,77,257,80,287,207,,,,,
18,44,48,208,78,80,108,161,138,184,168,662,198,72,228,71,258,56,288,86,,,,,
19,235,49,116,79,55,109,95,139,520,169,155,199,67,229,41,259,302,289,457,,,,,
20,123,50,174,80,212,110,252,140,301,170,132,200,44,230,113,260,275,290,229,,,,,
21,375,51,106,81,531,111,65,141,353,171,432,201,142,231,383,261,314,291,101,,,,,
22,465,52,473,82,38,112,417,142,359,172,104,202,99,232,61,262,245,292,67,,,,,
23,260,53,229,83,400,113,94,143,173,173,436,203,293,233,95,263,55,293,134,,,,,
24,401,54,282,84,236,114,293,144,21,174,342,204,81,234,460,264,146,294,64,,,,,
