0,1,2,3,4,5,6,7,8,9
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,260,31,91,61,392,91,371,121,45
2,284,32,325,62,98,92,378,122,325
3,451,33,112,63,260,93,148,123,135
4,479,34,158,64,443,94,515,124,491
5,160,35,35,65,232,95,136,125,157
6,108,36,155,66,389,96,71,126,219
7,354,37,153,67,95,97,155,127,507
8,40,38,85,68,362,98,91,128,154
9,120,39,198,69,146,99,167,129,60
10,315,40,105,70,76,100,146,130,150
11,243,41,109,71,170,101,101,131,82
12,394,42,230,72,153,102,154,132,132
13,145,43,120,73,112,103,56,133,124
14,525,44,100,74,250,104,199,,
15,471,45,73,75,91,105,70,,
16,90,46,134,76,310,106,80,,
17,135,47,98,77,64,107,255,,
18,95,48,98,78,341,108,544,,
19,142,49,212,79,164,109,91,,
20,190,50,294,80,193,110,151,,
21,183,51,216,81,110,111,55,,
22,194,52,220,82,192,112,143,,
23,159,53,65,83,122,113,83,,
24,141,54,105,84,496,114,110,,
25,427,55,373,85,59,115,143,,
26,265,56,296,86,153,116,135,,
27,70,57,137,87,92,117,122,,
28,89,58,236,88,87,118,259,,
29,416,59,135,89,171,119,386,,
30,41,60,255,90,418,120,129,,
