0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
PRADESH,,,,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,
330,72,360,441,390,55,420,226,450,237,480,446,510,96,540,290,570,230,600,447,,,,,,
Centre:,120203,ST.,JOSEPHS,DEGREE,"COLLEGE,",SUNKESULA,ROAD,KURNOOL,NEAR,SIRI,NOBLE,HOSPITAL,OPP,SISTER,STANISLAS,ENLISH,"SCHOOL,","KURNOOL,",ANDHRA,NEET,(UG),2024,Page,No.,3
PRADESH,,,,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,,,,,,,,,,,
601,566,631,87,661,149,691,41,,,,,,,,,,,,,,,,,,
602,460,632,404,662,390,692,194,,,,,,,,,,,,,,,,,,
603,229,633,244,663,482,693,180,,,,,,,,,,,,,,,,,,
604,107,634,8,664,447,694,229,,,,,,,,,,,,,,,,,,
605,285,635,29,665,287,695,277,,,,,,,,,,,,,,,,,,
606,376,636,388,666,352,696,460,,,,,,,,,,,,,,,,,,
607,412,637,113,667,483,697,56,,,,,,,,,,,,,,,,,,
608,203,638,109,668,268,698,419,,,,,,,,,,,,,,,,,,
609,344,639,194,669,79,699,445,,,,,,,,,,,,,,,,,,
610,394,640,67,670,145,700,637,,,,,,,,,,,,,,,,,,
611,55,641,50,671,50,701,165,,,,,,,,,,,,,,,,,,
612,265,642,322,672,277,702,202,,,,,,,,,,,,,,,,,,
613,336,643,314,673,617,703,338,,,,,,,,,,,,,,,,,,
614,227,644,365,674,90,704,324,,,,,,,,,,,,,,,,,,
615,109,645,62,675,76,705,60,,,,,,,,,,,,,,,,,,
616,274,646,79,676,42,706,238,,,,,,,,,,,,,,,,,,
617,302,647,136,677,103,707,198,,,,,,,,,,,,,,,,,,
618,87,648,323,678,196,708,180,,,,,,,,,,,,,,,,,,
619,338,649,222,679,298,,,,,,,,,,,,,,,,,,,,
620,412,650,102,680,559,,,,,,,,,,,,,,,,,,,,
621,140,651,310,681,124,,,,,,,,,,,,,,,,,,,,
622,520,652,306,682,119,,,,,,,,,,,,,,,,,,,,
623,452,653,65,683,236,,,,,,,,,,,,,,,,,,,,
624,100,654,189,684,397,,,,,,,,,,,,,,,,,,,,
625,552,655,371,685,111,,,,,,,,,,,,,,,,,,,,
626,104,656,453,686,70,,,,,,,,,,,,,,,,,,,,
627,177,657,29,687,277,,,,,,,,,,,,,,,,,,,,
628,80,658,343,688,72,,,,,,,,,,,,,,,,,,,,
629,137,659,251,689,140,,,,,,,,,,,,,,,,,,,,
630,148,660,231,690,123,,,,,,,,,,,,,,,,,,,,
