0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,568,31,106,61,206,91,194,121,147,151,233,181,286,211,35,241,36,271,115
2,264,32,105,62,290,92,274,122,130,152,78,182,95,212,37,242,96,272,462
3,244,33,225,63,317,93,90,123,618,153,44,183,41,213,556,243,131,273,120
4,197,34,180,64,58,94,123,124,74,154,129,184,167,214,401,244,439,274,99
5,110,35,62,65,29,95,508,125,635,155,85,185,122,215,150,245,131,275,274
6,324,36,473,66,161,96,124,126,123,156,95,186,56,216,60,246,111,276,26
7,104,37,47,67,100,97,82,127,283,157,38,187,4,217,27,247,215,277,59
8,259,38,127,68,206,98,93,128,50,158,54,188,14,218,241,248,183,278,273
9,561,39,135,69,125,99,31,129,568,159,431,189,357,219,418,249,108,279,181
10,37,40,76,70,645,100,17,130,136,160,87,190,25,220,204,250,67,280,311
11,40,41,100,71,217,101,75,131,191,161,140,191,250,221,126,251,200,281,100
12,374,42,176,72,52,102,569,132,174,162,161,192,130,222,204,252,86,282,285
13,132,43,123,73,145,103,-5,133,148,163,261,193,83,223,98,253,44,283,22
14,441,44,239,74,33,104,32,134,65,164,120,194,176,224,366,254,23,284,75
15,224,45,79,75,33,105,125,135,54,165,160,195,426,225,254,255,206,285,411
16,49,46,73,76,633,106,248,136,73,166,362,196,40,226,395,256,75,286,85
17,60,47,44,77,38,107,284,137,64,167,353,197,101,227,234,257,180,287,170
18,66,48,430,78,84,108,462,138,116,168,92,198,63,228,94,258,180,288,566
19,74,49,150,79,90,109,35,139,338,169,113,199,411,229,115,259,115,289,39
20,38,50,276,80,333,110,48,140,471,170,407,200,85,230,612,260,620,290,429
21,60,51,137,81,185,111,9,141,160,171,264,201,22,231,100,261,105,291,56
22,155,52,227,82,60,112,339,142,169,172,249,202,249,232,154,262,83,292,42
23,85,53,82,83,105,113,165,143,314,173,105,203,68,233,394,263,152,293,359
24,118,54,144,84,92,114,456,144,229,174,29,204,625,234,107,264,281,294,41
25,50,55,44,85,287,115,71,145,101,175,27,205,44,235,46,265,373,295,90
26,74,56,140,86,478,116,87,146,188,176,127,206,146,236,51,266,124,296,68
27,143,57,161,87,91,117,55,147,150,177,265,207,628,237,136,267,101,297,68
28,63,58,363,88,262,118,170,148,93,178,21,208,263,238,39,268,65,298,206
29,70,59,48,89,21,119,144,149,408,179,30,209,117,239,90,269,130,299,251
30,133,60,352,90,212,120,70,150,25,180,100,210,44,240,265,270,71,300,63
Centre:,151903,RM,PUBLIC,"SCHOOL,",AT-,BISHAMBHARPUR,MANJHAGARH,GOPALGANJ,BIHAR,"841427,","GOPALGANJ,",BIHAR,NEET,(UG),2024,Page,No.,2,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
301,427,331,77,361,18,391,425,421,95,451,411,481,579,511,30,541,140,571,200
302,60,332,184,362,119,392,40,422,57,452,278,482,213,512,57,542,142,572,359
303,576,333,205,363,193,393,143,423,307,453,136,483,255,513,353,543,160,573,76
304,120,334,21,364,40,394,143,424,246,454,93,484,51,514,354,544,78,574,201
305,395,335,541,365,52,395,159,425,132,455,180,485,55,515,238,545,276,575,130
306,54,336,141,366,289,396,175,426,61,456,59,486,60,516,99,546,42,576,290
307,186,337,476,367,48,397,62,427,593,457,174,487,145,517,65,547,142,577,229
308,27,338,33,368,585,398,96,428,185,458,290,488,208,518,417,548,127,578,366
309,136,339,82,369,75,399,118,429,129,459,32,489,9,519,418,549,75,579,34
310,25,340,75,370,430,400,545,430,119,460,229,490,124,520,56,550,86,580,56
311,158,341,38,371,410,401,61,431,102,461,36,491,102,521,621,551,364,581,117
312,105,342,163,372,84,402,44,432,78,462,133,492,75,522,115,552,374,582,232
313,224,343,277,373,38,403,428,433,68,463,71,493,501,523,114,553,25,583,532
314,84,344,57,374,27,404,85,434,64,464,116,494,24,524,220,554,43,584,81
315,41,345,164,375,154,405,463,435,128,465,395,495,49,525,134,555,60,585,275
316,12,346,144,376,670,406,67,436,98,466,91,496,77,526,206,556,574,586,340
317,104,347,99,377,112,407,25,437,685,467,189,497,19,527,240,557,54,587,264
318,71,348,198,378,20,408,60,438,43,468,141,498,571,528,124,558,201,588,268
319,50,349,427,379,86,409,118,439,125,469,151,499,181,529,80,559,114,589,3
320,103,350,449,380,243,410,235,440,57,470,124,500,155,530,297,560,511,590,33
321,219,351,196,381,418,411,197,441,33,471,507,501,351,531,221,561,42,591,52
322,127,352,65,382,44,412,152,442,130,472,117,502,143,532,52,562,132,592,-2
