0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
HOSPITAL,"JODHPUR,","JODHPUR,",RAJASTHAN,,,,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,,
1,146,31,168,61,80,91,165,121,285,151,165,181,365,211,368,241,395,271,210,,,,,,,,,
2,86,32,121,62,608,92,268,122,127,152,47,182,253,212,275,242,289,272,171,,,,,,,,,
3,98,33,209,63,446,93,625,123,77,153,80,183,205,213,570,243,76,273,461,,,,,,,,,
4,156,34,390,64,121,94,4,124,91,154,95,184,369,214,417,244,485,274,416,,,,,,,,,
5,194,35,90,65,150,95,478,125,67,155,92,185,650,215,274,245,83,275,527,,,,,,,,,
6,91,36,166,66,334,96,119,126,58,156,407,186,137,216,75,246,57,276,210,,,,,,,,,
7,132,37,94,67,425,97,242,127,58,157,115,187,74,217,221,247,55,277,168,,,,,,,,,
8,297,38,50,68,79,98,116,128,150,158,52,188,589,218,87,248,593,278,618,,,,,,,,,
9,217,39,230,69,63,99,66,129,309,159,366,189,205,219,276,249,73,279,209,,,,,,,,,
10,213,40,294,70,136,100,545,130,574,160,5,190,377,220,214,250,133,280,172,,,,,,,,,
11,117,41,311,71,30,101,110,131,626,161,454,191,192,221,183,251,68,281,318,,,,,,,,,
12,542,42,89,72,105,102,44,132,231,162,275,192,87,222,40,252,72,282,5,,,,,,,,,
13,453,43,65,73,140,103,475,133,82,163,26,193,571,223,95,253,112,283,185,,,,,,,,,
14,21,44,510,74,605,104,76,134,385,164,693,194,195,224,150,254,293,284,295,,,,,,,,,
15,122,45,263,75,116,105,140,135,214,165,494,195,170,225,357,255,183,285,228,,,,,,,,,
16,394,46,69,76,558,106,76,136,506,166,61,196,174,226,180,256,154,286,247,,,,,,,,,
17,142,47,446,77,585,107,323,137,74,167,388,197,81,227,542,257,114,287,375,,,,,,,,,
18,222,48,39,78,240,108,47,138,79,168,139,198,136,228,123,258,292,288,524,,,,,,,,,
19,75,49,438,79,186,109,497,139,73,169,176,199,46,229,497,259,41,289,442,,,,,,,,,
20,212,50,425,80,635,110,551,140,78,170,342,200,68,230,678,260,21,290,605,,,,,,,,,
21,430,51,251,81,146,111,515,141,270,171,447,201,118,231,422,261,365,291,620,,,,,,,,,
22,92,52,85,82,241,112,358,142,49,172,69,202,310,232,136,262,-4,292,108,,,,,,,,,
23,516,53,74,83,280,113,116,143,58,173,97,203,140,233,118,263,193,293,54,,,,,,,,,
24,155,54,69,84,222,114,255,144,260,174,95,204,189,234,192,264,89,294,144,,,,,,,,,
25,83,55,152,85,472,115,125,145,205,175,121,205,25,235,180,265,23,295,595,,,,,,,,,
26,177,56,202,86,89,116,166,146,529,176,67,206,201,236,203,266,185,296,285,,,,,,,,,
27,90,57,59,87,280,117,75,147,111,177,710,207,262,237,35,267,390,297,600,,,,,,,,,
28,424,58,145,88,85,118,221,148,155,178,187,208,631,238,203,268,35,298,390,,,,,,,,,
29,600,59,110,89,79,119,95,149,95,179,109,209,136,239,521,269,186,299,278,,,,,,,,,
30,433,60,274,90,52,120,591,150,97,180,281,210,464,240,41,270,353,300,190,,,,,,,,,
Centre:,390416,MAULANA,AZAD,MUSLIM,TEACHERS,TRAINING,COLLEGE,PAL,LINK,ROAD,KAMLA,NEHRU,NAGAR,(ID:,"C-371,",PAL,LINK,ROAD,KAMLA,NEHRU,NAGAR,K.N.N.,NEET,(UG),2024,Page,No.,2
