0,1,2,3,4,5,6,7,8,9,10,11,12,13
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,40,31,393,61,485,91,11,121,80,151,612,181,298
2,30,32,255,62,2,92,81,122,202,152,342,,
3,660,33,5,63,327,93,210,123,536,153,263,,
4,99,34,47,64,621,94,600,124,273,154,618,,
5,169,35,399,65,62,95,228,125,132,155,74,,
6,71,36,467,66,85,96,171,126,110,156,520,,
7,447,37,190,67,203,97,566,127,158,157,81,,
8,533,38,258,68,411,98,566,128,325,158,138,,
9,92,39,30,69,157,99,97,129,285,159,369,,
10,139,40,188,70,125,100,622,130,357,160,61,,
11,174,41,52,71,120,101,379,131,167,161,181,,
12,202,42,622,72,235,102,444,132,50,162,35,,
13,647,43,345,73,287,103,56,133,100,163,347,,
14,528,44,498,74,536,104,360,134,217,164,25,,
15,141,45,77,75,64,105,158,135,88,165,151,,
16,444,46,314,76,245,106,52,136,49,166,199,,
17,113,47,130,77,344,107,79,137,225,167,605,,
18,361,48,63,78,190,108,450,138,102,168,199,,
19,72,49,85,79,272,109,579,139,409,169,105,,
20,553,50,320,80,72,110,105,140,233,170,55,,
21,268,51,633,81,303,111,75,141,26,171,45,,
22,106,52,178,82,132,112,154,142,134,172,362,,
23,168,53,543,83,630,113,208,143,97,173,517,,
24,95,54,129,84,56,114,61,144,10,174,103,,
25,519,55,79,85,136,115,76,145,134,175,40,,
26,25,56,156,86,353,116,381,146,136,176,181,,
27,212,57,151,87,45,117,0,147,266,177,220,,
28,191,58,396,88,540,118,508,148,275,178,84,,
29,234,59,604,89,230,119,228,149,389,179,-30,,
30,150,60,286,90,543,120,277,150,100,180,84,,
