0,1,2,3,4,5,6,7,8,9
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,89,31,256,61,114,91,28,121,103
2,205,32,129,62,158,92,104,122,86
3,212,33,279,63,272,93,75,123,218
4,50,34,91,64,120,94,136,124,71
5,64,35,414,65,105,95,61,125,79
6,426,36,41,66,119,96,79,126,578
7,42,37,468,67,278,97,214,127,108
8,215,38,88,68,154,98,121,128,530
9,198,39,70,69,27,99,40,129,61
10,108,40,190,70,571,100,189,130,70
11,262,41,215,71,275,101,333,131,169
12,236,42,312,72,139,102,163,132,71
13,309,43,153,73,208,103,148,133,246
14,89,44,190,74,55,104,166,134,97
15,54,45,97,75,20,105,55,135,55
16,36,46,400,76,36,106,62,136,156
17,195,47,83,77,43,107,488,137,123
18,91,48,50,78,122,108,40,138,120
19,51,49,51,79,32,109,246,139,21
20,545,50,209,80,87,110,528,,
21,58,51,120,81,587,111,314,,
22,197,52,162,82,106,112,55,,
23,36,53,85,83,200,113,434,,
24,115,54,280,84,469,114,299,,
25,90,55,137,85,191,115,51,,
26,57,56,292,86,69,116,56,,
27,186,57,160,87,8,117,279,,
28,69,58,27,88,148,118,25,,
29,342,59,60,89,52,119,212,,
30,250,60,60,90,78,120,137,,
