0,1,2,3,4,5,6,7,8,9,10,11,12,13
TELANGANA,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,65,31,115,61,113,91,234,121,575,151,83,181,11
2,22,32,177,62,392,92,71,122,391,152,102,182,175
3,432,33,294,63,60,93,135,123,75,153,34,183,76
4,55,34,70,64,110,94,82,124,358,154,66,184,125
5,119,35,413,65,323,95,94,125,437,155,76,185,97
6,117,36,196,66,26,96,90,126,94,156,482,186,80
7,112,37,392,67,273,97,274,127,161,157,93,187,77
8,455,38,51,68,2,98,70,128,103,158,276,188,244
9,68,39,255,69,120,99,532,129,280,159,70,189,532
10,287,40,390,70,50,100,111,130,230,160,161,190,20
11,29,41,333,71,75,101,317,131,127,161,263,191,266
12,129,42,90,72,92,102,199,132,216,162,170,192,473
13,88,43,189,73,288,103,202,133,140,163,301,193,198
14,60,44,80,74,262,104,134,134,185,164,117,,
15,100,45,410,75,17,105,47,135,85,165,387,,
16,61,46,392,76,511,106,95,136,152,166,486,,
17,230,47,372,77,104,107,78,137,68,167,225,,
18,381,48,331,78,199,108,38,138,90,168,50,,
19,65,49,254,79,239,109,379,139,78,169,125,,
20,379,50,117,80,35,110,75,140,73,170,306,,
21,409,51,45,81,500,111,193,141,20,171,145,,
22,124,52,92,82,44,112,92,142,404,172,121,,
23,265,53,91,83,100,113,178,143,247,173,50,,
24,131,54,265,84,68,114,414,144,42,174,490,,
25,548,55,37,85,426,115,465,145,79,175,286,,
26,10,56,349,86,382,116,145,146,113,176,396,,
27,80,57,541,87,87,117,150,147,95,177,106,,
28,190,58,305,88,74,118,35,148,45,178,236,,
29,140,59,144,89,459,119,415,149,136,179,68,,
30,80,60,220,90,267,120,374,150,48,180,275,,
