0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
"THRISSUR,",KERALA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,,,,,,,,,,,
316,137,346,670,376,50,406,334,436,334,466,142,496,284,526,210,556,198,,,,,,,,,,,,,,,,,,,,
317,350,347,425,377,295,407,459,437,442,467,160,497,254,527,149,557,30,,,,,,,,,,,,,,,,,,,,
318,564,348,145,378,95,408,145,438,130,468,628,498,422,528,606,558,196,,,,,,,,,,,,,,,,,,,,
319,145,349,635,379,305,409,141,439,127,469,464,499,328,529,662,559,147,,,,,,,,,,,,,,,,,,,,
320,449,350,208,380,383,410,520,440,112,470,336,500,253,530,238,560,140,,,,,,,,,,,,,,,,,,,,
321,182,351,16,381,182,411,120,441,131,471,515,501,419,531,548,561,40,,,,,,,,,,,,,,,,,,,,
322,318,352,220,382,125,412,68,442,131,472,82,502,111,532,226,562,233,,,,,,,,,,,,,,,,,,,,
323,59,353,676,383,291,413,424,443,115,473,214,503,93,533,217,563,522,,,,,,,,,,,,,,,,,,,,
324,275,354,434,384,242,414,442,444,155,474,111,504,383,534,331,564,422,,,,,,,,,,,,,,,,,,,,
325,332,355,233,385,179,415,210,445,56,475,111,505,281,535,113,565,365,,,,,,,,,,,,,,,,,,,,
326,160,356,235,386,349,416,280,446,175,476,243,506,40,536,52,566,53,,,,,,,,,,,,,,,,,,,,
327,152,357,138,387,361,417,193,447,373,477,24,507,220,537,263,567,25,,,,,,,,,,,,,,,,,,,,
328,192,358,245,388,133,418,147,448,482,478,104,508,315,538,413,568,142,,,,,,,,,,,,,,,,,,,,
329,61,359,140,389,118,419,665,449,105,479,157,509,448,539,189,569,135,,,,,,,,,,,,,,,,,,,,
330,135,360,215,390,126,420,45,450,298,480,498,510,62,540,240,570,633,,,,,,,,,,,,,,,,,,,,
