0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,
1,286,31,463,61,231,91,347,121,129,151,45,181,255,211,160,241,300,271,85,,,,
2,134,32,107,62,220,92,30,122,130,152,318,182,343,212,55,242,22,272,79,,,,
3,45,33,82,63,1,93,395,123,145,153,245,183,515,213,138,243,120,273,282,,,,
4,120,34,76,64,155,94,50,124,110,154,499,184,235,214,363,244,80,274,30,,,,
5,67,35,575,65,80,95,115,125,75,155,640,185,58,215,582,245,71,275,228,,,,
6,135,36,115,66,470,96,77,126,179,156,93,186,80,216,-5,246,209,276,142,,,,
7,73,37,179,67,160,97,85,127,305,157,368,187,150,217,534,247,492,277,76,,,,
8,346,38,296,68,221,98,200,128,88,158,453,188,433,218,569,248,142,278,179,,,,
9,-2,39,153,69,131,99,185,129,160,159,204,189,310,219,93,249,75,279,40,,,,
10,91,40,421,70,4,100,390,130,39,160,363,190,524,220,91,250,508,280,65,,,,
11,161,41,135,71,247,101,328,131,99,161,93,191,67,221,261,251,75,281,81,,,,
12,596,42,140,72,120,102,176,132,542,162,50,192,201,222,333,252,309,282,429,,,,
13,182,43,41,73,337,103,476,133,291,163,320,193,408,223,71,253,316,283,156,,,,
14,200,44,80,74,89,104,137,134,399,164,590,194,673,224,391,254,76,284,316,,,,
15,374,45,373,75,213,105,356,135,390,165,338,195,105,225,135,255,545,285,423,,,,
16,428,46,94,76,534,106,236,136,134,166,405,196,101,226,30,256,508,286,405,,,,
17,313,47,190,77,112,107,98,137,267,167,167,197,180,227,544,257,359,287,188,,,,
18,565,48,77,78,492,108,276,138,178,168,545,198,122,228,171,258,564,288,114,,,,
19,394,49,113,79,338,109,671,139,593,169,97,199,146,229,444,259,174,289,283,,,,
20,178,50,231,80,55,110,355,140,139,170,149,200,315,230,297,260,117,290,99,,,,
21,204,51,76,81,463,111,361,141,125,171,60,201,218,231,-25,261,399,291,295,,,,
22,303,52,636,82,580,112,75,142,83,172,324,202,304,232,67,262,537,292,430,,,,
23,183,53,157,83,109,113,348,143,77,173,614,203,126,233,130,263,606,293,65,,,,
24,114,54,121,84,421,114,206,144,114,174,195,204,393,234,260,264,588,294,27,,,,
25,401,55,224,85,571,115,67,145,176,175,176,205,91,235,222,265,230,295,112,,,,
26,95,56,414,86,318,116,651,146,296,176,243,206,124,236,223,266,97,296,138,,,,
27,284,57,177,87,154,117,166,147,202,177,550,207,364,237,110,267,552,297,340,,,,
28,241,58,241,88,432,118,415,148,487,178,158,208,50,238,367,268,153,298,87,,,,
29,253,59,283,89,242,119,681,149,177,179,355,209,175,239,142,269,165,299,308,,,,
30,436,60,465,90,292,120,44,150,487,180,227,210,142,240,37,270,18,300,407,,,,
Centre:,300210,KENDRIYA,VIDYALAYA,AG,NO.V,"GWALIOR,",KENDRIYA,VIDYALAYA,NO.,5,SHASTRI,NAGAR,GWALIOR,"474011,","GWALIOR,",MADHYA,PRADESH,NEET,(UG),2024,Page,No.,2
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,,,,,
301,204,331,79,361,45,391,245,421,532,451,46,,,,,,,,,,,,
302,205,332,421,362,74,392,204,422,94,452,523,,,,,,,,,,,,
303,164,333,380,363,572,393,-20,423,152,453,98,,,,,,,,,,,,
304,163,334,258,364,241,394,511,424,109,454,234,,,,,,,,,,,,
305,75,335,279,365,635,395,190,425,461,455,165,,,,,,,,,,,,
306,15,336,129,366,311,396,94,426,181,456,480,,,,,,,,,,,,
307,238,337,437,367,357,397,190,427,66,457,33,,,,,,,,,,,,
308,91,338,197,368,617,398,213,428,234,458,418,,,,,,,,,,,,
309,38,339,272,369,48,399,98,429,316,459,96,,,,,,,,,,,,
310,331,340,158,370,371,400,428,430,191,460,405,,,,,,,,,,,,
311,230,341,294,371,468,401,136,431,82,461,162,,,,,,,,,,,,
312,32,342,315,372,558,402,496,432,242,462,559,,,,,,,,,,,,
313,487,343,149,373,134,403,143,433,247,463,593,,,,,,,,,,,,
314,154,344,147,374,118,404,215,434,388,464,76,,,,,,,,,,,,
315,382,345,249,375,640,405,116,435,580,465,153,,,,,,,,,,,,
316,157,346,60,376,164,406,156,436,67,466,267,,,,,,,,,,,,
317,485,347,371,377,448,407,620,437,198,467,46,,,,,,,,,,,,
318,192,348,70,378,16,408,123,438,465,468,87,,,,,,,,,,,,
319,310,349,510,379,220,409,241,439,700,469,71,,,,,,,,,,,,
320,350,350,243,380,405,410,98,440,258,470,85,,,,,,,,,,,,
321,211,351,583,381,176,411,395,441,427,471,106,,,,,,,,,,,,
322,40,352,138,382,158,412,441,442,251,472,339,,,,,,,,,,,,
323,47,353,105,383,141,413,131,443,446,,,,,,,,,,,,,,
324,93,354,173,384,428,414,225,444,603,,,,,,,,,,,,,,
325,558,355,50,385,357,415,513,445,143,,,,,,,,,,,,,,
326,176,356,222,386,290,416,18,446,564,,,,,,,,,,,,,,
327,501,357,19,387,154,417,190,447,357,,,,,,,,,,,,,,
328,144,358,38,388,575,418,292,448,318,,,,,,,,,,,,,,
329,322,359,363,389,233,419,123,449,307,,,,,,,,,,,,,,
330,95,360,302,390,105,420,155,450,223,,,,,,,,,,,,,,
