0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
"VARANASI,",UTTAR,PRADESH,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,
1,106,31,114,61,174,91,640,121,98,151,173,181,57,211,90,241,207,271,130,,,
2,220,32,313,62,215,92,183,122,614,152,586,182,242,212,22,242,289,272,627,,,
3,235,33,90,63,109,93,104,123,45,153,377,183,195,213,181,243,57,273,175,,,
4,476,34,316,64,202,94,533,124,374,154,130,184,340,214,255,244,73,274,578,,,
5,15,35,232,65,273,95,292,125,466,155,197,185,65,215,13,245,623,275,194,,,
6,318,36,108,66,116,96,103,126,381,156,164,186,243,216,206,246,111,276,17,,,
7,32,37,17,67,85,97,80,127,562,157,132,187,211,217,645,247,354,277,62,,,
8,315,38,143,68,665,98,242,128,472,158,385,188,91,218,359,248,213,278,156,,,
9,337,39,590,69,604,99,120,129,45,159,82,189,350,219,125,249,564,279,106,,,
10,265,40,105,70,106,100,218,130,394,160,219,190,166,220,75,250,66,280,660,,,
11,335,41,147,71,131,101,205,131,369,161,209,191,127,221,19,251,95,281,146,,,
12,291,42,145,72,55,102,630,132,18,162,97,192,177,222,626,252,262,282,-40,,,
13,66,43,197,73,554,103,605,133,480,163,323,193,296,223,251,253,400,283,230,,,
14,147,44,118,74,308,104,189,134,177,164,123,194,126,224,70,254,402,284,189,,,
15,423,45,118,75,162,105,231,135,70,165,249,195,398,225,22,255,89,285,244,,,
16,79,46,279,76,145,106,120,136,44,166,103,196,179,226,244,256,295,286,334,,,
17,519,47,454,77,75,107,362,137,188,167,463,197,218,227,142,257,120,287,484,,,
18,354,48,201,78,247,108,31,138,89,168,205,198,75,228,191,258,76,288,174,,,
19,106,49,238,79,66,109,162,139,603,169,110,199,199,229,170,259,119,289,646,,,
20,215,50,218,80,28,110,280,140,530,170,70,200,323,230,630,260,622,290,165,,,
21,690,51,234,81,495,111,65,141,251,171,185,201,465,231,351,261,118,291,476,,,
22,368,52,136,82,217,112,88,142,69,172,214,202,154,232,155,262,153,292,215,,,
23,126,53,266,83,408,113,143,143,61,173,217,203,154,233,198,263,286,293,449,,,
24,60,54,175,84,549,114,92,144,188,174,47,204,197,234,206,264,523,294,65,,,
25,439,55,529,85,321,115,63,145,245,175,452,205,53,235,47,265,37,295,480,,,
26,173,56,565,86,137,116,238,146,160,176,380,206,250,236,537,266,358,296,288,,,
27,216,57,131,87,82,117,226,147,130,177,691,207,247,237,180,267,261,297,143,,,
28,148,58,296,88,552,118,132,148,575,178,632,208,598,238,160,268,96,298,333,,,
29,72,59,31,89,192,119,146,149,67,179,204,209,326,239,43,269,439,299,214,,,
30,218,60,260,90,379,120,29,150,144,180,75,210,260,240,69,270,452,300,219,,,
Centre:,441102,ASHOKA,INSTITUTE,OF,TECHNOLOGY,&,"MANAGEMENT,",ASHOKA,ENGINEERING,CHAURAHA,PAHARIA,SARNATH,NEAR,HOTEL,SURABHI,"INTERNATIONAL,",NEET,(UG),2024,Page,No.,2
"VARANASI,",UTTAR,PRADESH,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,
301,174,331,182,361,535,391,98,421,183,451,165,481,506,511,233,541,52,571,420,,,
302,428,332,47,362,137,392,118,422,536,452,287,482,117,512,51,542,53,572,569,,,
303,113,333,275,363,242,393,231,423,95,453,361,483,402,513,205,543,30,573,120,,,
304,410,334,226,364,266,394,268,424,26,454,79,484,204,514,351,544,124,574,-3,,,
305,92,335,657,365,206,395,423,425,329,455,60,485,157,515,439,545,499,575,134,,,
306,502,336,78,366,136,396,130,426,530,456,157,486,9,516,107,546,166,576,208,,,
307,75,337,110,367,97,397,164,427,681,457,255,487,24,517,303,547,125,577,331,,,
308,209,338,555,368,526,398,120,428,174,458,223,488,316,518,113,548,75,578,86,,,
309,206,339,439,369,366,399,66,429,300,459,250,489,152,519,523,549,188,579,152,,,
310,137,340,517,370,203,400,116,430,254,460,97,490,399,520,66,550,274,580,555,,,
311,122,341,482,371,205,401,343,431,-15,461,374,491,299,521,95,551,668,581,466,,,
312,36,342,375,372,251,402,257,432,189,462,152,492,212,522,306,552,493,582,362,,,
313,98,343,64,373,64,403,318,433,149,463,84,493,70,523,280,553,269,583,99,,,
314,294,344,71,374,65,404,90,434,398,464,189,494,102,524,272,554,91,584,85,,,
315,131,345,406,375,243,405,448,435,195,465,305,495,193,525,508,555,223,585,35,,,
316,123,346,77,376,79,406,579,436,286,466,230,496,126,526,410,556,120,586,690,,,
