0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
"COLLEGE,","KARIMNAGAR,",TELANGANA,,,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,
1,101,31,101,61,239,91,277,121,135,151,118,181,105,211,54,241,263,271,362,,,,,,,
2,38,32,423,62,39,92,351,122,272,152,338,182,328,212,244,242,210,272,62,,,,,,,
3,107,33,463,63,51,93,124,123,185,153,398,183,339,213,146,243,160,273,124,,,,,,,
4,170,34,276,64,-10,94,297,124,68,154,410,184,64,214,52,244,102,274,123,,,,,,,
5,91,35,272,65,104,95,76,125,180,155,54,185,148,215,326,245,56,275,29,,,,,,,
6,247,36,108,66,306,96,47,126,51,156,307,186,139,216,91,246,45,276,72,,,,,,,
7,120,37,80,67,545,97,155,127,165,157,347,187,613,217,331,247,79,277,281,,,,,,,
8,436,38,377,68,253,98,45,128,568,158,339,188,288,218,65,248,334,278,199,,,,,,,
9,175,39,64,69,166,99,74,129,212,159,310,189,74,219,105,249,84,279,355,,,,,,,
10,483,40,250,70,324,100,83,130,125,160,125,190,313,220,27,250,105,280,373,,,,,,,
11,469,41,380,71,387,101,360,131,96,161,0,191,19,221,163,251,114,281,48,,,,,,,
12,191,42,185,72,45,102,265,132,362,162,106,192,142,222,85,252,173,282,134,,,,,,,
13,130,43,30,73,188,103,37,133,55,163,486,193,117,223,45,253,94,283,52,,,,,,,
14,30,44,166,74,371,104,138,134,311,164,64,194,442,224,273,254,444,284,67,,,,,,,
15,522,45,196,75,315,105,18,135,286,165,40,195,140,225,154,255,252,285,59,,,,,,,
16,316,46,51,76,84,106,109,136,65,166,155,196,174,226,59,256,260,286,142,,,,,,,
17,66,47,506,77,188,107,212,137,405,167,129,197,150,227,67,257,279,287,244,,,,,,,
18,300,48,62,78,77,108,121,138,174,168,236,198,359,228,73,258,188,288,180,,,,,,,
19,484,49,38,79,299,109,28,139,323,169,105,199,145,229,65,259,114,289,350,,,,,,,
20,60,50,246,80,350,110,55,140,55,170,279,200,70,230,269,260,66,290,212,,,,,,,
21,245,51,453,81,248,111,347,141,65,171,114,201,100,231,225,261,274,291,47,,,,,,,
22,243,52,61,82,311,112,438,142,358,172,65,202,290,232,125,262,472,292,352,,,,,,,
23,110,53,343,83,242,113,131,143,419,173,157,203,175,233,551,263,566,293,35,,,,,,,
24,81,54,364,84,71,114,138,144,240,174,80,204,635,234,30,264,395,294,188,,,,,,,
25,198,55,236,85,46,115,301,145,127,175,484,205,163,235,86,265,282,295,103,,,,,,,
26,265,56,41,86,230,116,90,146,90,176,564,206,85,236,93,266,5,296,176,,,,,,,
27,139,57,8,87,310,117,349,147,74,177,93,207,52,237,259,267,219,297,162,,,,,,,
