0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,
1,195,31,70,61,261,91,90,121,636,151,497,181,380,211,13,241,137,271,356,,,,,
2,56,32,311,62,75,92,202,122,596,152,94,182,436,212,45,242,310,272,216,,,,,
3,560,33,55,63,393,93,383,123,102,153,36,183,127,213,392,243,227,273,96,,,,,
4,140,34,122,64,253,94,99,124,105,154,186,184,206,214,160,244,205,274,50,,,,,
5,102,35,632,65,162,95,76,125,124,155,415,185,457,215,-13,245,55,275,229,,,,,
6,76,36,225,66,239,96,99,126,75,156,45,186,155,216,114,246,370,276,166,,,,,
7,166,37,68,67,480,97,95,127,280,157,203,187,583,217,252,247,400,277,203,,,,,
8,56,38,110,68,50,98,31,128,89,158,104,188,46,218,257,248,181,278,122,,,,,
9,36,39,232,69,100,99,151,129,60,159,584,189,162,219,250,249,42,279,63,,,,,
10,176,40,90,70,35,100,49,130,310,160,21,190,648,220,523,250,67,280,407,,,,,
11,221,41,451,71,87,101,244,131,100,161,55,191,123,221,329,251,105,281,212,,,,,
12,290,42,255,72,79,102,4,132,417,162,187,192,407,222,458,252,150,282,58,,,,,
13,140,43,130,73,66,103,115,133,589,163,106,193,145,223,82,253,120,283,612,,,,,
14,148,44,22,74,502,104,173,134,65,164,601,194,245,224,479,254,64,284,100,,,,,
15,130,45,182,75,217,105,154,135,210,165,278,195,148,225,231,255,105,285,115,,,,,
16,18,46,363,76,376,106,105,136,110,166,89,196,79,226,109,256,323,286,73,,,,,
17,278,47,195,77,116,107,190,137,220,167,122,197,570,227,94,257,192,287,101,,,,,
18,25,48,316,78,346,108,606,138,119,168,200,198,220,228,565,258,115,288,218,,,,,
19,616,49,310,79,99,109,71,139,130,169,328,199,154,229,114,259,296,289,237,,,,,
20,120,50,118,80,280,110,400,140,355,170,55,200,441,230,290,260,111,290,376,,,,,
21,115,51,216,81,201,111,175,141,313,171,46,201,149,231,159,261,142,291,41,,,,,
22,490,52,336,82,169,112,156,142,150,172,541,202,102,232,127,262,705,292,238,,,,,
23,257,53,210,83,223,113,78,143,232,173,124,203,85,233,393,263,146,293,112,,,,,
24,265,54,371,84,375,114,175,144,285,174,77,204,245,234,433,264,244,294,283,,,,,
25,46,55,114,85,460,115,105,145,165,175,36,205,260,235,99,265,322,295,52,,,,,
26,111,56,130,86,316,116,110,146,172,176,84,206,5,236,320,266,212,296,93,,,,,
27,105,57,160,87,-4,117,292,147,131,177,77,207,231,237,235,267,429,297,495,,,,,
28,413,58,22,88,41,118,63,148,1,178,552,208,163,238,223,268,467,298,129,,,,,
29,108,59,84,89,12,119,55,149,144,179,123,209,254,239,75,269,248,299,317,,,,,
30,207,60,234,90,137,120,202,150,83,180,-25,210,389,240,84,270,235,300,58,,,,,
Centre:,442905,AZAD,PUBLIC,"SCHOOL,",AZAD,PUBLIC,"SCHOOL,",VILL.,"SUNHERA,",AZAD,"NAGAR,KHURJA","ROAD,",BULANDSHAHR,UP,"203001,","BULANDSHAHR,",UTTAR,PRADESH,NEET,(UG),2024,Page,No.,2
Srlno.,Marks,Srlno.,Marks,,,,,,,,,,,,,,,,,,,,,
301,75,331,161,,,,,,,,,,,,,,,,,,,,,
302,130,332,208,,,,,,,,,,,,,,,,,,,,,
303,164,333,133,,,,,,,,,,,,,,,,,,,,,
304,261,334,330,,,,,,,,,,,,,,,,,,,,,
305,334,335,123,,,,,,,,,,,,,,,,,,,,,
306,137,336,115,,,,,,,,,,,,,,,,,,,,,
307,63,337,113,,,,,,,,,,,,,,,,,,,,,
308,126,338,410,,,,,,,,,,,,,,,,,,,,,
309,166,339,118,,,,,,,,,,,,,,,,,,,,,
310,69,340,220,,,,,,,,,,,,,,,,,,,,,
311,417,341,83,,,,,,,,,,,,,,,,,,,,,
312,106,342,165,,,,,,,,,,,,,,,,,,,,,
313,375,343,324,,,,,,,,,,,,,,,,,,,,,
314,351,344,40,,,,,,,,,,,,,,,,,,,,,
315,224,345,451,,,,,,,,,,,,,,,,,,,,,
316,185,346,124,,,,,,,,,,,,,,,,,,,,,
317,487,347,162,,,,,,,,,,,,,,,,,,,,,
318,98,348,150,,,,,,,,,,,,,,,,,,,,,
319,57,349,90,,,,,,,,,,,,,,,,,,,,,
320,284,350,246,,,,,,,,,,,,,,,,,,,,,
321,61,351,163,,,,,,,,,,,,,,,,,,,,,
322,419,352,509,,,,,,,,,,,,,,,,,,,,,
323,305,353,189,,,,,,,,,,,,,,,,,,,,,
324,613,354,75,,,,,,,,,,,,,,,,,,,,,
325,332,355,61,,,,,,,,,,,,,,,,,,,,,
326,72,356,202,,,,,,,,,,,,,,,,,,,,,
327,40,,,,,,,,,,,,,,,,,,,,,,,
328,584,,,,,,,,,,,,,,,,,,,,,,,
329,198,,,,,,,,,,,,,,,,,,,,,,,
330,628,,,,,,,,,,,,,,,,,,,,,,,
