0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,,,,
1,335,31,174,61,231,91,511,121,232,151,90,181,43,211,299,241,186,271,338,,,,,,,,,,,
2,70,32,210,62,163,92,141,122,75,152,190,182,248,212,366,242,450,272,175,,,,,,,,,,,
3,281,33,301,63,372,93,70,123,87,153,184,183,130,213,577,243,522,273,97,,,,,,,,,,,
4,372,34,222,64,78,94,61,124,321,154,175,184,105,214,563,244,74,274,270,,,,,,,,,,,
5,258,35,164,65,669,95,430,125,490,155,492,185,97,215,665,245,137,275,638,,,,,,,,,,,
6,590,36,402,66,505,96,131,126,179,156,208,186,345,216,123,246,423,276,320,,,,,,,,,,,
7,165,37,90,67,294,97,142,127,145,157,75,187,531,217,96,247,106,277,232,,,,,,,,,,,
8,24,38,159,68,141,98,212,128,197,158,123,188,293,218,199,248,102,278,318,,,,,,,,,,,
9,110,39,246,69,197,99,487,129,215,159,254,189,192,219,75,249,176,279,310,,,,,,,,,,,
10,135,40,40,70,29,100,229,130,539,160,479,190,183,220,52,250,66,280,430,,,,,,,,,,,
11,306,41,36,71,465,101,125,131,271,161,44,191,483,221,192,251,135,281,62,,,,,,,,,,,
12,280,42,333,72,553,102,141,132,168,162,217,192,63,222,352,252,311,282,148,,,,,,,,,,,
13,385,43,35,73,607,103,262,133,371,163,313,193,179,223,230,253,57,283,220,,,,,,,,,,,
14,627,44,89,74,121,104,227,134,336,164,159,194,29,224,182,254,128,284,93,,,,,,,,,,,
15,-3,45,275,75,115,105,308,135,255,165,185,195,162,225,159,255,123,285,114,,,,,,,,,,,
16,31,46,89,76,410,106,174,136,178,166,157,196,219,226,60,256,266,286,159,,,,,,,,,,,
17,251,47,228,77,79,107,281,137,288,167,142,197,85,227,77,257,18,287,333,,,,,,,,,,,
18,130,48,280,78,95,108,275,138,164,168,169,198,50,228,211,258,503,288,292,,,,,,,,,,,
19,120,49,284,79,611,109,274,139,626,169,81,199,75,229,304,259,302,289,131,,,,,,,,,,,
20,148,50,115,80,44,110,179,140,323,170,199,200,102,230,628,260,294,290,248,,,,,,,,,,,
21,388,51,330,81,385,111,458,141,231,171,176,201,75,231,429,261,201,291,102,,,,,,,,,,,
22,63,52,205,82,352,112,133,142,50,172,246,202,186,232,350,262,299,292,546,,,,,,,,,,,
23,306,53,40,83,26,113,159,143,196,173,99,203,562,233,105,263,420,293,194,,,,,,,,,,,
24,343,54,110,84,457,114,157,144,139,174,190,204,92,234,479,264,111,294,242,,,,,,,,,,,
25,305,55,284,85,290,115,62,145,26,175,77,205,212,235,416,265,153,295,198,,,,,,,,,,,
26,576,56,199,86,453,116,523,146,365,176,158,206,60,236,270,266,144,296,188,,,,,,,,,,,
27,500,57,70,87,130,117,86,147,130,177,5,207,356,237,201,267,419,297,141,,,,,,,,,,,
28,72,58,603,88,466,118,250,148,146,178,636,208,40,238,155,268,56,298,560,,,,,,,,,,,
29,179,59,232,89,159,119,66,149,295,179,78,209,157,239,436,269,116,299,271,,,,,,,,,,,
30,620,60,-4,90,43,120,514,150,379,180,459,210,209,240,118,270,86,300,106,,,,,,,,,,,
Centre:,281006,M,T,I,CEN,SCH,POTTACHIRA,NELLAYA,PO,PALAGHAT,"KL,",M,T,I,CENTRAL,SCHOOL,POTTACHIRA,NELLAYA,PO,PALAKKAD,DIST,"KERALA,","PALAKKAD,",KERALA,NEET,(UG),2024,Page,No.,2
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,,,,,,,,,,,,
301,134,331,72,361,116,391,57,421,340,451,81,,,,,,,,,,,,,,,,,,,
302,53,332,206,362,227,392,85,422,125,452,125,,,,,,,,,,,,,,,,,,,
303,91,333,75,363,292,393,90,423,477,453,160,,,,,,,,,,,,,,,,,,,
304,530,334,306,364,140,394,95,424,125,454,343,,,,,,,,,,,,,,,,,,,
305,86,335,329,365,72,395,151,425,168,455,294,,,,,,,,,,,,,,,,,,,
306,267,336,376,366,102,396,556,426,580,456,151,,,,,,,,,,,,,,,,,,,
307,140,337,299,367,640,397,40,427,593,457,268,,,,,,,,,,,,,,,,,,,
308,431,338,147,368,233,398,80,428,495,458,66,,,,,,,,,,,,,,,,,,,
309,282,339,120,369,175,399,450,429,343,459,277,,,,,,,,,,,,,,,,,,,
310,221,340,291,370,103,400,365,430,335,460,280,,,,,,,,,,,,,,,,,,,
311,71,341,155,371,114,401,261,431,160,461,123,,,,,,,,,,,,,,,,,,,
312,122,342,115,372,50,402,192,432,201,462,150,,,,,,,,,,,,,,,,,,,
313,115,343,578,373,85,403,341,433,185,463,108,,,,,,,,,,,,,,,,,,,
314,220,344,137,374,115,404,337,434,53,464,82,,,,,,,,,,,,,,,,,,,
315,166,345,114,375,245,405,231,435,63,465,117,,,,,,,,,,,,,,,,,,,
316,180,346,182,376,168,406,224,436,97,466,506,,,,,,,,,,,,,,,,,,,
317,651,347,327,377,131,407,561,437,221,467,328,,,,,,,,,,,,,,,,,,,
318,75,348,382,378,185,408,246,438,620,468,290,,,,,,,,,,,,,,,,,,,
319,366,349,159,379,95,409,139,439,132,469,126,,,,,,,,,,,,,,,,,,,
320,661,350,245,380,30,410,386,440,113,470,84,,,,,,,,,,,,,,,,,,,
321,533,351,212,381,216,411,230,441,121,471,145,,,,,,,,,,,,,,,,,,,
322,115,352,191,382,118,412,382,442,181,472,100,,,,,,,,,,,,,,,,,,,
323,157,353,60,383,150,413,224,443,618,473,176,,,,,,,,,,,,,,,,,,,
324,85,354,74,384,142,414,451,444,400,474,416,,,,,,,,,,,,,,,,,,,
325,94,355,195,385,308,415,80,445,82,475,104,,,,,,,,,,,,,,,,,,,
326,685,356,166,386,404,416,157,446,90,476,120,,,,,,,,,,,,,,,,,,,
327,95,357,182,387,32,417,140,447,320,477,255,,,,,,,,,,,,,,,,,,,
328,628,358,126,388,301,418,259,448,91,,,,,,,,,,,,,,,,,,,,,
329,142,359,285,389,65,419,468,449,100,,,,,,,,,,,,,,,,,,,,,
330,283,360,346,390,189,420,203,450,395,,,,,,,,,,,,,,,,,,,,,
