0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
"CHENNAI,",TAMIL,NADU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,,,,,,
1,278,31,640,61,179,91,82,121,139,151,85,181,294,211,391,241,180,271,439,,,,,,,,,,,,,
2,399,32,373,62,75,92,257,122,204,152,109,182,165,212,91,242,275,272,99,,,,,,,,,,,,,
3,83,33,120,63,567,93,125,123,245,153,440,183,445,213,83,243,157,273,410,,,,,,,,,,,,,
4,123,34,193,64,652,94,278,124,171,154,394,184,113,214,197,244,188,274,30,,,,,,,,,,,,,
5,295,35,217,65,676,95,260,125,79,155,484,185,80,215,435,245,89,275,343,,,,,,,,,,,,,
6,260,36,606,66,243,96,155,126,421,156,298,186,257,216,113,246,233,276,216,,,,,,,,,,,,,
7,357,37,382,67,434,97,492,127,436,157,160,187,72,217,455,247,295,277,338,,,,,,,,,,,,,
8,321,38,246,68,595,98,263,128,397,158,148,188,297,218,345,248,620,278,518,,,,,,,,,,,,,
9,323,39,408,69,685,99,526,129,158,159,365,189,215,219,409,249,171,279,472,,,,,,,,,,,,,
10,156,40,176,70,166,100,492,130,174,160,349,190,33,220,507,250,46,280,121,,,,,,,,,,,,,
11,61,41,475,71,645,101,114,131,86,161,313,191,199,221,303,251,135,281,26,,,,,,,,,,,,,
12,172,42,468,72,250,102,50,132,406,162,472,192,371,222,95,252,570,282,572,,,,,,,,,,,,,
13,655,43,438,73,222,103,207,133,95,163,309,193,585,223,495,253,131,283,635,,,,,,,,,,,,,
14,620,44,505,74,360,104,160,134,604,164,220,194,77,224,441,254,607,284,28,,,,,,,,,,,,,
15,513,45,52,75,501,105,304,135,165,165,529,195,326,225,144,255,171,285,135,,,,,,,,,,,,,
16,75,46,153,76,95,106,271,136,186,166,662,196,395,226,149,256,96,286,192,,,,,,,,,,,,,
17,333,47,215,77,97,107,111,137,271,167,142,197,280,227,303,257,146,287,572,,,,,,,,,,,,,
18,186,48,271,78,350,108,180,138,227,168,511,198,571,228,270,258,134,288,254,,,,,,,,,,,,,
19,186,49,164,79,253,109,76,139,146,169,236,199,526,229,173,259,103,289,458,,,,,,,,,,,,,
20,394,50,279,80,217,110,125,140,298,170,307,200,279,230,48,260,453,290,558,,,,,,,,,,,,,
21,399,51,283,81,150,111,145,141,152,171,38,201,114,231,199,261,69,291,428,,,,,,,,,,,,,
22,431,52,491,82,172,112,457,142,259,172,367,202,127,232,145,262,210,292,70,,,,,,,,,,,,,
23,299,53,223,83,371,113,46,143,87,173,130,203,463,233,142,263,442,293,303,,,,,,,,,,,,,
24,259,54,134,84,78,114,30,144,116,174,258,204,297,234,154,264,278,294,60,,,,,,,,,,,,,
25,145,55,111,85,364,115,532,145,53,175,266,205,498,235,341,265,293,295,135,,,,,,,,,,,,,
26,106,56,114,86,429,116,359,146,94,176,113,206,98,236,345,266,645,296,92,,,,,,,,,,,,,
27,222,57,678,87,309,117,292,147,106,177,379,207,510,237,552,267,263,297,141,,,,,,,,,,,,,
28,250,58,66,88,262,118,602,148,117,178,70,208,345,238,170,268,162,298,364,,,,,,,,,,,,,
29,175,59,473,89,83,119,240,149,360,179,493,209,122,239,393,269,222,299,74,,,,,,,,,,,,,
30,192,60,157,90,130,120,554,150,214,180,563,210,300,240,94,270,92,300,85,,,,,,,,,,,,,
Centre:,410133,D,A,V,GIRLS,SR,SEC,SCHOOL,LLOYDS,ROAD,CHENNAI,"TN,",D,A,V,GIRLS,SR,SEC,SCHOOL,182,LLOYDS,ROAD,GOPALAPURAM,CHENNAI,TAMIL,"NADU,",NEET,(UG),2024,Page,No.,2
"CHENNAI,",TAMIL,NADU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,92,331,482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,39,332,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,212,333,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,75,334,486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,691,335,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,314,336,427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,78,337,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,291,338,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,162,339,397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,224,340,372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,273,341,318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,177,342,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,219,343,464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
