0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
MADHYA,PRADESH,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,75,31,387,61,230,91,4,121,198,151,33,181,95,211,80,241,48,271,95
2,57,32,40,62,168,92,305,122,2,152,59,182,133,212,53,242,79,272,39
3,20,33,36,63,137,93,70,123,54,153,46,183,65,213,30,243,81,273,274
4,139,34,122,64,48,94,96,124,35,154,96,184,73,214,37,244,72,274,65
5,123,35,31,65,70,95,90,125,97,155,85,185,91,215,94,245,22,275,82
6,40,36,55,66,20,96,65,126,59,156,67,186,110,216,70,246,47,276,70
7,86,37,70,67,105,97,86,127,377,157,115,187,10,217,65,247,186,277,100
8,156,38,113,68,50,98,216,128,55,158,107,188,50,218,283,248,76,278,138
9,109,39,98,69,51,99,45,129,69,159,67,189,101,219,108,249,70,279,218
10,248,40,208,70,45,100,110,130,20,160,32,190,129,220,60,250,26,280,42
11,86,41,82,71,113,101,46,131,136,161,65,191,105,221,105,251,217,281,139
12,160,42,53,72,40,102,264,132,40,162,26,192,57,222,120,252,94,282,301
13,91,43,65,73,72,103,85,133,41,163,18,193,303,223,9,253,81,,
14,65,44,45,74,94,104,50,134,144,164,156,194,50,224,88,254,183,,
15,-13,45,83,75,124,105,165,135,47,165,20,195,54,225,115,255,108,,
16,79,46,181,76,93,106,-9,136,19,166,70,196,146,226,96,256,78,,
17,61,47,143,77,21,107,68,137,122,167,86,197,70,227,131,257,75,,
18,111,48,277,78,64,108,85,138,22,168,64,198,54,228,71,258,50,,
19,55,49,120,79,63,109,182,139,31,169,121,199,95,229,117,259,25,,
20,125,50,61,80,43,110,96,140,93,170,116,200,90,230,101,260,10,,
21,45,51,204,81,276,111,61,141,292,171,50,201,85,231,60,261,40,,
22,85,52,38,82,20,112,45,142,125,172,57,202,151,232,91,262,95,,
23,184,53,70,83,24,113,65,143,64,173,110,203,158,233,237,263,449,,
24,96,54,170,84,67,114,81,144,26,174,133,204,44,234,45,264,63,,
25,207,55,125,85,37,115,90,145,30,175,261,205,31,235,672,265,159,,
26,71,56,60,86,269,116,70,146,92,176,28,206,77,236,31,266,309,,
27,195,57,-10,87,151,117,70,147,184,177,47,207,30,237,105,267,604,,
28,24,58,197,88,18,118,26,148,15,178,83,208,144,238,135,268,123,,
29,51,59,111,89,91,119,75,149,93,179,66,209,60,239,71,269,139,,
30,231,60,83,90,50,120,100,150,75,180,170,210,166,240,46,270,21,,
