0,1,2,3,4,5,6,7,8,9,10,11
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,245,31,544,61,534,91,302,121,50,151,455
2,474,32,579,62,326,92,302,122,120,152,131
3,110,33,485,63,55,93,179,123,225,153,1
4,55,34,173,64,25,94,38,124,85,154,43
5,227,35,124,65,331,95,125,125,100,155,90
6,65,36,59,66,180,96,100,126,130,156,564
7,183,37,190,67,65,97,109,127,686,157,577
8,87,38,181,68,55,98,142,128,25,158,102
9,95,39,110,69,53,99,46,129,640,159,57
10,594,40,600,70,222,100,455,130,187,160,160
11,197,41,257,71,85,101,160,131,131,161,159
12,265,42,492,72,675,102,260,132,194,162,124
13,623,43,187,73,563,103,16,133,527,163,85
14,25,44,54,74,129,104,565,134,122,164,509
15,25,45,45,75,258,105,202,135,164,165,685
16,554,46,142,76,81,106,122,136,85,166,115
17,290,47,100,77,136,107,67,137,358,167,98
18,175,48,80,78,636,108,258,138,55,168,250
19,472,49,57,79,145,109,573,139,130,169,254
20,485,50,274,80,99,110,201,140,559,170,50
21,95,51,95,81,80,111,101,141,30,171,651
22,94,52,492,82,36,112,135,142,65,172,70
23,170,53,266,83,50,113,523,143,45,173,686
24,634,54,237,84,85,114,418,144,247,174,365
25,85,55,205,85,281,115,103,145,449,175,654
26,419,56,654,86,113,116,110,146,530,,
27,115,57,107,87,623,117,339,147,233,,
28,106,58,105,88,397,118,206,148,446,,
29,261,59,705,89,80,119,144,149,125,,
30,135,60,280,90,70,120,612,150,584,,
